permno,start_ticker,end_ticker,canonical_ticker,start_security_name,end_security_name,full_observations,liquidity_observations,invalid_liquidity_rows,delisting_rows,median_close,median_dollar_volume,endpoint_eligible,exclusion_reason,liquidity_rank,selected,decision
84398,SPY,SPY,SPY,SPDR TRUST; ETFNONE; CONS,SPDR S & P 500 E T F TRUST; ETFNONE; CONS,4279,1510,0,0,133.055,2.06299177615e10,true,,1,true,include
88222,IWM,IWM,IWM,ISHARES TRUST; ETFNONE; CONS,ISHARES TRUST; ETFNONE; CONS,4279,1510,0,0,79.96000000000001,3.7958873296e9,true,,2,true,include
86755,QQQQ,QQQ,QQQ,POWERSHARES QQQ TRUST; ETFNONE; CONS,INVESCO QQQ TRUST; ETFNONE; CONS,4279,1510,0,0,58.980000000000004,3.21969343923e9,true,,3,true,include
89730,EEM,EEM,EEM,ISHARES TRUST; ETFNONE; CONS,ISHARES TRUST; ETFNONE; CONS,4279,1510,0,0,41.3,2.3531803321e9,true,,4,true,include
90448,GLD,GLD,GLD,STREETTRACKS GOLD TRUST; ETFNONE; CONS,SPDR GOLD TRUST; ETFNONE; CONS,4279,1510,0,0,127.72,1.4260562865e9,true,,5,true,include
86455,XLF,XLF,XLF,SELECT SECTOR SPDR TRUST; ETFNONE; CONS,SELECT SECTOR SPDR TRUST; ETFNONE; CONS,4279,1510,0,0,15.52,1.0623456035e9,true,,6,true,include
89129,EFA,EFA,EFA,ISHARES TRUST; ETFNONE; CONS,ISHARES TRUST; ETFNONE; CONS,4279,1510,0,0,56.35875,1.026245669e9,true,,7,true,include
86454,XLE,XLE,XLE,SELECT SECTOR SPDR TRUST; ETFNONE; CONS,SELECT SECTOR SPDR TRUST; ETFNONE; CONS,4279,1510,0,0,71.42,1.012661043e9,true,,8,true,include
85765,DIA,DIA,DIA,DIAMONDS TRUST; ETFNONE; CONS,SPDR DOW JONES IND AVG ETF TRUST; ETFNONE; CONS,4279,1510,0,0,125.1,9.05450792e8,true,,9,true,include
88396,EWZ,EWZ,EWZ,ISHARES INC; ETFNONE; CONS,ISHARES INC; ETFNONE; CONS,4279,1510,0,0,55.68,8.922846925e8,true,,10,true,include
90383,FXI,FXI,FXI,ISHARES TRUST; ETFNONE; CONS,ISHARES TRUST; ETFNONE; CONS,4279,1510,0,0,38.37,7.247614109000001e8,true,,11,true,include
89468,TLT,TLT,TLT,ISHARES TRUST; ETFNONE; CONS,ISHARES TRUST; ETFNONE; CONS,4279,1510,0,0,106.57,7.18016001e8,true,,12,true,include
91130,VWO,VWO,VWO,VANGUARD INTL EQUITY INDEX FUNDS; ETFNONE; CONS,VANGUARD INTL EQUITY INDEX FUNDS; ETFNONE; CONS,4279,1510,0,0,41.35,6.371849825e8,true,,13,true,include
91232,GDX,GDX,GDX,MARKET VECTORS E T F TRUST; ETFNONE; CONS,VANECK E T F TRUST; ETFNONE; CONS,4279,1510,0,0,44.644999999999996,6.15046004e8,true,,14,true,include
88294,IYR,IYR,IYR,ISHARES TRUST; ETFNONE; CONS,ISHARES TRUST; ETFNONE; CONS,4279,1510,0,0,60.75,6.0095833e8,true,,15,true,include
88215,IVV,IVV,IVV,ISHARES TRUST; ETFNONE; CONS,ISHARES TRUST; ETFNONE; CONS,4279,1510,0,0,133.51,4.767037815e8,true,,16,true,include
81659,MDY,MDY,MDY,MIDCAP SPDR TRUST; ETFNONE; CONS,SPDR S & P MIDCAP 400 ETF TRUST; ETFNONE; CONS,4279,1510,0,0,174.055,4.415762055e8,true,,17,true,include
86456,XLI,XLI,XLI,SELECT SECTOR SPDR TRUST; ETFNONE; CONS,SELECT SECTOR SPDR TRUST; ETFNONE; CONS,4279,1510,0,0,36.31,4.34851893e8,true,,18,true,include
91316,XRT,XRT,XRT,SPDR SERIES TRUST; ETFNONE; CONS,SPDR SERIES TRUST; ETFNONE; CONS,4279,1510,0,0,54.465,3.443462635e8,true,,19,true,include
91208,USO,USO,USO,UNITED STATES OIL FUND L P; ETFNONE; CONS,UNITED STATES OIL FUND L P; ETFNONE; CONS,4279,1510,0,0,35.735,3.08330482e8,true,,20,true,include
86449,XLB,XLB,XLB,SELECT SECTOR SPDR TRUST; ETFNONE; CONS,SELECT SECTOR SPDR TRUST; ETFNONE; CONS,4279,1510,0,0,36.71,2.950708755e8,true,,21,true,include
86453,XLY,XLY,XLY,SELECT SECTOR SPDR TRUST; ETFNONE; CONS,SELECT SECTOR SPDR TRUST; ETFNONE; CONS,4279,1510,0,0,40.72,2.477307402e8,true,,22,true,include
86458,XLU,XLU,XLU,SELECT SECTOR SPDR TRUST; ETFNONE; CONS,SELECT SECTOR SPDR TRUST; ETFNONE; CONS,4279,1510,0,0,34.7,2.45419362e8,true,,23,true,include
83225,EWJ,EWJ,EWJ,ISHARES INC; ETFNONE; CONS,ISHARES INC; ETFNONE; CONS,4279,1510,0,0,10.05,2.407995615e8,true,,24,true,include
86451,XLV,XLV,XLV,SELECT SECTOR SPDR TRUST; ETFNONE; CONS,SELECT SECTOR SPDR TRUST; ETFNONE; CONS,4279,1510,0,0,35.730000000000004,2.39919979e8,true,,25,true,include
86457,XLK,XLK,XLK,SELECT SECTOR SPDR TRUST; ETFNONE; CONS,SELECT SECTOR SPDR TRUST; ETFNONE; CONS,4279,1510,0,0,26.765,2.2634198724e8,true,,26,true,include
91202,SLV,SLV,SLV,ISHARES TRUST; ETFNONE; CONS,ISHARES TRUST; ETFNONE; CONS,4279,1510,0,0,20.625,2.2340063e8,true,,27,true,include
91318,XOP,XOP,XOP,SPDR SERIES TRUST; ETFNONE; CONS,SPDR SERIES TRUST; ETFNONE; CONS,4279,1510,0,0,54.075,2.191843575e8,true,,28,true,include
86452,XLP,XLP,XLP,SELECT SECTOR SPDR TRUST; ETFNONE; CONS,SELECT SECTOR SPDR TRUST; ETFNONE; CONS,4279,1510,0,0,32.25,1.9845615504000002e8,true,,29,true,include
91933,HYG,HYG,HYG,ISHARES TRUST; ETFNONE; CONS,ISHARES TRUST; ETFNONE; CONS,4279,1510,0,0,90.71925,1.809365275e8,true,,30,true,include
91947,UNG,UNG,UNG,UNITED STATES NATURAL GAS FD L P; ETFNONE; CONS,UNITED STATES NATURAL GAS FD L P; ETFNONE; CONS,4279,1510,0,0,15.981,1.480927925e8,true,,31,true,include
83223,EWW,EWW,EWW,ISHARES INC; ETFNONE; CONS,ISHARES INC; ETFNONE; CONS,4279,1510,0,0,60.635000000000005,1.47711457e8,true,,32,true,include
89467,LQD,LQD,LQD,ISHARES TRUST; ETFNONE; CONS,ISHARES TRUST; ETFNONE; CONS,4279,1510,0,0,113.18,1.442054505e8,true,,33,true,include
91320,XME,XME,XME,SPDR SERIES TRUST; ETFNONE; CONS,SPDR SERIES TRUST; ETFNONE; CONS,4279,1510,0,0,43.73,1.4143117e8,true,,34,true,include
90350,VNQ,VNQ,VNQ,VANGUARD INDEX FUNDS; ETFNONE; CONS,VANGUARD INDEX FUNDS; ETFNONE; CONS,4279,1510,0,0,61.215,1.40427614e8,true,,35,true,include
88214,EWY,EWY,EWY,ISHARES INC; ETFNONE; CONS,ISHARES INC; ETFNONE; CONS,4279,1510,0,0,56.665,1.39151069835e8,true,,36,true,include
88220,IWF,IWF,IWF,ISHARES TRUST; ETFNONE; CONS,ISHARES TRUST; ETFNONE; CONS,4279,1510,0,0,61.48,1.38724686e8,true,,37,true,include
90878,VTI,VTI,VTI,VANGUARD INDEX FUNDS; ETFNONE; CONS,VANGUARD INDEX FUNDS; ETFNONE; CONS,4279,1510,0,0,68.565,1.35852407e8,true,,38,true,include
92922,JNK,JNK,JNK,SPDR SERIES TRUST; ETFNONE; CONS,SPDR SERIES TRUST; ETFNONE; CONS,4279,1510,0,0,39.77,1.25357454e8,true,,39,true,include
88401,IWO,IWO,IWO,ISHARES TRUST; ETFNONE; CONS,ISHARES TRUST; ETFNONE; CONS,4279,1510,0,0,91.21000000000001,1.253194835e8,true,,40,true,include
88219,IWD,IWD,IWD,ISHARES TRUST; ETFNONE; CONS,ISHARES TRUST; ETFNONE; CONS,4279,1510,0,0,67.805,1.160851495e8,true,,41,true,include
91123,XHB,XHB,XHB,SPDR SERIES TRUST; ETFNONE; CONS,SPDR SERIES TRUST; ETFNONE; CONS,4279,1510,0,0,18.884999999999998,1.10431089e8,true,,42,true,include
88290,EWT,EWT,EWT,ISHARES INC; ETFNONE; CONS,ISHARES INC; ETFNONE; CONS,4279,1510,0,0,13.32,1.0517098e8,true,,43,true,include
88399,IWN,IWN,IWN,ISHARES TRUST; ETFNONE; CONS,ISHARES TRUST; ETFNONE; CONS,4279,1510,0,0,71.457,9.6708426e7,true,,44,true,include
89959,TIP,TIP,TIP,ISHARES TRUST; ETFNONE; CONS,ISHARES TRUST; ETFNONE; CONS,4279,1510,0,0,111.99,9.02174455e7,true,,45,true,include
89848,AGG,AGG,AGG,ISHARES TRUST; ETFNONE; CONS,ISHARES TRUST; ETFNONE; CONS,4279,1510,0,0,107.815,8.7761624e7,true,,46,true,include
