origin_id,decision_year,decision_date_rule,construction_start_year,construction_end_year,compression_start_year,compression_end_year,postdecision_year,universe_cap,minimum_eligible,origin_role
FSLP1-O2005,2005,last CRSP trading session on or before December 31,2001,2003,2004,2005,2006,150,20,final
FSLP1-O2006,2006,last CRSP trading session on or before December 31,2002,2004,2005,2006,2007,150,20,final
FSLP1-O2007,2007,last CRSP trading session on or before December 31,2003,2005,2006,2007,2008,150,20,final
FSLP1-O2008,2008,last CRSP trading session on or before December 31,2004,2006,2007,2008,2009,150,20,final
FSLP1-O2009,2009,last CRSP trading session on or before December 31,2005,2007,2008,2009,2010,150,20,final
FSLP1-O2010,2010,last CRSP trading session on or before December 31,2006,2008,2009,2010,2011,150,20,final
FSLP1-O2011,2011,last CRSP trading session on or before December 31,2007,2009,2010,2011,2012,150,20,final
FSLP1-O2012,2012,last CRSP trading session on or before December 31,2008,2010,2011,2012,2013,150,20,final
FSLP1-O2013,2013,last CRSP trading session on or before December 31,2009,2011,2012,2013,2014,150,20,final
FSLP1-O2014,2014,last CRSP trading session on or before December 31,2010,2012,2013,2014,2015,150,20,final
FSLP1-O2015,2015,last CRSP trading session on or before December 31,2011,2013,2014,2015,2016,150,20,final
FSLP1-O2016,2016,last CRSP trading session on or before December 31,2012,2014,2015,2016,2017,150,20,final
FSLP1-O2017,2017,last CRSP trading session on or before December 31,2013,2015,2016,2017,2018,150,20,final
FSLP1-O2018,2018,last CRSP trading session on or before December 31,2014,2016,2017,2018,2019,150,20,final
FSLP1-O2019,2019,last CRSP trading session on or before December 31,2015,2017,2018,2019,2020,150,20,final
FSLP1-O2020,2020,last CRSP trading session on or before December 31,2016,2018,2019,2020,2021,150,20,final
FSLP1-O2021,2021,last CRSP trading session on or before December 31,2017,2019,2020,2021,2022,150,20,final
FSLP1-O2022,2022,last CRSP trading session on or before December 31,2018,2020,2021,2022,2023,150,20,final
FSLP1-O2023,2023,last CRSP trading session on or before December 31,2019,2021,2022,2023,2024,150,20,final
FSLP1-O2024,2024,last CRSP trading session on or before December 31,2020,2022,2023,2024,2025,150,20,final
