origin_id,library_id,seed_role,multistart_seed,origin_bootstrap_seed
FSLP1-O2005,full_factorial_catalog,final,4219440163965610732,5236391580681810150
FSLP1-O2005,decentralized_signal_sleeves,final,3781620628297524988,2083221655103990643
FSLP1-O2005,centralized_research_pool,final,1523645890777811086,7273392729457260489
FSLP1-O2006,full_factorial_catalog,final,3331367114717938805,5941618166256206927
FSLP1-O2006,decentralized_signal_sleeves,final,84376693596771211,1725414684927552500
FSLP1-O2006,centralized_research_pool,final,4451454980297402283,2448540382469878329
FSLP1-O2007,full_factorial_catalog,final,2788321431133823090,7037753071181760604
FSLP1-O2007,decentralized_signal_sleeves,final,7795892304495673246,458104663406378147
FSLP1-O2007,centralized_research_pool,final,969474611671596602,1981283353213951791
FSLP1-O2008,full_factorial_catalog,final,7213385013816751415,8435146468782358249
FSLP1-O2008,decentralized_signal_sleeves,final,2189639957342611860,3446878407266848207
FSLP1-O2008,centralized_research_pool,final,630546868561370832,3167642080339942207
FSLP1-O2009,full_factorial_catalog,final,8302798016836221061,4212723881264700141
FSLP1-O2009,decentralized_signal_sleeves,final,4838534501969362870,3426964507837827048
FSLP1-O2009,centralized_research_pool,final,558055742279194832,3262947642966488092
FSLP1-O2010,full_factorial_catalog,final,244655265062094496,2313331525327482622
FSLP1-O2010,decentralized_signal_sleeves,final,8734654724712447650,7455931077105166561
FSLP1-O2010,centralized_research_pool,final,3209275545460542012,7302297336153283152
FSLP1-O2011,full_factorial_catalog,final,8867712949111712311,7649824790146188782
FSLP1-O2011,decentralized_signal_sleeves,final,7574410081177951257,2287593044239578162
FSLP1-O2011,centralized_research_pool,final,6932427119838616282,7305713708374192850
FSLP1-O2012,full_factorial_catalog,final,7860708891615596637,772254439296864148
FSLP1-O2012,decentralized_signal_sleeves,final,5546931068045809867,3195170406297516444
FSLP1-O2012,centralized_research_pool,final,184339500120136238,4550157265973571899
FSLP1-O2013,full_factorial_catalog,final,2689446952755030339,3435310471118896421
FSLP1-O2013,decentralized_signal_sleeves,final,6197555687153030061,418291536105073820
FSLP1-O2013,centralized_research_pool,final,6061432510247345066,2251049307946005719
FSLP1-O2014,full_factorial_catalog,final,1978043231068693805,8818727656588337835
FSLP1-O2014,decentralized_signal_sleeves,final,2327799439961228616,1180546749252857824
FSLP1-O2014,centralized_research_pool,final,6064056449583621376,7839899423036176777
FSLP1-O2015,full_factorial_catalog,final,3486231236928429842,7633767199059068358
FSLP1-O2015,decentralized_signal_sleeves,final,6618830763687712643,2803303786493409279
FSLP1-O2015,centralized_research_pool,final,76959844213509341,1552284427267356166
FSLP1-O2016,full_factorial_catalog,final,3112825916812344217,1526213408508815905
FSLP1-O2016,decentralized_signal_sleeves,final,1999901346148944346,2662989095922616436
FSLP1-O2016,centralized_research_pool,final,311098983156594294,2834231111997163516
FSLP1-O2017,full_factorial_catalog,final,731359379945626239,1194687698768725417
FSLP1-O2017,decentralized_signal_sleeves,final,3641792539687384957,7644356216361381270
FSLP1-O2017,centralized_research_pool,final,3471872268779173920,1486709291815117068
FSLP1-O2018,full_factorial_catalog,final,6677919356670003301,2593312180546466321
FSLP1-O2018,decentralized_signal_sleeves,final,7305916015775189898,4906967960609127157
FSLP1-O2018,centralized_research_pool,final,936623014086244250,120084155800669910
FSLP1-O2019,full_factorial_catalog,final,4346115205400013962,2771000969113490579
FSLP1-O2019,decentralized_signal_sleeves,final,3823005211023226317,1350833617400122306
FSLP1-O2019,centralized_research_pool,final,7861095187885680355,4975505158267523666
FSLP1-O2020,full_factorial_catalog,final,197625587378474898,1767109059662258819
FSLP1-O2020,decentralized_signal_sleeves,final,1218550168410922385,1849641630230047985
FSLP1-O2020,centralized_research_pool,final,2843734989180736093,4021922624901287813
FSLP1-O2021,full_factorial_catalog,final,546746557796280479,4510565211137564993
FSLP1-O2021,decentralized_signal_sleeves,final,8863541003159269459,2561046623868974099
FSLP1-O2021,centralized_research_pool,final,1128067852998864054,7889230860990110093
FSLP1-O2022,full_factorial_catalog,final,5894712678099994174,3561822232816250857
FSLP1-O2022,decentralized_signal_sleeves,final,3430052551770753133,850074025119493966
FSLP1-O2022,centralized_research_pool,final,4850368011765182124,4716998096017699766
FSLP1-O2023,full_factorial_catalog,final,5803668107756499499,5860022780095481890
FSLP1-O2023,decentralized_signal_sleeves,final,4320613941667664589,5598387230118961931
FSLP1-O2023,centralized_research_pool,final,7007103203600691739,5609285628017354531
FSLP1-O2024,full_factorial_catalog,final,6797325599519971638,8199825175417457690
FSLP1-O2024,decentralized_signal_sleeves,final,7471936004055975513,5394413211574840173
FSLP1-O2024,centralized_research_pool,final,8058931233719109339,3490273597818869204
