origin_id,compression_decision_year,formation_start_year,formation_end_year,compression_start_year,compression_end_year,proposal_year,evaluation_year,role
FSLP3-O2005,2005,2000,2002,2003,2005,2006,2007,historical_development
FSLP3-O2006,2006,2001,2003,2004,2006,2007,2008,historical_development
FSLP3-O2007,2007,2002,2004,2005,2007,2008,2009,historical_development
FSLP3-O2008,2008,2003,2005,2006,2008,2009,2010,historical_development
FSLP3-O2009,2009,2004,2006,2007,2009,2010,2011,historical_development
FSLP3-O2010,2010,2005,2007,2008,2010,2011,2012,historical_development
FSLP3-O2011,2011,2006,2008,2009,2011,2012,2013,historical_development
FSLP3-O2012,2012,2007,2009,2010,2012,2013,2014,historical_development
FSLP3-O2013,2013,2008,2010,2011,2013,2014,2015,historical_development
FSLP3-O2014,2014,2009,2011,2012,2014,2015,2016,historical_development
FSLP3-O2015,2015,2010,2012,2013,2015,2016,2017,historical_development
FSLP3-O2016,2016,2011,2013,2014,2016,2017,2018,historical_development
FSLP3-O2017,2017,2012,2014,2015,2017,2018,2019,historical_development
FSLP3-O2018,2018,2013,2015,2016,2018,2019,2020,historical_development
FSLP3-O2019,2019,2014,2016,2017,2019,2020,2021,historical_development
FSLP3-O2020,2020,2015,2017,2018,2020,2021,2022,historical_development
FSLP3-O2021,2021,2016,2018,2019,2021,2022,2023,historical_development
FSLP3-O2022,2022,2017,2019,2020,2022,2023,2024,historical_development
FSLP3-O2023,2023,2018,2020,2021,2023,2024,2025,historical_development
