origin_id,menu_gate_passed_both_dockets,available_docket_count,cross_docket_origin_mean,reason
FSLP2-O2005,true,2,-0.0016199397504624942,
FSLP2-O2006,true,2,0.0003956045676627735,
FSLP2-O2007,true,2,0.21351672962678148,
FSLP2-O2008,true,2,0.014599522686699215,
FSLP2-O2009,true,2,-0.00047536142806228407,
FSLP2-O2010,true,2,-0.01718632088847778,
FSLP2-O2011,true,2,0.013935012754458825,
FSLP2-O2012,true,2,0.03810591855718264,
FSLP2-O2013,true,2,-0.007323002093585747,
FSLP2-O2014,true,2,9.18037759449152e-5,
FSLP2-O2015,true,2,-0.016349987605011874,
FSLP2-O2016,true,2,0.003914601273377031,
FSLP2-O2017,true,2,0.020141564778801947,
FSLP2-O2018,true,2,-0.022637365283505267,
FSLP2-O2019,true,2,0.061329603298062876,
FSLP2-O2020,true,2,0.006288460728385289,
FSLP2-O2021,true,2,-0.016144536410078826,
FSLP2-O2022,true,2,-0.012835834390514583,
FSLP2-O2023,true,2,-0.005942816175230957,
FSLP2-O2024,true,2,0.0029952051956778844,
