group,origin,complete,ce_pp,same_choice
0,2005,1,0.0,1
0,2006,1,0.0,1
0,2007,1,0.0,1
0,2008,1,0.0,1
0,2009,1,0.0,1
0,2010,1,0.0,1
0,2011,1,0.0,1
0,2012,1,0.0,1
0,2013,1,0.0,1
0,2014,1,0.0,1
0,2015,1,0.0,1
0,2016,1,0.0,1
0,2017,1,0.0,1
0,2018,1,0.0,1
0,2019,1,0.0,1
0,2020,1,0.0,1
0,2021,1,0.0,1
0,2022,1,0.0,1
0,2023,1,0.0,1
1,2005,0,nan,0
1,2006,1,0.0,1
1,2007,1,0.0,1
1,2008,1,0.0,1
1,2009,1,0.0,1
1,2010,1,0.0,1
1,2011,1,0.0,1
1,2012,1,0.0,1
1,2013,1,0.0,1
1,2014,1,0.0,1
1,2015,1,0.0,1
1,2016,1,-3.895767966836804,0
1,2017,1,0.0,1
1,2018,1,0.0,1
1,2019,1,0.0,1
1,2020,1,0.0,1
1,2021,1,0.0,1
1,2022,1,0.0,1
1,2023,1,0.0,1
