scenario_id,belief_state,transaction_cost_bps,risk_aversion,role,estimation_window,postdecision_information_permitted
belief_1|cost_0|risk_1,1,0,1,robust_frontier,compression window only,false
belief_1|cost_0|risk_3,1,0,3,robust_frontier,compression window only,false
belief_1|cost_5|risk_1,1,5,1,robust_frontier,compression window only,false
belief_1|cost_5|risk_3,1,5,3,base_and_robust_frontier,compression window only,false
belief_1|cost_15|risk_1,1,15,1,robust_frontier,compression window only,false
belief_1|cost_15|risk_3,1,15,3,robust_frontier,compression window only,false
belief_2|cost_0|risk_1,2,0,1,robust_frontier,compression window only,false
belief_2|cost_0|risk_3,2,0,3,robust_frontier,compression window only,false
belief_2|cost_5|risk_1,2,5,1,robust_frontier,compression window only,false
belief_2|cost_5|risk_3,2,5,3,base_and_robust_frontier,compression window only,false
belief_2|cost_15|risk_1,2,15,1,robust_frontier,compression window only,false
belief_2|cost_15|risk_3,2,15,3,robust_frontier,compression window only,false
belief_3|cost_0|risk_1,3,0,1,robust_frontier,compression window only,false
belief_3|cost_0|risk_3,3,0,3,robust_frontier,compression window only,false
belief_3|cost_5|risk_1,3,5,1,robust_frontier,compression window only,false
belief_3|cost_5|risk_3,3,5,3,base_and_robust_frontier,compression window only,false
belief_3|cost_15|risk_1,3,15,1,robust_frontier,compression window only,false
belief_3|cost_15|risk_3,3,15,3,robust_frontier,compression window only,false
belief_4|cost_0|risk_1,4,0,1,robust_frontier,compression window only,false
belief_4|cost_0|risk_3,4,0,3,robust_frontier,compression window only,false
belief_4|cost_5|risk_1,4,5,1,robust_frontier,compression window only,false
belief_4|cost_5|risk_3,4,5,3,base_and_robust_frontier,compression window only,false
belief_4|cost_15|risk_1,4,15,1,robust_frontier,compression window only,false
belief_4|cost_15|risk_3,4,15,3,robust_frontier,compression window only,false
belief_5|cost_0|risk_1,5,0,1,robust_frontier,compression window only,false
belief_5|cost_0|risk_3,5,0,3,robust_frontier,compression window only,false
belief_5|cost_5|risk_1,5,5,1,robust_frontier,compression window only,false
belief_5|cost_5|risk_3,5,5,3,base_and_robust_frontier,compression window only,false
belief_5|cost_15|risk_1,5,15,1,robust_frontier,compression window only,false
belief_5|cost_15|risk_3,5,15,3,robust_frontier,compression window only,false
