capability_id,capability_class,capability_value,evidence_scope,carrier_rule,evidence_rule,minimum_source_carriers,closure_role
atomic::signal::momentum_20::v2,atomic_signal,momentum_20,canonical_executable_specification,every frozen source strategy whose specification contains this exact value,canonical_strategy_spec_sha256,3,primary_identity_union
atomic::signal::momentum_60::v2,atomic_signal,momentum_60,canonical_executable_specification,every frozen source strategy whose specification contains this exact value,canonical_strategy_spec_sha256,3,primary_identity_union
atomic::signal::mean_reversion_5::v2,atomic_signal,mean_reversion_5,canonical_executable_specification,every frozen source strategy whose specification contains this exact value,canonical_strategy_spec_sha256,3,primary_identity_union
atomic::filter::always::v2,atomic_filter,always,canonical_executable_specification,every frozen source strategy whose specification contains this exact value,canonical_strategy_spec_sha256,3,primary_identity_union
atomic::filter::trend_100::v2,atomic_filter,trend_100,canonical_executable_specification,every frozen source strategy whose specification contains this exact value,canonical_strategy_spec_sha256,3,primary_identity_union
atomic::horizon::5::v2,atomic_horizon,5,canonical_executable_specification,every frozen source strategy whose specification contains this exact value,canonical_strategy_spec_sha256,3,primary_identity_union
atomic::horizon::20::v2,atomic_horizon,20,canonical_executable_specification,every frozen source strategy whose specification contains this exact value,canonical_strategy_spec_sha256,3,primary_identity_union
atomic::sizing::unit::v2,atomic_sizing,unit,canonical_executable_specification,every frozen source strategy whose specification contains this exact value,canonical_strategy_spec_sha256,3,primary_identity_union
atomic::sizing::half::v2,atomic_sizing,half,canonical_executable_specification,every frozen source strategy whose specification contains this exact value,canonical_strategy_spec_sha256,3,primary_identity_union
atomic::exit::horizon::v2,atomic_exit,horizon,canonical_executable_specification,every frozen source strategy whose specification contains this exact value,canonical_strategy_spec_sha256,3,primary_identity_union
atomic::exit::signal_flip::v2,atomic_exit,signal_flip,canonical_executable_specification,every frozen source strategy whose specification contains this exact value,canonical_strategy_spec_sha256,3,primary_identity_union
atomic::risk::notional_cap_1::v2,atomic_risk,notional_cap_1,canonical_executable_specification,every frozen source strategy whose specification contains this exact value,canonical_strategy_spec_sha256,3,primary_identity_union
atomic::risk::vol_target_10::v2,atomic_risk,vol_target_10,canonical_executable_specification,every frozen source strategy whose specification contains this exact value,canonical_strategy_spec_sha256,3,primary_identity_union
interface::signal_filter::momentum_20+always::v2,interface_signal_filter,momentum_20+always,canonical_executable_specification,every frozen source strategy whose specification contains this exact interface,canonical_strategy_spec_sha256,3,primary_identity_union
interface::signal_filter::momentum_20+trend_100::v2,interface_signal_filter,momentum_20+trend_100,canonical_executable_specification,every frozen source strategy whose specification contains this exact interface,canonical_strategy_spec_sha256,3,primary_identity_union
interface::signal_filter::momentum_60+always::v2,interface_signal_filter,momentum_60+always,canonical_executable_specification,every frozen source strategy whose specification contains this exact interface,canonical_strategy_spec_sha256,3,primary_identity_union
interface::signal_filter::momentum_60+trend_100::v2,interface_signal_filter,momentum_60+trend_100,canonical_executable_specification,every frozen source strategy whose specification contains this exact interface,canonical_strategy_spec_sha256,3,primary_identity_union
interface::signal_filter::mean_reversion_5+always::v2,interface_signal_filter,mean_reversion_5+always,canonical_executable_specification,every frozen source strategy whose specification contains this exact interface,canonical_strategy_spec_sha256,3,primary_identity_union
interface::signal_filter::mean_reversion_5+trend_100::v2,interface_signal_filter,mean_reversion_5+trend_100,canonical_executable_specification,every frozen source strategy whose specification contains this exact interface,canonical_strategy_spec_sha256,3,primary_identity_union
interface::horizon_exit::5+horizon::v2,interface_horizon_exit,5+horizon,canonical_executable_specification,every frozen source strategy whose specification contains this exact interface,canonical_strategy_spec_sha256,3,primary_identity_union
interface::horizon_exit::5+signal_flip::v2,interface_horizon_exit,5+signal_flip,canonical_executable_specification,every frozen source strategy whose specification contains this exact interface,canonical_strategy_spec_sha256,3,primary_identity_union
interface::horizon_exit::20+horizon::v2,interface_horizon_exit,20+horizon,canonical_executable_specification,every frozen source strategy whose specification contains this exact interface,canonical_strategy_spec_sha256,3,primary_identity_union
interface::horizon_exit::20+signal_flip::v2,interface_horizon_exit,20+signal_flip,canonical_executable_specification,every frozen source strategy whose specification contains this exact interface,canonical_strategy_spec_sha256,3,primary_identity_union
interface::sizing_risk::unit+notional_cap_1::v2,interface_sizing_risk,unit+notional_cap_1,canonical_executable_specification,every frozen source strategy whose specification contains this exact interface,canonical_strategy_spec_sha256,3,primary_identity_union
interface::sizing_risk::unit+vol_target_10::v2,interface_sizing_risk,unit+vol_target_10,canonical_executable_specification,every frozen source strategy whose specification contains this exact interface,canonical_strategy_spec_sha256,3,primary_identity_union
interface::sizing_risk::half+notional_cap_1::v2,interface_sizing_risk,half+notional_cap_1,canonical_executable_specification,every frozen source strategy whose specification contains this exact interface,canonical_strategy_spec_sha256,3,primary_identity_union
interface::sizing_risk::half+vol_target_10::v2,interface_sizing_risk,half+vol_target_10,canonical_executable_specification,every frozen source strategy whose specification contains this exact interface,canonical_strategy_spec_sha256,3,primary_identity_union
