origin_id,docket_id,seed_role,menu_seed,multistart_seed,origin_bootstrap_seed
FSLP2-O2005,focused_docket,final,8884938598781383752,1992771696931438926,3451474855542994328
FSLP2-O2005,broad_docket,final,7007740228951591243,8570864817334752190,4144940495619710481
FSLP2-O2006,focused_docket,final,6533498170316237323,8612258935020273865,6344028089417327105
FSLP2-O2006,broad_docket,final,6860071228235809517,2069034498973408622,7820245912840290101
FSLP2-O2007,focused_docket,final,2663836057658647670,1503629316439633895,5933423616443562086
FSLP2-O2007,broad_docket,final,8302083900670868649,5878210443337478903,7006757215982161613
FSLP2-O2008,focused_docket,final,2032713975373781046,107171685451657341,2842993144376720591
FSLP2-O2008,broad_docket,final,8963844621371725558,8757495168655102478,4733528368546741693
FSLP2-O2009,focused_docket,final,102397827257204880,2773727540430281325,1751820512044353085
FSLP2-O2009,broad_docket,final,5996114963499478221,8145137379990167629,8676311634964885756
FSLP2-O2010,focused_docket,final,2330330246357153872,5523576910996951142,4470586635212503256
FSLP2-O2010,broad_docket,final,7825050347959055901,6162328979452780215,8480411998686649208
FSLP2-O2011,focused_docket,final,6369237788357780779,5344842293291521013,8013413174882940215
FSLP2-O2011,broad_docket,final,7641668720287723264,6428977825645138572,8223354616376040180
FSLP2-O2012,focused_docket,final,1694581174860653566,2371274149633650420,1641589929414559766
FSLP2-O2012,broad_docket,final,764007937392713069,3952539673542633021,4322954569739923979
FSLP2-O2013,focused_docket,final,6790298954073582950,8453115557908585260,7036722778978861355
FSLP2-O2013,broad_docket,final,8052329034812116987,285379553830495178,8826490903148720175
FSLP2-O2014,focused_docket,final,3605026283456660856,7211121353036899224,7928650723248278562
FSLP2-O2014,broad_docket,final,6414403701166036157,3358016409740982059,4736544395564365104
FSLP2-O2015,focused_docket,final,3674504836008121662,948278719206768976,3952454571529264810
FSLP2-O2015,broad_docket,final,1577312779179123332,6094977160127870646,8378002993892946125
FSLP2-O2016,focused_docket,final,7783207873495274166,4096919875654471643,6988561236504665687
FSLP2-O2016,broad_docket,final,5447385602002057929,7658995756989515654,7650885030394208933
FSLP2-O2017,focused_docket,final,5033162919208215729,8626920739871002598,2932376836809971820
FSLP2-O2017,broad_docket,final,3252353034142411719,4406832628077822065,1220469508220871078
FSLP2-O2018,focused_docket,final,1709451358799532581,5085003349921626965,4644855582392626754
FSLP2-O2018,broad_docket,final,4484609774668629246,6744873150023111551,3452201448170163138
FSLP2-O2019,focused_docket,final,2248107854762508996,8072431687921679785,977267086811973435
FSLP2-O2019,broad_docket,final,4054015283031650504,5325774249675981080,8484814075994360029
FSLP2-O2020,focused_docket,final,2075832857556680869,8700730973489102659,6320625756794244987
FSLP2-O2020,broad_docket,final,6243974633452984211,6102785140748066253,4920784330673454058
FSLP2-O2021,focused_docket,final,4352336266906592056,6960347984342749429,5567212122297839866
FSLP2-O2021,broad_docket,final,516437821261656197,496049542438472479,6677974741467576479
FSLP2-O2022,focused_docket,final,6211485484207265215,1425276582791323724,4060062093060171444
FSLP2-O2022,broad_docket,final,3375284679967198402,2427763077194336551,6823642099551619111
FSLP2-O2023,focused_docket,final,7997208555282813666,6954995105166539720,521632141062835195
FSLP2-O2023,broad_docket,final,3314524504520469826,953024727466714093,1853767550803112690
FSLP2-O2024,focused_docket,final,1411991009145910563,2116262179140287984,4473736261218837147
FSLP2-O2024,broad_docket,final,7357479678234559592,6463118047630537156,107950282205420846
