origin_id,docket_id,seed_role,menu_seed,multistart_seed,origin_bootstrap_seed
FSLP2-O2005,focused_docket,final,6029893347899127272,204650714087843897,957361076559044356
FSLP2-O2005,broad_docket,final,5754818743173326978,979076518302878192,2134690063216552968
FSLP2-O2006,focused_docket,final,7078799559433977628,1876864453075638609,349953299405854120
FSLP2-O2006,broad_docket,final,96282856936801063,1472940276193984112,7526058492847342986
FSLP2-O2007,focused_docket,final,2715774045021019865,3497733810496764803,6659767122005719907
FSLP2-O2007,broad_docket,final,4978423157867809455,8236907553579571496,4248757380733744387
FSLP2-O2008,focused_docket,final,7015882350917985519,2507210501386276573,3741635509648706120
FSLP2-O2008,broad_docket,final,6489617449759090624,6320959829326822553,7334571338238350663
FSLP2-O2009,focused_docket,final,8939838581367055956,1315811417692365183,3342563006913747681
FSLP2-O2009,broad_docket,final,6416920431366561812,1671575920355870085,3690914675380640700
FSLP2-O2010,focused_docket,final,415643899728475907,7575916383681817910,7389611919131702396
FSLP2-O2010,broad_docket,final,3089188060748408724,5432432590897899936,8602243913021210569
FSLP2-O2011,focused_docket,final,821330066275599788,7723585612358202236,5300302808573924504
FSLP2-O2011,broad_docket,final,6444126639445599504,2139820142353871194,1728993087399110836
FSLP2-O2012,focused_docket,final,2238702490523802686,2926806853205737468,7801356467563384044
FSLP2-O2012,broad_docket,final,2228159087836091769,133750393115189854,2223798966421971332
FSLP2-O2013,focused_docket,final,4788163219650505,8567920736263655087,7077791816202007430
FSLP2-O2013,broad_docket,final,2746746131927841441,3899784850526925940,2832251087965662119
FSLP2-O2014,focused_docket,final,6569361653092858792,4739799409495832543,3272265118792322177
FSLP2-O2014,broad_docket,final,7333776446576007248,5662223952299468694,8794525434916028559
FSLP2-O2015,focused_docket,final,6699667039628665629,7475046628652440244,3852228230749006063
FSLP2-O2015,broad_docket,final,8365192046893218462,8685098394654532669,8262132236175161043
FSLP2-O2016,focused_docket,final,7449587526918408371,7580691721330234476,2056006574591569959
FSLP2-O2016,broad_docket,final,735636308756332857,142614685557608841,5299797807044073038
FSLP2-O2017,focused_docket,final,4632245445782297566,2435950767950599414,444318467769850410
FSLP2-O2017,broad_docket,final,561653151035486655,1192629360620359628,3938816870276627006
FSLP2-O2018,focused_docket,final,7084977272190846631,7863882790133313487,550762966790541607
FSLP2-O2018,broad_docket,final,5759073395153307460,7214688667951741674,5363955261889416095
FSLP2-O2019,focused_docket,final,1147169005793354447,5186172908032153633,4739369496565131046
FSLP2-O2019,broad_docket,final,8245762538833671721,6563950098213070301,322933740395053804
FSLP2-O2020,focused_docket,final,747087511353353752,7002306753140418243,4324948705950768464
FSLP2-O2020,broad_docket,final,3773552921379179656,5327490577497750981,125243287747719654
FSLP2-O2021,focused_docket,final,1571558266836750599,2770774304713368585,4971698147537446617
FSLP2-O2021,broad_docket,final,154405186486679244,4360784525619582441,1267327831086309790
FSLP2-O2022,focused_docket,final,319363732968732661,8905160302231016275,1658382234958617078
FSLP2-O2022,broad_docket,final,5495527591964014163,2066914412538389539,8726901961751586432
FSLP2-O2023,focused_docket,final,1067613392850831460,6812940073559292801,2673147812100819625
FSLP2-O2023,broad_docket,final,1081092195824670615,7953287545386419775,5851201325777340776
FSLP2-O2024,focused_docket,final,2875821906750272594,1609183632042367750,87657811002099139
FSLP2-O2024,broad_docket,final,8260555297752263338,2159330751564615414,2906759682784923474
