instance_id,phase,analysis_included,family,generator_id,replicate_id,strategy_count,tagged_requirement_count,frontier_row_count,module_row_count,coverage_density_level,module_overlap_level,bundle_prevalence_level,unique_carrier_frequency_level,weight_dispersion_level,frontier_module_correlation_level,mechanism,mechanism_parameter,seed_id,exact_enumeration_required,exact_dp_required,mip_required
V2-DRY-001,dry_run,false,dry_run,trivial-mandatory-only-v1,1,2,1,1,0,trivial,trivial,trivial,trivial,trivial,trivial,none,none,SEED-V2-DRY-001,true,true,true
V2-DRY-002,dry_run,false,dry_run,trivial-unique-module-v1,1,2,2,1,1,trivial,trivial,trivial,all,trivial,trivial,none,none,SEED-V2-DRY-002,true,true,true
V2-DRY-003,dry_run,false,dry_run,trivial-triangle-v1,1,4,4,1,3,trivial,symmetric,zero,zero,none,trivial,none,none,SEED-V2-DRY-003,true,true,true
V2-P-A-001,pilot,false,small_exact,small-exact-tagged-v1,1,7,6,2,4,one_eighth,low_clustered,zero,one_eighth,low_1_to_3,independent,none,none,SEED-V2-P-A-001,true,true,true
V2-P-A-002,pilot,false,small_exact,small-exact-tagged-v1,2,7,6,2,4,three_eighths,high_clustered,one_eighth,zero,high_powers_of_two,positive_aligned,none,none,SEED-V2-P-A-002,true,true,true
V2-P-B-001,pilot,false,structured,structured-tagged-incidence-v1,1,32,16,4,12,one_eighth,low_clustered,zero,zero,low_1_to_3,independent,none,none,SEED-V2-P-B-001,false,true,true
V2-P-B-002,pilot,false,structured,structured-tagged-incidence-v1,2,32,16,8,8,three_eighths,high_clustered,one_eighth,one_eighth,high_powers_of_two,positive_aligned,none,none,SEED-V2-P-B-002,false,true,true
V2-P-C-001,pilot,false,adversarial,adversarial-mechanism-v1,1,6,5,1,4,mechanism,mechanism,mechanism,mechanism,mechanism,mechanism,unbounded_heaviest_safe_first_gap,k=4;epsilon=1//2,SEED-V2-P-C-001,true,true,true
V2-P-C-002,pilot,false,adversarial,adversarial-mechanism-v1,1,5,5,1,4,mechanism,mechanism,mechanism,mechanism,mechanism,mechanism,many_tied_optima,q=4,SEED-V2-P-C-002,true,true,true
V2-P-C-003,pilot,false,adversarial,adversarial-mechanism-v1,1,9,5,1,4,mechanism,mechanism,mechanism,mechanism,mechanism,mechanism,dense_duplicate_coverage,duplicates=8;modules=4,SEED-V2-P-C-003,true,true,true
V2-P-C-004,pilot,false,adversarial,adversarial-mechanism-v1,1,9,5,1,4,mechanism,mechanism,mechanism,mechanism,mechanism,mechanism,dominance_heavy,base_dimension=4,SEED-V2-P-C-004,true,true,true
V2-P-C-005,pilot,false,adversarial,adversarial-mechanism-v1,1,6,5,1,4,mechanism,mechanism,mechanism,mechanism,mechanism,mechanism,rare_mandatory_requirements,modules=4;rare_rows=1,SEED-V2-P-C-005,true,true,true
V2-P-C-006,pilot,false,adversarial,adversarial-mechanism-v1,1,8,8,1,7,mechanism,mechanism,mechanism,mechanism,mechanism,mechanism,symmetric_hard,cyclic_order=7,SEED-V2-P-C-006,true,true,true
V2-P-C-007,pilot,false,adversarial,adversarial-mechanism-v1,1,7,5,1,4,mechanism,mechanism,mechanism,mechanism,mechanism,mechanism,bundle_versus_singleton,k=4;bundles=2,SEED-V2-P-C-007,true,true,true
V2-A-N007-R006-X01,final,true,small_exact,small-exact-tagged-v1,1,7,6,2,4,one_eighth,low_clustered,zero,one_eighth,low_1_to_3,independent,none,none,SEED-V2-A-N007-R006-X01,true,true,true
V2-A-N007-R006-X02,final,true,small_exact,small-exact-tagged-v1,2,7,6,2,4,one_eighth,high_clustered,one_eighth,zero,high_powers_of_two,independent,none,none,SEED-V2-A-N007-R006-X02,true,true,true
V2-A-N007-R006-X03,final,true,small_exact,small-exact-tagged-v1,3,7,6,2,4,three_eighths,low_clustered,zero,zero,low_1_to_3,positive_aligned,none,none,SEED-V2-A-N007-R006-X03,true,true,true
V2-A-N007-R006-X04,final,true,small_exact,small-exact-tagged-v1,4,7,6,2,4,three_eighths,high_clustered,one_eighth,one_eighth,high_powers_of_two,positive_aligned,none,none,SEED-V2-A-N007-R006-X04,true,true,true
V2-A-N007-R010-X01,final,true,small_exact,small-exact-tagged-v1,1,7,10,4,6,one_eighth,low_clustered,zero,one_eighth,low_1_to_3,independent,none,none,SEED-V2-A-N007-R010-X01,true,true,true
V2-A-N007-R010-X02,final,true,small_exact,small-exact-tagged-v1,2,7,10,4,6,one_eighth,high_clustered,one_eighth,zero,high_powers_of_two,independent,none,none,SEED-V2-A-N007-R010-X02,true,true,true
V2-A-N007-R010-X03,final,true,small_exact,small-exact-tagged-v1,3,7,10,4,6,three_eighths,low_clustered,zero,zero,low_1_to_3,positive_aligned,none,none,SEED-V2-A-N007-R010-X03,true,true,true
V2-A-N007-R010-X04,final,true,small_exact,small-exact-tagged-v1,4,7,10,4,6,three_eighths,high_clustered,one_eighth,one_eighth,high_powers_of_two,positive_aligned,none,none,SEED-V2-A-N007-R010-X04,true,true,true
V2-A-N011-R006-X01,final,true,small_exact,small-exact-tagged-v1,1,11,6,2,4,one_eighth,low_clustered,zero,one_eighth,low_1_to_3,independent,none,none,SEED-V2-A-N011-R006-X01,true,true,true
