schedule,belief,capacity,optimal_objective,optimal_masks,optimal_libraries,optimal_burdens,selected_mask,selected_library,selected_burden,operational_value,generative_value,total_value,next_capacity,capacity_increment,forward_shadow,forward_capacity_arc_elasticity,feasible_count,enumerated_count,all_optima_feasible,ties_complete
equal_active,low,1//1,115//288,0,I,1//1,0,I,1//1,0//1,115//288,115//288,2//1,1//1,1229//288,1229//115,1,8,true,true
equal_active,low,2//1,14//3,4,I+D,2//1,4,I+D,2//1,14//3,0//1,14//3,3//1,1//1,0//1,0//1,4,8,true,true
equal_active,low,3//1,14//3,4;5;6,I+D;I+A+D;I+B+D,2//1;3//1;3//1,4,I+D,2//1,14//3,0//1,14//3,4//1,1//1,0//1,0//1,7,8,true,true
equal_active,low,4//1,14//3,4;5;6;7,I+D;I+A+D;I+B+D;I+A+B+D,2//1;3//1;3//1;4//1,4,I+D,2//1,14//3,0//1,14//3,,,,,8,8,true,true
equal_active,high,1//1,23//288,0,I,1//1,0,I,1//1,0//1,23//288,23//288,2//1,1//1,2089//288,2089//23,1,8,true,true
equal_active,high,2//1,22//3,4,I+D,2//1,4,I+D,2//1,22//3,0//1,22//3,3//1,1//1,0//1,0//1,4,8,true,true
equal_active,high,3//1,22//3,4;5;6,I+D;I+A+D;I+B+D,2//1;3//1;3//1,4,I+D,2//1,22//3,0//1,22//3,4//1,1//1,0//1,0//1,7,8,true,true
equal_active,high,4//1,22//3,4;5;6;7,I+D;I+A+D;I+B+D;I+A+B+D,2//1;3//1;3//1;4//1,4,I+D,2//1,22//3,0//1,22//3,,,,,8,8,true,true
carrier_heavy,low,1//1,115//288,0,I,1//1,0,I,1//1,0//1,115//288,115//288,2//1,1//1,1229//288,1229//115,1,8,true,true
carrier_heavy,low,2//1,14//3,4,I+D,2//1,4,I+D,2//1,14//3,0//1,14//3,3//1,1//1,0//1,0//1,2,8,true,true
carrier_heavy,low,3//1,14//3,4,I+D,2//1,4,I+D,2//1,14//3,0//1,14//3,4//1,1//1,0//1,0//1,4,8,true,true
carrier_heavy,low,4//1,14//3,4;5;6,I+D;I+A+D;I+B+D,2//1;4//1;4//1,4,I+D,2//1,14//3,0//1,14//3,5//1,1//1,0//1,0//1,6,8,true,true
carrier_heavy,low,5//1,14//3,4;5;6,I+D;I+A+D;I+B+D,2//1;4//1;4//1,4,I+D,2//1,14//3,0//1,14//3,6//1,1//1,0//1,0//1,7,8,true,true
carrier_heavy,low,6//1,14//3,4;5;6;7,I+D;I+A+D;I+B+D;I+A+B+D,2//1;4//1;4//1;6//1,4,I+D,2//1,14//3,0//1,14//3,,,,,8,8,true,true
carrier_heavy,high,1//1,23//288,0,I,1//1,0,I,1//1,0//1,23//288,23//288,2//1,1//1,2089//288,2089//23,1,8,true,true
carrier_heavy,high,2//1,22//3,4,I+D,2//1,4,I+D,2//1,22//3,0//1,22//3,3//1,1//1,0//1,0//1,2,8,true,true
carrier_heavy,high,3//1,22//3,4,I+D,2//1,4,I+D,2//1,22//3,0//1,22//3,4//1,1//1,0//1,0//1,4,8,true,true
carrier_heavy,high,4//1,22//3,4;5;6,I+D;I+A+D;I+B+D,2//1;4//1;4//1,4,I+D,2//1,22//3,0//1,22//3,5//1,1//1,0//1,0//1,6,8,true,true
carrier_heavy,high,5//1,22//3,4;5;6,I+D;I+A+D;I+B+D,2//1;4//1;4//1,4,I+D,2//1,22//3,0//1,22//3,6//1,1//1,0//1,0//1,7,8,true,true
carrier_heavy,high,6//1,22//3,4;5;6;7,I+D;I+A+D;I+B+D;I+A+B+D,2//1;4//1;4//1;6//1,4,I+D,2//1,22//3,0//1,22//3,,,,,8,8,true,true
descendant_heavy,low,1//1,115//288,0,I,1//1,0,I,1//1,0//1,115//288,115//288,2//1,1//1,173//288,173//115,1,8,true,true
descendant_heavy,low,2//1,1//1,1;2,I+A;I+B,2//1;2//1,1,I+A,2//1,0//1,1//1,1//1,3//1,1//1,11//3,22//3,3,8,true,true
descendant_heavy,low,3//1,14//3,4,I+D,3//1,4,I+D,3//1,14//3,0//1,14//3,4//1,1//1,0//1,0//1,5,8,true,true
descendant_heavy,low,4//1,14//3,4;5;6,I+D;I+A+D;I+B+D,3//1;4//1;4//1,4,I+D,3//1,14//3,0//1,14//3,5//1,1//1,0//1,0//1,7,8,true,true
descendant_heavy,low,5//1,14//3,4;5;6;7,I+D;I+A+D;I+B+D;I+A+B+D,3//1;4//1;4//1;5//1,4,I+D,3//1,14//3,0//1,14//3,,,,,8,8,true,true
descendant_heavy,high,1//1,23//288,0,I,1//1,0,I,1//1,0//1,23//288,23//288,2//1,1//1,313//288,313//23,1,8,true,true
descendant_heavy,high,2//1,7//6,1;2,I+A;I+B,2//1;2//1,1,I+A,2//1,0//1,7//6,7//6,3//1,1//1,37//6,74//7,3,8,true,true
descendant_heavy,high,3//1,22//3,4,I+D,3//1,4,I+D,3//1,22//3,0//1,22//3,4//1,1//1,0//1,0//1,5,8,true,true
descendant_heavy,high,4//1,22//3,4;5;6,I+D;I+A+D;I+B+D,3//1;4//1;4//1,4,I+D,3//1,22//3,0//1,22//3,5//1,1//1,0//1,0//1,7,8,true,true
descendant_heavy,high,5//1,22//3,4;5;6;7,I+D;I+A+D;I+B+D;I+A+B+D,3//1;4//1;4//1;5//1,4,I+D,3//1,22//3,0//1,22//3,,,,,8,8,true,true
