instance_id,phase,family,mechanism,strategy_count,tagged_requirement_count,algorithm_id,registry_position,instance_execution_position,algorithm_execution_position,applicable,status,solved,evidence_class,exact_burden,wall_clock_ns,julia_allocated_bytes,gc_time_seconds,compile_time_seconds,time_limit_seconds,time_limit_enforced,memory_limit_bytes,memory_limit_enforced,peak_memory_bytes,peak_memory_status,mip_node_count,mip_best_bound,mip_reported_gap,dp_state_count,dp_transition_count,frontier_check_count,closure_check_count,preprocessing_variables_removed,preprocessing_requirements_removed,record_path,record_sha256,log_path,log_sha256,failure_code
P-C-006,pilot,adversarial,symmetric_hard,8,8,minimum_unique_carrier_exposure,13,1,1,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,2//1,56831291,6186736,0.0,0.055641709,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,28,28,,,experiments/algorithmic_compression_v1/pilot/records/P-C-006/minimum_unique_carrier_exposure.toml,d623eaf79d1a89b51e9919fb8c20f5879b8690e99858943fbd4ef0d7daa16bd2,,,
P-C-006,pilot,adversarial,symmetric_hard,8,8,declared_source_order,13,1,2,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,2//1,4732000,347088,0.0,0.003953792,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,28,28,,,experiments/algorithmic_compression_v1/pilot/records/P-C-006/declared_source_order.toml,09696054a704043004679591c741e4d0169327b961a5eb70af25efab8a0bb927,,,
P-C-006,pilot,adversarial,symmetric_hard,8,8,random_order_rechecked_deletion,13,1,3,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,2//1,10547375,391328,0.0,0.009743124,120.0,false,17179869184,false,,UNAVAILABLE,,,,,,28,28,,,experiments/algorithmic_compression_v1/pilot/records/P-C-006/random_order_rechecked_deletion.toml,da85336431d75cd73f3a385bb51a52d8351f52bf8f9c622548dbcfb9d0a89747,,,
P-C-006,pilot,adversarial,symmetric_hard,8,8,multistart_random_rechecked_deletion_32,13,1,4,true,SOLVED,true,exact finite rechecked-deletion heuristic computation,2//1,28566291,10313664,0.0,0.012188457,120.0,false,17179869184,false,,UNAVAILABLE,,,,,,896,896,,,experiments/algorithmic_compression_v1/pilot/records/P-C-006/multistart_random_rechecked_deletion_32.toml,a0ec132ad5a8d5911ea92ff0f5128bd8615bf28674ca8cd9f262107aea5348c5,,,
P-C-006,pilot,adversarial,symmetric_hard,8,8,complete_enumeration,13,1,5,true,SOLVED,true,exact finite computation,2//1,114977625,11792632,0.0,0.113467791,300.0,false,17179869184,false,,UNAVAILABLE,,,,,,,,1,1,experiments/algorithmic_compression_v1/pilot/records/P-C-006/complete_enumeration.toml,85db94449c0772a45692bdcd43cb80cae309fa9a79366f4fd65ef3e41cf57d12,,,
P-C-006,pilot,adversarial,symmetric_hard,8,8,requirement_mask_dp,13,1,6,true,SOLVED,true,exact finite computation,2//1,9928041,612984,0.0,0.008868084,300.0,false,17179869184,false,,UNAVAILABLE,,,,53,106,,,1,1,experiments/algorithmic_compression_v1/pilot/records/P-C-006/requirement_mask_dp.toml,9adc6e002daec2d152fa5bb0aa4caaaae87f80c9565eba8c23cd9b4628eeda0e,,,
P-C-006,pilot,adversarial,symmetric_hard,8,8,jump_highs_tagged_cover,13,1,7,true,SOLVED,true,mixed-integer solver evidence plus exact post-check,2//1,939174625,243185056,0.0,0.921157793,300.0,true,17179869184,false,,UNAVAILABLE,1,2.0,0.0,,,,,1,1,experiments/algorithmic_compression_v1/pilot/records/P-C-006/jump_highs_tagged_cover.toml,953361b4380b854d6dfb67a83bf9a2ec475e00cb22443a951e40fe7121101535,experiments/algorithmic_compression_v1/pilot/solver_logs/P-C-006.log,88b307b17749130d2f6d88de6eae5220bbb59a0798f9c81093f04eab4b3d9f8f,
P-C-006,pilot,adversarial,symmetric_hard,8,8,weighted_greedy,13,1,8,true,SOLVED,true,exact finite greedy heuristic computation,2//1,39820459,2028464,0.0,0.038692584,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,,,,,experiments/algorithmic_compression_v1/pilot/records/P-C-006/weighted_greedy.toml,79a56d0cb3aa2147bb718ce922fa7707c4ffb7861ccc937a7c4dc15f3c4ccfd6,,,
P-C-006,pilot,adversarial,symmetric_hard,8,8,cardinality_greedy,13,1,9,true,SOLVED,true,exact finite greedy heuristic computation,2//1,657375,222496,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,,,,,experiments/algorithmic_compression_v1/pilot/records/P-C-006/cardinality_greedy.toml,8573bcc6e5a7d0c39853e3b8f50b1b3785bf09041c26fec8d343d57e735f2d19,,,
P-C-006,pilot,adversarial,symmetric_hard,8,8,weighted_greedy_reverse_delete,13,1,10,true,SOLVED,true,exact finite greedy heuristic computation,2//1,693583,228992,0.0,0.0,60.0,false,17179869184,false,,UNAVAILABLE,,,,,,,,,,experiments/algorithmic_compression_v1/pilot/records/P-C-006/weighted_greedy_reverse_delete.toml,5e67ff53daeff8d00c15dac01e1dea39fc67d69d24c1fd4f518069217c96db11,,,
