trial_id,batch_id,within_batch_order,principal_cell_id,canonical_index,replicate_id,theorem_regime,boundary_mechanism,frontier_density,module_overlap,module_complementarity,project_cost,duration,admission,persistence,schedule_key,trial_seed,catalog_seed,project_seed,deletion_seed
1,1,1,C038,38,1,primitive_eligible,none,dense,low,strong,low,short,high,low,87607281556355306,88896221981659946,8586167800522669909,3512831314653794819,9036757517036230724
2,1,2,C105,105,1,primitive_eligible,none,sparse,low,weak,high,short,high,high,233724678206544730,3498277895596856488,6883081616334972022,136314480862404494,2419093467911050948
3,1,3,C115,115,1,primitive_eligible,none,sparse,high,weak,low,long,high,high,476531435313533109,2460065269305029637,3631297257553582253,5113167563275408147,7846288248915081370
4,1,4,C023,23,1,primitive_eligible,none,sparse,high,strong,low,long,low,low,568821166051433874,6698470560631988635,8645848541155922826,4470009677930190069,2042297884948670827
5,1,5,C126,126,1,primitive_eligible,none,dense,low,strong,high,long,high,high,1063429593103792383,6003298121730580255,1508656677020022050,1617815409092735586,4948910875388848972
6,1,6,C122,122,1,primitive_eligible,none,dense,low,weak,high,long,high,high,1271434422082963836,8726577458587224425,2697901784102225107,5587727715739410753,6236163130737927970
7,1,7,C062,62,1,primitive_eligible,none,dense,low,strong,high,long,high,low,1393667236385038358,3764105936775036162,7088435667528665215,4067725236111345615,8349966811079766799
8,1,8,C113,113,1,primitive_eligible,none,sparse,low,weak,low,long,high,high,1434971491862265639,490778992412804868,152311022872860728,312000451548055726,1015988231911388979
9,1,9,C013,13,1,primitive_eligible,none,sparse,low,strong,high,short,low,low,1495739510134079713,6515261684155880940,9198117929958940461,4049976226511332196,1015623304443813865
10,1,10,C042,42,1,primitive_eligible,none,dense,low,weak,high,short,high,low,1585362262818965037,9101497487769862510,7715053695678875573,2400338238240519684,7838923723269633898
11,1,11,C109,109,1,primitive_eligible,none,sparse,low,strong,high,short,high,high,1934880438634365868,5056193851948679910,589631954810391109,6776581306365378028,8597295948911091307
12,1,12,C067,67,1,primitive_eligible,none,sparse,high,weak,low,short,low,high,1958171058381267574,8329199882715128910,5328052046020807568,752376687331094262,1725928721387891962
13,1,13,C009,9,1,primitive_eligible,none,sparse,low,weak,high,short,low,low,2154918849066188125,736289661223484805,3403610234409013950,2098111042250385142,4905373125846544311
