instance_id,family,size,algorithm_id,preprocessing_variant,primary_variant,status,candidate_accepted,exact_feasible,exact_burden,reference_class,reference_burden,absolute_gap,relative_gap,wall_clock_seconds,par2_seconds,time_limit_seconds,worker_lane,launch_wave,record_path,record_sha256
V2-A-N007-R006-X01,small_exact,N7-R6,cardinality_greedy,full_fixed_point_then_reconstruct,false,SOLVED,true,true,4//1,EXACT_FINITE,4//1,0//1,0//1,2.446611667,2.446611667,60.0,4,333,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/cardinality_greedy__full_fixed_point_then_reconstruct.toml,169d6f663adae65b2383a657cfbbd8940818f942edc32b22c251d27e83c58880
V2-A-N007-R006-X01,small_exact,N7-R6,cardinality_greedy,mandatory_only,true,SOLVED,true,true,4//1,EXACT_FINITE,4//1,0//1,0//1,0.934029417,0.934029417,60.0,3,333,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/cardinality_greedy__mandatory_only.toml,8f7dd10e027f832dab80ec2dd202c41b4dec05c82678748d68cf30bab6ff574a
V2-A-N007-R006-X01,small_exact,N7-R6,complete_enumeration,mandatory_only,true,SOLVED,true,true,4//1,EXACT_FINITE,4//1,0//1,0//1,0.378108708,0.378108708,300.0,4,332,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/complete_enumeration__mandatory_only.toml,d082ed7f7a8b306b06a78d9a4486b73e09f4a9a60c0aa3089d7a8a83fca78354
V2-A-N007-R006-X01,small_exact,N7-R6,declared_source_order,full_fixed_point_then_reconstruct,false,SOLVED,true,true,4//1,EXACT_FINITE,4//1,0//1,0//1,2.543535208,2.543535208,60.0,7,331,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/declared_source_order__full_fixed_point_then_reconstruct.toml,3e48f4c9daeeb6494d1e81d1251057a3389cab6ecdc16ab0d184e83a53e78641
V2-A-N007-R006-X01,small_exact,N7-R6,declared_source_order,mandatory_only,true,SOLVED,true,true,4//1,EXACT_FINITE,4//1,0//1,0//1,0.806754458,0.806754458,60.0,6,331,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/declared_source_order__mandatory_only.toml,e7cce50004f0528e457aca6a5f794848f366eb42921df0def45ec0d354531402
V2-A-N007-R006-X01,small_exact,N7-R6,heaviest_safe_first,full_fixed_point_then_reconstruct,false,SOLVED,true,true,4//1,EXACT_FINITE,4//1,0//1,0//1,2.943096667,2.943096667,60.0,8,333,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/heaviest_safe_first__full_fixed_point_then_reconstruct.toml,4cc3ff27ec113c15e270ba5b40f33dd0f9431cf9d528959cac857c408853db33
V2-A-N007-R006-X01,small_exact,N7-R6,heaviest_safe_first,mandatory_only,true,SOLVED,true,true,4//1,EXACT_FINITE,4//1,0//1,0//1,0.45747625,0.45747625,60.0,7,333,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/heaviest_safe_first__mandatory_only.toml,0d01e3c78e7e4cf169f4ef4fa67a1518364202101a8dbac70f3998f2f99d724e
V2-A-N007-R006-X01,small_exact,N7-R6,jump_highs_tagged_cover,full_fixed_point,true,SOLVED,true,true,4//1,EXACT_FINITE,4//1,0//1,0//1,3.546917708,3.546917708,300.0,7,332,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,3ae1a8a260d2ffbd8b7ea53a45c75967c7ab3eb36a5002b3bbad607f1b133921
V2-A-N007-R006-X01,small_exact,N7-R6,jump_highs_tagged_cover,mandatory_only,false,SOLVED,true,true,4//1,EXACT_FINITE,4//1,0//1,0//1,1.868495084,1.868495084,300.0,8,332,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/jump_highs_tagged_cover__mandatory_only.toml,b683b01a128f428054e586bdfe7409fe8f2ee3e110869df41f3930558da1ebe1
V2-A-N007-R006-X01,small_exact,N7-R6,lightest_safe_first,full_fixed_point_then_reconstruct,false,SOLVED,true,true,4//1,EXACT_FINITE,4//1,0//1,0//1,3.862413167,3.862413167,60.0,1,331,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/lightest_safe_first__full_fixed_point_then_reconstruct.toml,cf232ce2ee9acb2f8c44e093ade7b35e082ed78f31f49cc53691d8adc22d4f02
V2-A-N007-R006-X01,small_exact,N7-R6,lightest_safe_first,mandatory_only,true,SOLVED,true,true,4//1,EXACT_FINITE,4//1,0//1,0//1,0.545115291,0.545115291,60.0,1,334,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/lightest_safe_first__mandatory_only.toml,599e6ecd2becc2e72d0353d989a5d01c654c9bb65d30ca075e3eae0e98bb3424
V2-A-N007-R006-X01,small_exact,N7-R6,maximum_immediate_burden_release,full_fixed_point_then_reconstruct,false,SOLVED,true,true,4//1,EXACT_FINITE,4//1,0//1,0//1,2.726215292,2.726215292,60.0,3,331,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/maximum_immediate_burden_release__full_fixed_point_then_reconstruct.toml,b1f992447e3f5207f7806ec70708fb19a8d00a7cefac5fe2bbf384357ae6fbb2
V2-A-N007-R006-X01,small_exact,N7-R6,maximum_immediate_burden_release,mandatory_only,true,SOLVED,true,true,4//1,EXACT_FINITE,4//1,0//1,0//1,0.714874167,0.714874167,60.0,2,331,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/maximum_immediate_burden_release__mandatory_only.toml,2e93f5cfe18da6ccc4088b04f053292a520e088853bd7b745b0dfb758fe252bf
V2-A-N007-R006-X01,small_exact,N7-R6,minimum_unique_carrier_exposure,full_fixed_point_then_reconstruct,false,SOLVED,true,true,4//1,EXACT_FINITE,4//1,0//1,0//1,3.361723916,3.361723916,60.0,5,331,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/minimum_unique_carrier_exposure__full_fixed_point_then_reconstruct.toml,5baf625c4291f4bfc5f81f46c01a06c0bec8e12617ffc7aebbf198858752761c
V2-A-N007-R006-X01,small_exact,N7-R6,minimum_unique_carrier_exposure,mandatory_only,true,SOLVED,true,true,4//1,EXACT_FINITE,4//1,0//1,0//1,0.819897041,0.819897041,60.0,4,331,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/minimum_unique_carrier_exposure__mandatory_only.toml,58c5b6f0e4970fa4180f381ab75356ece5966a3d1b9cab5b4af1ff0248ca6a3b
V2-A-N007-R006-X01,small_exact,N7-R6,multistart_random_rechecked_deletion_32,full_fixed_point_then_reconstruct,false,SOLVED,true,true,4//1,EXACT_FINITE,4//1,0//1,0//1,4.389171459,4.389171459,120.0,3,332,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/multistart_random_rechecked_deletion_32__full_fixed_point_then_reconstruct.toml,63d761c309b2791c05676806b6905fa340adcddc499a8ced0b5478cc64ee7814
V2-A-N007-R006-X01,small_exact,N7-R6,multistart_random_rechecked_deletion_32,mandatory_only,true,SOLVED,true,true,4//1,EXACT_FINITE,4//1,0//1,0//1,1.102314667,1.102314667,120.0,2,332,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,96fd5642ee746a6437edcafa13fea5e8def1f8ad0a1dff9691ba4a5d8f16655e
V2-A-N007-R006-X01,small_exact,N7-R6,random_order_rechecked_deletion,full_fixed_point_then_reconstruct,false,SOLVED,true,true,4//1,EXACT_FINITE,4//1,0//1,0//1,3.733764542,3.733764542,120.0,1,332,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/random_order_rechecked_deletion__full_fixed_point_then_reconstruct.toml,36f3de3598b2f79ce9a674bdd438703e40dbe852c42a6679e1b1fd002455d286
V2-A-N007-R006-X01,small_exact,N7-R6,random_order_rechecked_deletion,mandatory_only,true,SOLVED,true,true,4//1,EXACT_FINITE,4//1,0//1,0//1,0.88583225,0.88583225,120.0,8,331,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/random_order_rechecked_deletion__mandatory_only.toml,f5afc36cbb4e39594849703d668087b647490b64dd18e9bf9d167f4aa47458fd
V2-A-N007-R006-X01,small_exact,N7-R6,requirement_mask_dp,full_fixed_point,false,SOLVED,true,true,4//1,EXACT_FINITE,4//1,0//1,0//1,2.492911875,2.492911875,300.0,6,332,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/requirement_mask_dp__full_fixed_point.toml,90f1d261faa61206aeb1a1a1f214073d1721c3641c3ab7bd8c233ddf11bfb6fe
