field,value,source_path,source_sha256
architecture,arm64,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
blas_threads,1,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
cpu,Apple M1 Pro,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
dependency_manifest_sha256,4f75e819e1e3fa28cc39e0600937d0d28345e74ee3e0f9a092aa71dfd1a6f666,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
design_lock_amendment_path,experiments/algorithmic_compression_v2/amendments/DESIGN_LOCK_AMENDMENT_002.json,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
design_lock_amendment_sha256,08788e4859c0df6817235d2ccecd8afbdcfd8101e591b7b5c1479e632bd6538f,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
dirty_worktree,true,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
dirty_worktree_status_sha256,eca3bba443ef096303829e24562ac60d124550d52525693208d935be3dc5ed32,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
end_time_utc,2026-08-27T18:42:13.828Z,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
execution_lock_status_for_run,amendment_002_verified,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
final_seed_scope_only,true,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
git_commit,e0242cfb43f936d9ae383ba4cfa3c1929e2a1b0d,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
highs_julia_version,1.24.1,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
highs_threads,1,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
highs_version,v1.15.1,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
julia_threads,8,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
julia_version,1.12.6,experiments/algorithmic_compression_v2/results/environment_amendment_002.toml,42c3829ee098b36be479af09251794ef7b62c9bb00a821d5efad85c1d8ec671b
