instance_id,algorithm_id,relative_gap,record_path,record_sha256
V2-A-N007-R006-X01,cardinality_greedy,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/cardinality_greedy__mandatory_only.toml,8f7dd10e027f832dab80ec2dd202c41b4dec05c82678748d68cf30bab6ff574a
V2-A-N007-R006-X01,declared_source_order,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/declared_source_order__mandatory_only.toml,e7cce50004f0528e457aca6a5f794848f366eb42921df0def45ec0d354531402
V2-A-N007-R006-X01,heaviest_safe_first,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/heaviest_safe_first__mandatory_only.toml,0d01e3c78e7e4cf169f4ef4fa67a1518364202101a8dbac70f3998f2f99d724e
V2-A-N007-R006-X01,lightest_safe_first,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/lightest_safe_first__mandatory_only.toml,599e6ecd2becc2e72d0353d989a5d01c654c9bb65d30ca075e3eae0e98bb3424
V2-A-N007-R006-X01,maximum_immediate_burden_release,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/maximum_immediate_burden_release__mandatory_only.toml,2e93f5cfe18da6ccc4088b04f053292a520e088853bd7b745b0dfb758fe252bf
V2-A-N007-R006-X01,minimum_unique_carrier_exposure,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/minimum_unique_carrier_exposure__mandatory_only.toml,58c5b6f0e4970fa4180f381ab75356ece5966a3d1b9cab5b4af1ff0248ca6a3b
V2-A-N007-R006-X01,multistart_random_rechecked_deletion_32,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,96fd5642ee746a6437edcafa13fea5e8def1f8ad0a1dff9691ba4a5d8f16655e
V2-A-N007-R006-X01,random_order_rechecked_deletion,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/random_order_rechecked_deletion__mandatory_only.toml,f5afc36cbb4e39594849703d668087b647490b64dd18e9bf9d167f4aa47458fd
V2-A-N007-R006-X01,weighted_greedy,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/weighted_greedy__mandatory_only.toml,73c063696a96d9dd26093b34a9cc073ca497c97e69fd2171fd18addd35cfb4ef
V2-A-N007-R006-X01,weighted_greedy_reverse_delete,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/weighted_greedy_reverse_delete__mandatory_only.toml,8be0384a792a4f5e1080f498de5c158d23fa16a6faa5862d3e3f85cae7fb8f1c
V2-A-N007-R006-X02,cardinality_greedy,3//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/cardinality_greedy__mandatory_only.toml,12f542b9a80b481cb5def4fc583cfe4b049ae28af75aa61779b1ee99336e2c8a
V2-A-N007-R006-X02,declared_source_order,3//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/declared_source_order__mandatory_only.toml,99e903b87501f9f2b7f2f51c7d6d5d6548b1268787ead45aca723c577f4fea25
V2-A-N007-R006-X02,heaviest_safe_first,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/heaviest_safe_first__mandatory_only.toml,8d584ddbe177006fb8c0e5eefa57a4e031c92bffb56c815c5407a5cda58ba451
V2-A-N007-R006-X02,lightest_safe_first,3//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/lightest_safe_first__mandatory_only.toml,6cad6b0c6ac4e5ae764a3b527437f109b7fc77d53c3b0d550896fe0902457785
V2-A-N007-R006-X02,maximum_immediate_burden_release,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/maximum_immediate_burden_release__mandatory_only.toml,2604724b818d445fdc7f65730cd72fe0767bb7f9d095a9c975b2df407377ca27
V2-A-N007-R006-X02,minimum_unique_carrier_exposure,3//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/minimum_unique_carrier_exposure__mandatory_only.toml,137c030cdf7f929efc8118a3bbb62c6618d0fd2e5a69dbcfcbd6f8be61143af9
V2-A-N007-R006-X02,multistart_random_rechecked_deletion_32,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X02,random_order_rechecked_deletion,3//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/random_order_rechecked_deletion__mandatory_only.toml,1f6dd7b359dbc79b1b2f900c9a08c9f982c1d3961dd55a637459150ec6560d3d
V2-A-N007-R006-X02,weighted_greedy,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/weighted_greedy__mandatory_only.toml,028f9fc2487172bde9856ef060405509c860d185a88ee509f82e8b38569b5840
V2-A-N007-R006-X02,weighted_greedy_reverse_delete,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/weighted_greedy_reverse_delete__mandatory_only.toml,a1720cc35d8bc9895aeb78a8ffe2863cf6508902890d10d25b7b342245d78d93
V2-A-N007-R006-X03,cardinality_greedy,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/cardinality_greedy__mandatory_only.toml,8ae01974f768d30d8fbffbe017174af51691ae845bf71b1b986c6a9ae4a1937f
V2-A-N007-R006-X03,declared_source_order,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/declared_source_order__mandatory_only.toml,6691b5e3fb943a5e5fd61ab771ec6dc5dc13985c90eece6467fc62c6b1e0019a
V2-A-N007-R006-X03,heaviest_safe_first,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/heaviest_safe_first__mandatory_only.toml,4b6132ae5999ed2ef1dda5ef62f33b04617f36af18e52556c1c54c16176389ea
V2-A-N007-R006-X03,lightest_safe_first,1//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/lightest_safe_first__mandatory_only.toml,9dcf2daba9d6c0c661d2c19b9af5c9f30fa1661170b9f84d013d4c9dbedd32b3
V2-A-N007-R006-X03,maximum_immediate_burden_release,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/maximum_immediate_burden_release__mandatory_only.toml,2b8e74504632fa731865f1980803ab03b26c539e405c926608c7245c00d89dbc
V2-A-N007-R006-X03,minimum_unique_carrier_exposure,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/minimum_unique_carrier_exposure__mandatory_only.toml,3779b663d24f6010ef67f5f3496308877438bbc2f7f7b85193f70abfa2734596
V2-A-N007-R006-X03,multistart_random_rechecked_deletion_32,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X03,random_order_rechecked_deletion,1//2,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/random_order_rechecked_deletion__mandatory_only.toml,6980cf89121b09c68294a7aeb041e23e4d694a58d8e1a2df1415255e986689b5
V2-A-N007-R006-X03,weighted_greedy,1//4,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/weighted_greedy__mandatory_only.toml,c880b7a4e3d1e92fbb925591ad1bfabcd340dec706d3b37befc9ebdb8ef6b063
V2-A-N007-R006-X03,weighted_greedy_reverse_delete,1//4,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/weighted_greedy_reverse_delete__mandatory_only.toml,04587cca210697a889cd5dc93e91a00df6cb2790fb38649fb7941382382083f3
V2-A-N007-R010-X01,cardinality_greedy,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/cardinality_greedy__mandatory_only.toml,68141fa5746369e4b3e3aa3f60ef692cf80b7703768b9eac9b086c75ff568855
V2-A-N007-R010-X01,declared_source_order,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/declared_source_order__mandatory_only.toml,85ba5b527e069bf48608d2d72bcf96757f906db7b0ac6cfdc6a38a1549ed65cf
V2-A-N007-R010-X01,heaviest_safe_first,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/heaviest_safe_first__mandatory_only.toml,c12950b3b7bc624b86299ee5a30c52bcec3645f419fe320de1aa972715027976
V2-A-N007-R010-X01,lightest_safe_first,3//2,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/lightest_safe_first__mandatory_only.toml,222d0175eb025457e0c03725a3430d7da6f7982139cc1b2625d4e30333759d25
V2-A-N007-R010-X01,maximum_immediate_burden_release,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/maximum_immediate_burden_release__mandatory_only.toml,cdc7c96ced1469b253f9629f2946da9069d4838b2e1fb768ef1e2210051bf673
V2-A-N007-R010-X01,minimum_unique_carrier_exposure,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/minimum_unique_carrier_exposure__mandatory_only.toml,18dacb31d785aa5212be15cfbe6a766d06a93da066aa1be475818ea89a2c961d
V2-A-N007-R010-X01,multistart_random_rechecked_deletion_32,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,9ba7057c9ea7158a2bd6aec25e43e9a8d7d3960a8ca35f72edf3719d8e9f47e6
V2-A-N007-R010-X01,random_order_rechecked_deletion,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/random_order_rechecked_deletion__mandatory_only.toml,3e344936200f04189c593b6e2fcd845b664a4d1fc66996e8b356b5e6d45caea3
V2-A-N007-R010-X01,weighted_greedy,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/weighted_greedy__mandatory_only.toml,5f039610e30bf228a03fa29510b1694b1b565ba4e0e1c3dd859bf26d628b2539
V2-A-N007-R010-X01,weighted_greedy_reverse_delete,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/weighted_greedy_reverse_delete__mandatory_only.toml,227a54d5a9caf9c38d99f46062e1e5ef1ea8e54eca157a12cbe9d9681638f92f
V2-A-N007-R010-X02,cardinality_greedy,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/cardinality_greedy__mandatory_only.toml,6537b79c5c27d1b6dc01e37ff635d26e463608a28fdb34f2d1f289940c1d27a6
V2-A-N007-R010-X02,declared_source_order,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/declared_source_order__mandatory_only.toml,70722d0aed9995c9d8d608276815676c507b72ab2d1cfbdfc478b0bc92c1054f
V2-A-N007-R010-X02,heaviest_safe_first,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/heaviest_safe_first__mandatory_only.toml,31047a611747c176df6d0fd32857ee67ebd403020aac50e289ed8def55cdd484
V2-A-N007-R010-X02,lightest_safe_first,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/lightest_safe_first__mandatory_only.toml,e30ffc777df6d88c35185df2614a57f9195148e65550025a6feb34852dbe7f54
V2-A-N007-R010-X02,maximum_immediate_burden_release,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/maximum_immediate_burden_release__mandatory_only.toml,c3841104f96790fb5bb4fd521acff226be9a9ca15721fb041a0de762e9ab5fc4
V2-A-N007-R010-X02,minimum_unique_carrier_exposure,0//1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/minimum_unique_carrier_exposure__mandatory_only.toml,5434db21faafeccde4d759a114fdba6aa623cca72022249bca3bd266211e723b
