instance_id,family,size,full_status,mandatory_status,variable_reduction_fraction,requirement_reduction_fraction,log_par2_difference_full_minus_mandatory,log1p_node_difference_full_minus_mandatory,full_record_path,full_record_sha256,mandatory_record_path,mandatory_record_sha256
V2-B-N064-R032-C01-X01,structured,N64-R32,SOLVED,SOLVED,0.640625,0.0625,1.1470458783181767,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X01/jump_highs_tagged_cover__full_fixed_point.toml,dad695e59dadbd9dcb362e3be1cba073c30098d7e00faa77ef5ddca637c9de0c,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X01/jump_highs_tagged_cover__mandatory_only.toml,b6ffbe5478917b3fa4684d0b3ba406c21a039d3e30f93be8fa49b7d8d8b33e3c
V2-B-N064-R032-C01-X02,structured,N64-R32,SOLVED,SOLVED,0.65625,0.09375,1.281731089113618,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X02/jump_highs_tagged_cover__full_fixed_point.toml,d6a122e28f357877cc13f796eb8ac3b12e381e33c3405a2a3361eb77764844cb,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X02/jump_highs_tagged_cover__mandatory_only.toml,e34e60c65ef30428e823f915efc7bb367807ef94e0131ba4c8316f0a330c0676
V2-B-N064-R032-C02-X01,structured,N64-R32,SOLVED,SOLVED,0.921875,0.875,1.1113416235675957,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X01/jump_highs_tagged_cover__full_fixed_point.toml,8f71c1fce340519cf25fdd603251c88564cf40bb158ab09fba32e041142a905a,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X01/jump_highs_tagged_cover__mandatory_only.toml,15f445f837ed975f6b57de6ab449b51e6a5de3ca6dcb458d6a38c5368a46ca60
V2-B-N064-R032-C02-X02,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,1.4436480231058786,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X02/jump_highs_tagged_cover__full_fixed_point.toml,94e2cce1c3e57397c6765792544e2cfaf6247ecab17d81b973e14ab041f430f3,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X02/jump_highs_tagged_cover__mandatory_only.toml,88e37b1e89a70b486483f72d5f84afc8b52e27d22cc2c2adffb0ab6e77b45f35
V2-B-N064-R032-C03-X01,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,1.2268316252861413,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C03-X01/jump_highs_tagged_cover__full_fixed_point.toml,95607703eafef5178fb7315f1ad83e418c43dabfd08276514a9ebd08a7e23aa1,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C03-X01/jump_highs_tagged_cover__mandatory_only.toml,5224bb5ef7b25f95810b19a7d59ccbcb067ca7f99ba5be29d298e3c04143694d
V2-B-N064-R032-C03-X02,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,1.0,1.0,0.5546760976784156,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C03-X02/jump_highs_tagged_cover__full_fixed_point.toml,833d9554abccdf3b5c9442db0f41a4265cf6c052a675a2d853f2010bfe4bff97,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C03-X02/jump_highs_tagged_cover__mandatory_only.toml,91efcf42cd3c93a745ea829d305f5a2115014cf74d23a708a6151f2ec114a235
V2-B-N064-R032-C04-X01,structured,N64-R32,SOLVED,SOLVED,0.859375,0.53125,1.3826003855255766,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C04-X01/jump_highs_tagged_cover__full_fixed_point.toml,732fd7070315523e4b3f174bd5373d258916462b1620f1b8c8a55f302147c208,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C04-X01/jump_highs_tagged_cover__mandatory_only.toml,724ae8909b09d7177135753ff8361abebbf39f6641a9ecdcc6f82ee911c5ef94
V2-B-N064-R032-C04-X02,structured,N64-R32,SOLVED,SOLVED,0.875,0.5625,0.9699820447411039,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C04-X02/jump_highs_tagged_cover__full_fixed_point.toml,81a7834207e38033d5d93671ad19fb7c5a40e1094e1c1ab959af95b7132dd945,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C04-X02/jump_highs_tagged_cover__mandatory_only.toml,e8a41952a1fc8e3e73d19bf6d52b064fe2893b415faffea1db78b1624b493945
V2-B-N064-R032-C05-X01,structured,N64-R32,SOLVED,SOLVED,0.828125,0.4375,1.6119098429693708,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C05-X01/jump_highs_tagged_cover__full_fixed_point.toml,4a8e22f2c72b750aa71a13662c69853f818f8dcbeb3e9a7f15cd4eb37250b86c,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C05-X01/jump_highs_tagged_cover__mandatory_only.toml,23df9d83364a2686b2bf9759621126143cac8579e61264d93d53e91066dd3c65
V2-B-N064-R032-C05-X02,structured,N64-R32,SOLVED,SOLVED,0.84375,0.59375,1.442261562661857,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C05-X02/jump_highs_tagged_cover__full_fixed_point.toml,38e93912977bddef2986410693de2848372601f70b722fc96ed421c22fde5bc0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C05-X02/jump_highs_tagged_cover__mandatory_only.toml,3ca9d9b8c8628087ef2e1e91f3ac550c1d76e5b281a6f4a01c96ddc05a480b63
