family,size,algorithm_id,algorithm,registered_n,gap_available_n,median_relative_gap,worst_relative_gap,trace_join_key
small_exact,N11-R10,weighted_greedy,Weighted greedy,4,4,0.1000000000000000000000000000000000000000000000000000000000000000000000000000002,3//8,small_exact|N11-R10|weighted_greedy|primary
small_exact,N11-R10,cardinality_greedy,Cardinality greedy,4,4,0.0,0//1,small_exact|N11-R10|cardinality_greedy|primary
small_exact,N11-R10,weighted_greedy_reverse_delete,Weighted greedy + reverse deletion,4,4,0.0,0//1,small_exact|N11-R10|weighted_greedy_reverse_delete|primary
small_exact,N11-R10,heaviest_safe_first,Heaviest safe first,4,4,0.0,0//1,small_exact|N11-R10|heaviest_safe_first|primary
small_exact,N11-R10,lightest_safe_first,Lightest safe first,4,4,0.75,17//5,small_exact|N11-R10|lightest_safe_first|primary
small_exact,N11-R10,maximum_immediate_burden_release,Maximum immediate release,4,4,0.0,0//1,small_exact|N11-R10|maximum_immediate_burden_release|primary
small_exact,N11-R10,minimum_unique_carrier_exposure,Minimum unique-carrier exposure,4,4,0.0,0//1,small_exact|N11-R10|minimum_unique_carrier_exposure|primary
small_exact,N11-R10,declared_source_order,Declared source order,4,4,0.0,1//1,small_exact|N11-R10|declared_source_order|primary
small_exact,N11-R10,random_order_rechecked_deletion,Random-order deletion,4,4,2.6875,17//5,small_exact|N11-R10|random_order_rechecked_deletion|primary
small_exact,N11-R10,multistart_random_rechecked_deletion_32,32-start random deletion,4,4,0.0,0//1,small_exact|N11-R10|multistart_random_rechecked_deletion_32|primary
small_exact,N11-R6,weighted_greedy,Weighted greedy,4,4,0.0,1//2,small_exact|N11-R6|weighted_greedy|primary
small_exact,N11-R6,cardinality_greedy,Cardinality greedy,4,4,0.1000000000000000000000000000000000000000000000000000000000000000000000000000002,2//7,small_exact|N11-R6|cardinality_greedy|primary
small_exact,N11-R6,weighted_greedy_reverse_delete,Weighted greedy + reverse deletion,4,4,0.0,0//1,small_exact|N11-R6|weighted_greedy_reverse_delete|primary
small_exact,N11-R6,heaviest_safe_first,Heaviest safe first,4,4,0.0,0//1,small_exact|N11-R6|heaviest_safe_first|primary
small_exact,N11-R6,lightest_safe_first,Lightest safe first,4,4,0.3428571428571428571428571428571428571428571428571428571428571428571428571428573,2//1,small_exact|N11-R6|lightest_safe_first|primary
small_exact,N11-R6,maximum_immediate_burden_release,Maximum immediate release,4,4,0.0,0//1,small_exact|N11-R6|maximum_immediate_burden_release|primary
small_exact,N11-R6,minimum_unique_carrier_exposure,Minimum unique-carrier exposure,4,4,0.1000000000000000000000000000000000000000000000000000000000000000000000000000002,2//7,small_exact|N11-R6|minimum_unique_carrier_exposure|primary
small_exact,N11-R6,declared_source_order,Declared source order,4,4,0.3428571428571428571428571428571428571428571428571428571428571428571428571428573,2//1,small_exact|N11-R6|declared_source_order|primary
small_exact,N11-R6,random_order_rechecked_deletion,Random-order deletion,4,4,0.2000000000000000000000000000000000000000000000000000000000000000000000000000004,2//1,small_exact|N11-R6|random_order_rechecked_deletion|primary
small_exact,N11-R6,multistart_random_rechecked_deletion_32,32-start random deletion,4,4,0.0,0//1,small_exact|N11-R6|multistart_random_rechecked_deletion_32|primary
small_exact,N15-R10,weighted_greedy,Weighted greedy,4,4,0.0,2//9,small_exact|N15-R10|weighted_greedy|primary
small_exact,N15-R10,cardinality_greedy,Cardinality greedy,4,4,0.3055555555555555555555555555555555555555555555555555555555555555555555555555565,1//1,small_exact|N15-R10|cardinality_greedy|primary
small_exact,N15-R10,weighted_greedy_reverse_delete,Weighted greedy + reverse deletion,4,4,0.0,2//9,small_exact|N15-R10|weighted_greedy_reverse_delete|primary
small_exact,N15-R10,heaviest_safe_first,Heaviest safe first,4,4,0.0,0//1,small_exact|N15-R10|heaviest_safe_first|primary
small_exact,N15-R10,lightest_safe_first,Lightest safe first,4,4,1.5,3//1,small_exact|N15-R10|lightest_safe_first|primary
small_exact,N15-R10,maximum_immediate_burden_release,Maximum immediate release,4,4,0.0,0//1,small_exact|N15-R10|maximum_immediate_burden_release|primary
small_exact,N15-R10,minimum_unique_carrier_exposure,Minimum unique-carrier exposure,4,4,0.0,1//9,small_exact|N15-R10|minimum_unique_carrier_exposure|primary
small_exact,N15-R10,declared_source_order,Declared source order,4,4,1.166666666666666666666666666666666666666666666666666666666666666666666666666661,3//1,small_exact|N15-R10|declared_source_order|primary
small_exact,N15-R10,random_order_rechecked_deletion,Random-order deletion,4,4,1.166666666666666666666666666666666666666666666666666666666666666666666666666661,5//2,small_exact|N15-R10|random_order_rechecked_deletion|primary
small_exact,N15-R10,multistart_random_rechecked_deletion_32,32-start random deletion,4,4,0.0,0//1,small_exact|N15-R10|multistart_random_rechecked_deletion_32|primary
small_exact,N15-R6,weighted_greedy,Weighted greedy,4,4,0.0,1//4,small_exact|N15-R6|weighted_greedy|primary
small_exact,N15-R6,cardinality_greedy,Cardinality greedy,4,4,0.3333333333333333333333333333333333333333333333333333333333333333333333333333348,7//1,small_exact|N15-R6|cardinality_greedy|primary
small_exact,N15-R6,weighted_greedy_reverse_delete,Weighted greedy + reverse deletion,4,4,0.0,0//1,small_exact|N15-R6|weighted_greedy_reverse_delete|primary
small_exact,N15-R6,heaviest_safe_first,Heaviest safe first,4,4,0.0,0//1,small_exact|N15-R6|heaviest_safe_first|primary
small_exact,N15-R6,lightest_safe_first,Lightest safe first,4,4,3.583333333333333333333333333333333333333333333333333333333333333333333333333322,7//1,small_exact|N15-R6|lightest_safe_first|primary
small_exact,N15-R6,maximum_immediate_burden_release,Maximum immediate release,4,4,0.0,0//1,small_exact|N15-R6|maximum_immediate_burden_release|primary
small_exact,N15-R6,minimum_unique_carrier_exposure,Minimum unique-carrier exposure,4,4,0.0,0//1,small_exact|N15-R6|minimum_unique_carrier_exposure|primary
small_exact,N15-R6,declared_source_order,Declared source order,4,4,0.5833333333333333333333333333333333333333333333333333333333333333333333333333305,4//3,small_exact|N15-R6|declared_source_order|primary
small_exact,N15-R6,random_order_rechecked_deletion,Random-order deletion,4,4,1.166666666666666666666666666666666666666666666666666666666666666666666666666678,7//1,small_exact|N15-R6|random_order_rechecked_deletion|primary
small_exact,N15-R6,multistart_random_rechecked_deletion_32,32-start random deletion,4,4,0.0,0//1,small_exact|N15-R6|multistart_random_rechecked_deletion_32|primary
small_exact,N7-R10,weighted_greedy,Weighted greedy,4,4,0.0,1//5,small_exact|N7-R10|weighted_greedy|primary
small_exact,N7-R10,cardinality_greedy,Cardinality greedy,4,4,0.2000000000000000000000000000000000000000000000000000000000000000000000000000004,3//2,small_exact|N7-R10|cardinality_greedy|primary
small_exact,N7-R10,weighted_greedy_reverse_delete,Weighted greedy + reverse deletion,4,4,0.0,1//5,small_exact|N7-R10|weighted_greedy_reverse_delete|primary
small_exact,N7-R10,heaviest_safe_first,Heaviest safe first,4,4,0.0,1//5,small_exact|N7-R10|heaviest_safe_first|primary
small_exact,N7-R10,lightest_safe_first,Lightest safe first,4,4,0.9500000000000000000000000000000000000000000000000000000000000000000000000000069,3//2,small_exact|N7-R10|lightest_safe_first|primary
small_exact,N7-R10,maximum_immediate_burden_release,Maximum immediate release,4,4,0.0,1//5,small_exact|N7-R10|maximum_immediate_burden_release|primary
small_exact,N7-R10,minimum_unique_carrier_exposure,Minimum unique-carrier exposure,4,4,0.1000000000000000000000000000000000000000000000000000000000000000000000000000002,3//2,small_exact|N7-R10|minimum_unique_carrier_exposure|primary
small_exact,N7-R10,declared_source_order,Declared source order,4,4,0.0,3//2,small_exact|N7-R10|declared_source_order|primary
