comparison_class,family,left,right,paired_n,left_wins,ties,left_losses,median_left_minus_right,sign_interval_lower_95,sign_interval_upper_95,two_sided_sign_test_p
primary_algorithm_PAR2,small_exact,complete_enumeration,requirement_mask_dp,24,13,1,10,-0.105077167,-0.25553054100000006,0.15064308299999996,0.6776394844055176
primary_algorithm_PAR2,small_exact,complete_enumeration,jump_highs_tagged_cover,24,23,1,0,-3.418979854,-3.9288045830000002,-2.607125333,2.384185791015625e-7
primary_algorithm_PAR2,small_exact,complete_enumeration,weighted_greedy,24,15,0,9,-0.0557503335,-0.23976704100000007,0.10212733299999999,0.30745625495910645
primary_algorithm_PAR2,small_exact,complete_enumeration,cardinality_greedy,24,15,0,9,-0.11972687449999997,-0.326628791,0.07627220800000001,0.30745625495910645
primary_algorithm_PAR2,small_exact,complete_enumeration,weighted_greedy_reverse_delete,24,14,0,10,-0.02832945800000003,-0.11200458299999999,0.184826999,0.5412561893463135
primary_algorithm_PAR2,small_exact,complete_enumeration,heaviest_safe_first,24,18,0,6,-0.278261729,-0.39209270799999996,-0.07936754199999996,0.022655844688415527
primary_algorithm_PAR2,small_exact,complete_enumeration,lightest_safe_first,24,17,0,7,-0.1237067290000001,-0.22987320900000008,0.04326825000000001,0.06391465663909912
primary_algorithm_PAR2,small_exact,complete_enumeration,maximum_immediate_burden_release,24,13,0,11,-0.01394395850000002,-0.2678007499999999,0.15503279199999997,0.8388197422027588
primary_algorithm_PAR2,small_exact,complete_enumeration,minimum_unique_carrier_exposure,24,14,0,10,-0.03948716599999996,-0.250100084,0.104601167,0.5412561893463135
primary_algorithm_PAR2,small_exact,complete_enumeration,declared_source_order,24,15,0,9,-0.15957216650000006,-0.40609737599999995,0.11760541600000002,0.30745625495910645
primary_algorithm_PAR2,small_exact,complete_enumeration,random_order_rechecked_deletion,24,15,0,9,-0.18102458399999996,-0.276651501,0.146293334,0.30745625495910645
primary_algorithm_PAR2,small_exact,complete_enumeration,multistart_random_rechecked_deletion_32,24,18,0,6,-0.211173438,-0.41902633400000006,-0.04673637399999997,0.022655844688415527
primary_algorithm_PAR2,small_exact,requirement_mask_dp,jump_highs_tagged_cover,24,23,1,0,-3.379442646,-3.951694417,-2.262439041,2.384185791015625e-7
primary_algorithm_PAR2,small_exact,requirement_mask_dp,weighted_greedy,24,12,0,12,0.007901708000000007,-0.13278691600000003,0.30590729199999994,1.0
primary_algorithm_PAR2,small_exact,requirement_mask_dp,cardinality_greedy,24,12,0,12,-0.041806311500000026,-0.26183524999999996,0.28926587500000006,1.0
primary_algorithm_PAR2,small_exact,requirement_mask_dp,weighted_greedy_reverse_delete,24,10,0,14,0.11153752099999997,-0.08338012500000003,0.28399345900000006,0.5412561893463135
primary_algorithm_PAR2,small_exact,requirement_mask_dp,heaviest_safe_first,24,14,0,10,-0.10988114599999993,-0.5227730820000001,0.244250707,0.5412561893463135
primary_algorithm_PAR2,small_exact,requirement_mask_dp,lightest_safe_first,24,12,0,12,-0.019178458499999995,-0.21667575,0.15859466700000002,1.0
primary_algorithm_PAR2,small_exact,requirement_mask_dp,maximum_immediate_burden_release,24,13,0,11,-0.01753795800000002,-0.2025245830000001,0.20614654100000007,0.8388197422027588
primary_algorithm_PAR2,small_exact,requirement_mask_dp,minimum_unique_carrier_exposure,24,10,0,14,0.04936483349999998,-0.10532591699999999,0.162808375,0.5412561893463135
primary_algorithm_PAR2,small_exact,requirement_mask_dp,declared_source_order,24,13,0,11,-0.04132141699999997,-0.20069499899999999,0.18717162499999995,0.8388197422027588
primary_algorithm_PAR2,small_exact,requirement_mask_dp,random_order_rechecked_deletion,24,14,0,10,-0.022876792000000007,-0.18925574900000008,0.12180662500000006,0.5412561893463135
primary_algorithm_PAR2,small_exact,requirement_mask_dp,multistart_random_rechecked_deletion_32,24,18,0,6,-0.22102129099999995,-0.331419875,-0.00342616699999998,0.022655844688415527
primary_algorithm_PAR2,small_exact,jump_highs_tagged_cover,weighted_greedy,24,0,0,24,3.336448896,2.950162875,4.221923959,1.1920928955078125e-7
primary_algorithm_PAR2,small_exact,jump_highs_tagged_cover,cardinality_greedy,24,0,0,24,3.2780221875,2.6388454169999997,4.087658042,1.1920928955078125e-7
primary_algorithm_PAR2,small_exact,jump_highs_tagged_cover,weighted_greedy_reverse_delete,24,0,0,24,3.5404327495,2.594402833,4.279356083000001,1.1920928955078125e-7
primary_algorithm_PAR2,small_exact,jump_highs_tagged_cover,heaviest_safe_first,24,0,0,24,3.262163479,2.810547543,4.144498416,1.1920928955078125e-7
primary_algorithm_PAR2,small_exact,jump_highs_tagged_cover,lightest_safe_first,24,0,0,24,3.1630872915,2.9098122920000002,4.225304708,1.1920928955078125e-7
primary_algorithm_PAR2,small_exact,jump_highs_tagged_cover,maximum_immediate_burden_release,24,0,0,24,3.2949925205,2.832043541,4.092603832,1.1920928955078125e-7
primary_algorithm_PAR2,small_exact,jump_highs_tagged_cover,minimum_unique_carrier_exposure,24,0,0,24,3.5457863334999997,2.7600827500000005,4.272841875,1.1920928955078125e-7
primary_algorithm_PAR2,small_exact,jump_highs_tagged_cover,declared_source_order,24,0,0,24,3.1379488959999997,2.74016325,4.129337167,1.1920928955078125e-7
primary_algorithm_PAR2,small_exact,jump_highs_tagged_cover,random_order_rechecked_deletion,24,0,0,24,3.3626221244999996,2.6605694579999994,3.98720175,1.1920928955078125e-7
primary_algorithm_PAR2,small_exact,jump_highs_tagged_cover,multistart_random_rechecked_deletion_32,24,0,0,24,3.1439748329999997,2.6884201250000004,4.07441825,1.1920928955078125e-7
primary_algorithm_PAR2,small_exact,weighted_greedy,cardinality_greedy,24,17,0,7,-0.11266818699999998,-0.42891075,0.032882999999999996,0.06391465663909912
primary_algorithm_PAR2,small_exact,weighted_greedy,weighted_greedy_reverse_delete,24,11,0,13,0.03896037449999998,-0.133683791,0.13223695800000002,0.8388197422027588
primary_algorithm_PAR2,small_exact,weighted_greedy,heaviest_safe_first,24,20,0,4,-0.11122414599999997,-0.31377966700000004,-0.04574529199999999,0.001543879508972168
primary_algorithm_PAR2,small_exact,weighted_greedy,lightest_safe_first,24,15,0,9,-0.06828256250000003,-0.321547417,0.06663624999999995,0.30745625495910645
primary_algorithm_PAR2,small_exact,weighted_greedy,maximum_immediate_burden_release,24,15,0,9,-0.08600137449999998,-0.30045708300000007,0.08233162399999994,0.30745625495910645
primary_algorithm_PAR2,small_exact,weighted_greedy,minimum_unique_carrier_exposure,24,13,0,11,-0.07466018699999999,-0.25243466699999995,0.15118912499999992,0.8388197422027588
primary_algorithm_PAR2,small_exact,weighted_greedy,declared_source_order,24,16,0,8,-0.11126727150000004,-0.2800027500000001,0.032688041,0.15158963203430176
primary_algorithm_PAR2,small_exact,weighted_greedy,random_order_rechecked_deletion,24,17,0,7,-0.12268693750000001,-0.25396699999999994,0.04998254199999996,0.06391465663909912
primary_algorithm_PAR2,small_exact,weighted_greedy,multistart_random_rechecked_deletion_32,24,18,0,6,-0.19247406299999997,-0.36614591599999996,-0.04067641599999994,0.022655844688415527
primary_algorithm_PAR2,small_exact,cardinality_greedy,weighted_greedy_reverse_delete,24,7,0,17,0.10300731249999995,-0.01848545800000001,0.33447245800000003,0.06391465663909912
primary_algorithm_PAR2,small_exact,cardinality_greedy,heaviest_safe_first,24,13,0,11,-0.09819135400000001,-0.321159875,0.20219758300000001,0.8388197422027588
primary_algorithm_PAR2,small_exact,cardinality_greedy,lightest_safe_first,24,13,0,11,-0.0033013335000000033,-0.09726779200000002,0.21036504199999995,0.8388197422027588
primary_algorithm_PAR2,small_exact,cardinality_greedy,maximum_immediate_burden_release,24,8,0,16,0.05792343750000001,-0.040513750000000015,0.177628416,0.15158963203430176
primary_algorithm_PAR2,small_exact,cardinality_greedy,minimum_unique_carrier_exposure,24,10,0,14,0.05257695849999994,-0.07791358300000006,0.30580083300000005,0.5412561893463135
primary_algorithm_PAR2,small_exact,cardinality_greedy,declared_source_order,24,10,0,14,0.008774291999999989,-0.16199587500000007,0.174090917,0.5412561893463135
primary_algorithm_PAR2,small_exact,cardinality_greedy,random_order_rechecked_deletion,24,11,0,13,0.032648354499999976,-0.19287608400000006,0.27370691599999997,0.8388197422027588
primary_algorithm_PAR2,small_exact,cardinality_greedy,multistart_random_rechecked_deletion_32,24,11,0,13,0.006902104500000006,-0.30741995899999996,0.10891504200000002,0.8388197422027588
primary_algorithm_PAR2,small_exact,weighted_greedy_reverse_delete,heaviest_safe_first,24,18,0,6,-0.21173756299999996,-0.356380708,-0.04701629099999993,0.022655844688415527
primary_algorithm_PAR2,small_exact,weighted_greedy_reverse_delete,lightest_safe_first,24,16,0,8,-0.09774637549999998,-0.22239725099999996,0.04708583399999999,0.15158963203430176
primary_algorithm_PAR2,small_exact,weighted_greedy_reverse_delete,maximum_immediate_burden_release,24,14,0,10,-0.062197375,-0.23052679200000004,0.08655433300000004,0.5412561893463135
primary_algorithm_PAR2,small_exact,weighted_greedy_reverse_delete,minimum_unique_carrier_exposure,24,15,0,9,-0.08982162499999999,-0.242357583,0.07486091699999997,0.30745625495910645
primary_algorithm_PAR2,small_exact,weighted_greedy_reverse_delete,declared_source_order,24,15,0,9,-0.256356812,-0.340973459,0.16222191599999997,0.30745625495910645
primary_algorithm_PAR2,small_exact,weighted_greedy_reverse_delete,random_order_rechecked_deletion,24,16,0,8,-0.09085977100000003,-0.268943959,0.052642709000000065,0.15158963203430176
primary_algorithm_PAR2,small_exact,weighted_greedy_reverse_delete,multistart_random_rechecked_deletion_32,24,20,0,4,-0.23272579199999993,-0.34449612500000004,-0.10665358399999991,0.001543879508972168
primary_algorithm_PAR2,small_exact,heaviest_safe_first,lightest_safe_first,24,9,0,15,0.11089433249999991,-0.04915812499999994,0.25492058400000006,0.30745625495910645
primary_algorithm_PAR2,small_exact,heaviest_safe_first,maximum_immediate_burden_release,24,9,0,15,0.16816897849999995,-0.17995345900000004,0.38659062499999997,0.30745625495910645
primary_algorithm_PAR2,small_exact,heaviest_safe_first,minimum_unique_carrier_exposure,24,9,0,15,0.1817318954999999,-0.15443541699999996,0.49090383299999996,0.30745625495910645
primary_algorithm_PAR2,small_exact,heaviest_safe_first,declared_source_order,24,12,0,12,-0.006926604500000044,-0.12280441599999992,0.30315466699999993,1.0
primary_algorithm_PAR2,small_exact,heaviest_safe_first,random_order_rechecked_deletion,24,10,0,14,0.04268864599999994,-0.282537209,0.28707483300000003,0.5412561893463135
primary_algorithm_PAR2,small_exact,heaviest_safe_first,multistart_random_rechecked_deletion_32,24,12,0,12,0.0310007080000001,-0.272902666,0.264809875,1.0
primary_algorithm_PAR2,small_exact,lightest_safe_first,maximum_immediate_burden_release,24,11,0,13,0.005797208499999984,-0.049623375000000025,0.16079316600000004,0.8388197422027588
primary_algorithm_PAR2,small_exact,lightest_safe_first,minimum_unique_carrier_exposure,24,14,0,10,-0.01986116649999997,-0.14425195899999999,0.17123475,0.5412561893463135
primary_algorithm_PAR2,small_exact,lightest_safe_first,declared_source_order,24,13,0,11,-0.035162125499999974,-0.20848337500000003,0.202568291,0.8388197422027588
primary_algorithm_PAR2,small_exact,lightest_safe_first,random_order_rechecked_deletion,24,12,0,12,0.0054308955000000325,-0.3206032499999999,0.10884162499999994,1.0
primary_algorithm_PAR2,small_exact,lightest_safe_first,multistart_random_rechecked_deletion_32,24,13,0,11,-0.03476520849999998,-0.29948687499999993,0.032023167000000075,0.8388197422027588
primary_algorithm_PAR2,small_exact,maximum_immediate_burden_release,minimum_unique_carrier_exposure,24,16,0,8,-0.04738902049999999,-0.175039167,0.023477416999999945,0.15158963203430176
primary_algorithm_PAR2,small_exact,maximum_immediate_burden_release,declared_source_order,24,16,0,8,-0.08139508349999999,-0.19494458299999995,0.12545429200000013,0.15158963203430176
primary_algorithm_PAR2,small_exact,maximum_immediate_burden_release,random_order_rechecked_deletion,24,10,0,14,0.05988272900000008,-0.240083416,0.152700709,0.5412561893463135
primary_algorithm_PAR2,small_exact,maximum_immediate_burden_release,multistart_random_rechecked_deletion_32,24,16,0,8,-0.09452277099999995,-0.32555945799999997,0.053950834,0.15158963203430176
primary_algorithm_PAR2,small_exact,minimum_unique_carrier_exposure,declared_source_order,24,12,0,12,-0.003649332999999977,-0.281361042,0.058892333999999935,1.0
primary_algorithm_PAR2,small_exact,minimum_unique_carrier_exposure,random_order_rechecked_deletion,24,13,0,11,-0.040259729999999994,-0.36792199999999997,0.13747104099999996,0.8388197422027588
primary_algorithm_PAR2,small_exact,minimum_unique_carrier_exposure,multistart_random_rechecked_deletion_32,24,19,0,5,-0.1263294165,-0.22671324999999998,-0.012892542000000007,0.006610751152038574
primary_algorithm_PAR2,small_exact,declared_source_order,random_order_rechecked_deletion,24,14,0,10,-0.09806285399999998,-0.322135042,0.25921937500000003,0.5412561893463135
primary_algorithm_PAR2,small_exact,declared_source_order,multistart_random_rechecked_deletion_32,24,13,0,11,-0.05503481249999992,-0.31464054099999994,0.18160054199999998,0.8388197422027588
primary_algorithm_PAR2,small_exact,random_order_rechecked_deletion,multistart_random_rechecked_deletion_32,24,14,0,10,-0.10891370849999993,-0.289162709,0.1352445,0.5412561893463135
primary_algorithm_PAR2,structured,jump_highs_tagged_cover,weighted_greedy,128,0,0,128,11.004661104499998,8.140216958,15.679660333,5.877471754111438e-39
primary_algorithm_PAR2,structured,jump_highs_tagged_cover,cardinality_greedy,128,0,0,128,11.1967275625,8.1128505,15.672914167,5.877471754111438e-39
primary_algorithm_PAR2,structured,jump_highs_tagged_cover,weighted_greedy_reverse_delete,128,0,0,128,11.094703124999999,8.023489083,15.733002416000001,5.877471754111438e-39
primary_algorithm_PAR2,structured,jump_highs_tagged_cover,heaviest_safe_first,128,5,0,123,8.9160223335,7.3658554999999994,10.679083292,1.6197373698416143e-30
primary_algorithm_PAR2,structured,jump_highs_tagged_cover,lightest_safe_first,128,4,0,124,8.696418374499999,7.598537791999999,10.942057583,6.475582675466606e-32
primary_algorithm_PAR2,structured,jump_highs_tagged_cover,maximum_immediate_burden_release,128,5,0,123,8.234983812,7.552192625000001,10.509481792,1.6197373698416143e-30
primary_algorithm_PAR2,structured,jump_highs_tagged_cover,minimum_unique_carrier_exposure,128,4,0,124,8.602733458,7.514225542000001,10.731008459,6.475582675466606e-32
primary_algorithm_PAR2,structured,jump_highs_tagged_cover,declared_source_order,128,5,0,123,8.367616020500002,7.566859790999999,10.465195501,1.6197373698416143e-30
primary_algorithm_PAR2,structured,jump_highs_tagged_cover,random_order_rechecked_deletion,128,5,0,123,8.588407374500001,7.519233249999999,10.761940042,1.6197373698416143e-30
primary_algorithm_PAR2,structured,jump_highs_tagged_cover,multistart_random_rechecked_deletion_32,128,85,0,43,-2.8470725000000003,-103.865989501,-0.7556779169999999,0.0002585265972682677
primary_algorithm_PAR2,structured,weighted_greedy,cardinality_greedy,128,47,16,65,0.0033620420000000095,0.0,0.08270329200000004,0.10778227965475412
primary_algorithm_PAR2,structured,weighted_greedy,weighted_greedy_reverse_delete,128,65,16,47,-0.008987229499999971,-0.08256645800000001,0.0,0.10778227965475412
primary_algorithm_PAR2,structured,weighted_greedy,heaviest_safe_first,128,93,16,19,-0.5388138754999999,-2.9648459989999996,-0.2758733750000001,6.74813608304086e-13
primary_algorithm_PAR2,structured,weighted_greedy,lightest_safe_first,128,94,16,18,-0.472208667,-2.878586667,-0.30665570799999997,1.3432499592767578e-13
primary_algorithm_PAR2,structured,weighted_greedy,maximum_immediate_burden_release,128,98,16,14,-0.4849810835,-2.890797958,-0.22506220799999999,1.0755959672248348e-16
primary_algorithm_PAR2,structured,weighted_greedy,minimum_unique_carrier_exposure,128,97,16,15,-0.519320083,-2.5583129589999998,-0.39747724999999995,7.121860330286235e-16
primary_algorithm_PAR2,structured,weighted_greedy,declared_source_order,128,93,16,19,-0.5584906869999999,-3.1373625,-0.288995958,6.74813608304086e-13
primary_algorithm_PAR2,structured,weighted_greedy,random_order_rechecked_deletion,128,113,0,15,-3.1554453119999994,-3.806079625,-0.7354575830000001,8.930153081103964e-20
primary_algorithm_PAR2,structured,weighted_greedy,multistart_random_rechecked_deletion_32,128,128,0,0,-132.5608042085,-148.577829291,-9.313829416999999,5.877471754111438e-39
primary_algorithm_PAR2,structured,cardinality_greedy,weighted_greedy_reverse_delete,128,66,16,46,-0.02201539549999998,-0.10008874899999998,0.0,0.07212638623517517
primary_algorithm_PAR2,structured,cardinality_greedy,heaviest_safe_first,128,102,16,10,-0.5628541045,-2.630557166,-0.34945545899999997,2.4113728479541666e-20
primary_algorithm_PAR2,structured,cardinality_greedy,lightest_safe_first,128,101,16,11,-0.6031413335,-2.977465,-0.40412124999999993,2.262519224355612e-19
primary_algorithm_PAR2,structured,cardinality_greedy,maximum_immediate_burden_release,128,95,16,17,-0.5819352085,-3.0704893760000003,-0.286645167,2.5077297681380096e-14
primary_algorithm_PAR2,structured,cardinality_greedy,minimum_unique_carrier_exposure,128,101,16,11,-0.6603616255,-2.707496251,-0.475140209,2.262519224355612e-19
primary_algorithm_PAR2,structured,cardinality_greedy,declared_source_order,128,98,16,14,-0.5881392085000001,-3.0325324580000004,-0.40537175000000014,1.0755959672248348e-16
