family,reference_class,algorithm,algorithm_id,registered_n,solved_n,solved_fraction,reference_available_n,reference_unavailable_n,attained_n,attainment_denominator,attainment_fraction,gap_available_n,gap_unavailable_n,relative_gap_mean,relative_gap_median,relative_gap_q10,relative_gap_q25,relative_gap_q75,relative_gap_q90,relative_gap_minimum,relative_gap_worst,absolute_gap_mean,absolute_gap_median,absolute_gap_q10,absolute_gap_q25,absolute_gap_q75,absolute_gap_q90,absolute_gap_minimum,absolute_gap_worst
adversarial,EXACT_FINITE,Cardinality greedy,cardinality_greedy,8,8,1.0,8,0,7,8,0.875,8,0,0.01667,0,0,0,0,0.04,0,0.1333,1//16,0,0,0,0,0.15,0//1,1//2
adversarial,EXACT_FINITE,Declared source order,declared_source_order,8,8,1.0,8,0,6,8,0.75,8,0,0.2,0,0,0,0.15,0.72,0,1,13//32,0,0,0,0.25,1.375,0//1,9//4
adversarial,EXACT_FINITE,Heaviest safe first,heaviest_safe_first,8,8,1.0,8,0,6,8,0.75,8,0,0.2167,0,0,0,0.01667,0.5467,0,1.667,11//32,0,0,0,0.0625,0.925,0//1,5//2
adversarial,EXACT_FINITE,Lightest safe first,lightest_safe_first,8,8,1.0,8,0,5,8,0.625,8,0,0.575,0,0,0,0.7,1.6,0,3,37//32,0,0,0,1.312,3.375,0//1,6//1
adversarial,EXACT_FINITE,Maximum immediate release,maximum_immediate_burden_release,8,8,1.0,8,0,6,8,0.75,8,0,0.2167,0,0,0,0.01667,0.5467,0,1.667,11//32,0,0,0,0.0625,0.925,0//1,5//2
adversarial,EXACT_FINITE,Minimum unique-carrier exposure,minimum_unique_carrier_exposure,8,8,1.0,8,0,7,8,0.875,8,0,0.075,0,0,0,0,0.18,0,0.6,9//32,0,0,0,0,0.675,0//1,9//4
adversarial,EXACT_FINITE,32-start random deletion,multistart_random_rechecked_deletion_32,8,8,1.0,8,0,8,8,1.0,8,0,0,0,0,0,0,0,0,0,0//1,0,0,0,0,0,0//1,0//1
adversarial,EXACT_FINITE,Random-order deletion,random_order_rechecked_deletion,8,8,1.0,8,0,6,8,0.75,8,0,0.2625,0,0,0,0.15,0.87,0,1.5,21//32,0,0,0,0.5625,2.475,0//1,3//1
adversarial,EXACT_FINITE,Weighted greedy,weighted_greedy,8,8,1.0,8,0,8,8,1.0,8,0,0,0,0,0,0,0,0,0,0//1,0,0,0,0,0,0//1,0//1
adversarial,EXACT_FINITE,Weighted greedy + reverse deletion,weighted_greedy_reverse_delete,8,8,1.0,8,0,8,8,1.0,8,0,0,0,0,0,0,0,0,0,0//1,0,0,0,0,0,0//1,0//1
adversarial,MIP_OPTIMAL_EXACTLY_RECHECKED,Cardinality greedy,cardinality_greedy,13,13,1.0,13,0,5,13,0.38461538461538464,13,0,0.3038,0.1212,0,0,0.5059,0.9048,0,1,107//26,1//1,0,0//1,3//1,7.4,0//1,129//4
adversarial,MIP_OPTIMAL_EXACTLY_RECHECKED,Declared source order,declared_source_order,13,13,1.0,13,0,6,13,0.46153846153846156,13,0,0.3034,0.1111,0,0,0.5238,0.9375,0,1,129//52,1//1,0,0//1,4//1,7.8,0//1,11//1
adversarial,MIP_OPTIMAL_EXACTLY_RECHECKED,Heaviest safe first,heaviest_safe_first,13,13,1.0,13,0,4,13,0.3076923076923077,13,0,4.029,0.1111,0,0,0.1667,7.833,0,41.67,173//26,1//1,0,0//1,2//1,12.4,0//1,125//2
adversarial,MIP_OPTIMAL_EXACTLY_RECHECKED,Lightest safe first,lightest_safe_first,13,13,1.0,13,0,4,13,0.3076923076923077,13,0,0.7509,0.5,0,0,1,2.6,0,3,229//26,1//1,0,0//1,33//4,29.4,0//1,48//1
adversarial,MIP_OPTIMAL_EXACTLY_RECHECKED,Maximum immediate release,maximum_immediate_burden_release,13,13,1.0,13,0,4,13,0.3076923076923077,13,0,4.029,0.1111,0,0,0.1667,7.833,0,41.67,173//26,1//1,0,0//1,2//1,12.4,0//1,125//2
adversarial,MIP_OPTIMAL_EXACTLY_RECHECKED,Minimum unique-carrier exposure,minimum_unique_carrier_exposure,13,13,1.0,13,0,6,13,0.46153846153846156,13,0,0.158,0.1111,0,0,0.1667,0.5047,0,0.5238,99//26,1//1,0,0//1,2//1,7.4,0//1,129//4
adversarial,MIP_OPTIMAL_EXACTLY_RECHECKED,32-start random deletion,multistart_random_rechecked_deletion_32,13,13,1.0,13,0,11,13,0.8461538461538461,13,0,0.03118,0,0,0,0,0.02424,0,0.375,7//13,0//1,0,0//1,0//1,0.8,0//1,6//1
adversarial,MIP_OPTIMAL_EXACTLY_RECHECKED,Random-order deletion,random_order_rechecked_deletion,13,13,1.0,13,0,5,13,0.38461538461538464,13,0,0.3022,0.1212,0,0,0.5059,0.6381,0,1,135//26,1//1,0,0//1,4//1,14.45,0//1,129//4
adversarial,MIP_OPTIMAL_EXACTLY_RECHECKED,Weighted greedy,weighted_greedy,13,13,1.0,13,0,9,13,0.6923076923076923,13,0,0.04031,0,0,0,0.1111,0.1242,0,0.1667,8//13,0//1,0,0//1,1//1,1.8,0//1,4//1
adversarial,MIP_OPTIMAL_EXACTLY_RECHECKED,Weighted greedy + reverse deletion,weighted_greedy_reverse_delete,13,13,1.0,13,0,9,13,0.6923076923076923,13,0,0.04031,0,0,0,0.1111,0.1242,0,0.1667,8//13,0//1,0,0//1,1//1,1.8,0//1,4//1
