family,size,algorithm,algorithm_id,preprocessing_variant,registered_n,solved_n,solved_fraction,time_limit_seconds,wall_solved_n,wall_seconds_mean_solved,wall_seconds_median_solved,wall_seconds_q90_solved,wall_seconds_worst_solved,par2_mean_seconds,par2_median_seconds,par2_q25_seconds,par2_q75_seconds,par2_q90_seconds,par2_worst_seconds,peak_memory_available_n,peak_memory_mean_mib,peak_memory_median_mib,peak_memory_q90_mib,peak_memory_worst_mib,mip_nodes_available_n,mip_nodes_mean,mip_nodes_median,mip_nodes_q10,mip_nodes_q25,mip_nodes_q75,mip_nodes_q90,mip_nodes_minimum,mip_nodes_worst,dp_states_available_n,dp_states_mean,dp_states_median,dp_states_q10,dp_states_q25,dp_states_q75,dp_states_q90,dp_states_minimum,dp_states_worst,dp_transitions_available_n,dp_transitions_mean,dp_transitions_median,dp_transitions_q90,dp_transitions_worst,frontier_checks_available_n,frontier_checks_mean,frontier_checks_median,frontier_checks_q10,frontier_checks_q25,frontier_checks_q75,frontier_checks_q90,frontier_checks_minimum,frontier_checks_worst,closure_checks_available_n,closure_checks_mean,closure_checks_median,closure_checks_q10,closure_checks_q25,closure_checks_q75,closure_checks_q90,closure_checks_minimum,closure_checks_worst
adversarial,large,Cardinality greedy,cardinality_greedy,mandatory_only,7,7,1.0,600.0,7,0.6067,0.555,0.9481,0.9731,0.6067,0.555,0.392,0.8836,0.9481,0.9731,7,912.9,925.4,956.9,964,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
adversarial,large,Enumeration,complete_enumeration,mandatory_only,1,0,0.0,300.0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,600,600,600,600,600,600,1,903.9,903.9,903.9,903.9,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
adversarial,large,Declared source order,declared_source_order,mandatory_only,7,7,1.0,600.0,7,1.064,0.8469,1.697,2.805,1.064,0.8469,0.6392,0.9506,1.697,2.805,7,934.4,932.5,1020,1041,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,7,2348,1871,352.4,973.5,2111,4590,137,8257,7,2348,1871,352.4,973.5,2111,4590,137,8257
adversarial,large,Heaviest safe first,heaviest_safe_first,mandatory_only,7,7,1.0,600.0,7,1.357,1.05,2.172,3.259,1.357,1.05,0.8951,1.324,2.172,3.259,7,910.1,912.2,955.9,982.4,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,7,1799,496,134.2,166.5,1690,4460,130,8257,7,1799,496,134.2,166.5,1690,4460,130,8257
adversarial,large,HiGHS MIP,jump_highs_tagged_cover,full_fixed_point,7,7,1.0,1800.0,7,5.048,4.558,7.15,8.977,5.048,4.558,4.127,5.446,7.15,8.977,7,945.6,929.7,994.2,1023,5,1,1,1,1,1,1,1,1,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
adversarial,large,Lightest safe first,lightest_safe_first,mandatory_only,7,7,1.0,600.0,7,1.317,1.093,2.104,3.036,1.317,1.093,0.8405,1.354,2.104,3.036,7,924.4,911.7,980,1020,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,7,2326,1585,352.4,973.5,2178,4629,137,8257,7,2326,1585,352.4,973.5,2178,4629,137,8257
adversarial,large,Maximum immediate release,maximum_immediate_burden_release,mandatory_only,7,7,1.0,600.0,7,1.211,0.8262,2.152,3.793,1.211,0.8262,0.7185,0.9473,2.152,3.793,7,921.1,931.8,981.6,990.7,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,7,1799,496,134.2,166.5,1690,4460,130,8257,7,1799,496,134.2,166.5,1690,4460,130,8257
adversarial,large,Minimum unique-carrier exposure,minimum_unique_carrier_exposure,mandatory_only,7,7,1.0,600.0,7,1.126,0.9022,1.832,2.815,1.126,0.9022,0.8204,1.041,1.832,2.815,7,935.8,947.4,1004,1061,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,7,2375,1928,352.4,973.5,2178,4629,137,8257,7,2375,1928,352.4,973.5,2178,4629,137,8257
adversarial,large,32-start random deletion,multistart_random_rechecked_deletion_32,mandatory_only,7,7,1.0,900.0,7,14.33,5.971,33.42,71.35,14.33,5.971,3.923,7.156,33.42,71.35,7,1076,1037,1216,1374,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,7,7.542e+04,6.001e+04,1.126e+04,3.116e+04,6.85e+04,1.479e+05,4384,2.642e+05,7,7.542e+04,6.001e+04,1.126e+04,3.116e+04,6.85e+04,1.479e+05,4384,2.642e+05
adversarial,large,Random-order deletion,random_order_rechecked_deletion,mandatory_only,7,7,1.0,900.0,7,1.155,0.8629,1.969,3.103,1.155,0.8629,0.7483,1.068,1.969,3.103,7,927,936.5,992.8,1018,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,7,2364,1850,351.2,972.5,2178,4629,137,8257,7,2364,1850,351.2,972.5,2178,4629,137,8257
