model_id,model_family,evidence_label,status,population_n,fitted_n,unavailable_n,parameter_count,rank,r_squared,iterations
family_b_gap_weighted_greedy,family_b_gap,REGISTERED,FIT,128,111,17,18,18,0.24754000390434405,
family_b_gap_cardinality_greedy,family_b_gap,REGISTERED,FIT,128,111,17,18,18,0.5427321305366897,
family_b_gap_weighted_greedy_reverse_delete,family_b_gap,REGISTERED,FIT,128,111,17,18,18,0.19200699203498872,
family_b_gap_heaviest_safe_first,family_b_gap,REGISTERED,FIT,128,111,17,18,18,0.2209922747944364,
family_b_gap_lightest_safe_first,family_b_gap,REGISTERED,FIT,128,111,17,18,18,0.8586254047112909,
family_b_gap_maximum_immediate_burden_release,family_b_gap,REGISTERED,FIT,128,111,17,18,18,0.24626088156473236,
family_b_gap_minimum_unique_carrier_exposure,family_b_gap,REGISTERED,FIT,128,111,17,18,18,0.17215325946388815,
family_b_gap_declared_source_order,family_b_gap,REGISTERED,FIT,128,111,17,18,18,0.6443125608410416,
family_b_gap_random_order_rechecked_deletion,family_b_gap,REGISTERED,FIT,128,111,17,18,18,0.7124116867212182,
family_b_gap_multistart_random_rechecked_deletion_32,family_b_gap,REGISTERED,FIT,128,97,31,18,18,0.629605705799465,
family_b_gap_joint,family_b_gap,REGISTERED,FIT,1280,1096,184,45,45,0.4955842774729733,
family_a_exact_gap_secondary,family_a_gap,REGISTERED_SECONDARY,FIT,240,230,10,19,19,0.3587375666311059,
small_exact_solved_fraction,solved_fraction,REGISTERED,SEPARATION_DETECTED,600,600,0,23,23,,7
small_exact_log_par2,penalized_runtime,REGISTERED,FIT,600,600,0,23,23,0.5852164994853715,
small_exact_log_par2_launch_wave_sensitivity,launch_wave_sensitivity,REGISTERED_DESCRIPTIVE_SENSITIVITY,FIT,600,600,0,24,24,0.6046529578535407,
structured_solved_fraction,solved_fraction,REGISTERED,FIT,2816,2816,0,21,21,,6
structured_log_par2,penalized_runtime,REGISTERED,FIT,2816,2816,0,21,21,0.19099117651083763,
structured_log_par2_launch_wave_sensitivity,launch_wave_sensitivity,REGISTERED_DESCRIPTIVE_SENSITIVITY,FIT,2816,2816,0,22,22,0.2204901976393444,
adversarial_solved_fraction,solved_fraction,REGISTERED,SEPARATION_DETECTED,491,491,0,23,23,,10
adversarial_log_par2,penalized_runtime,REGISTERED,FIT,491,491,0,23,23,0.5635425158188899,
adversarial_log_par2_launch_wave_sensitivity,launch_wave_sensitivity,REGISTERED_DESCRIPTIVE_SENSITIVITY,FIT,491,491,0,24,24,0.5646022447564573,
family_b_preprocessing_log_par2_difference,preprocessing,REGISTERED,RANK_DEFICIENT,128,128,0,24,22,,
family_b_preprocessing_log1p_node_difference,preprocessing,REGISTERED,RANK_DEFICIENT,128,30,98,24,16,,
