instance_id,family,size,status,first_start_burden,selected_best_burden,absolute_improvement,relative_improvement,start_count_available,record_path,record_sha256
V2-A-N007-R006-X01,small_exact,N7-R6,SOLVED,4//1,4//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,96fd5642ee746a6437edcafa13fea5e8def1f8ad0a1dff9691ba4a5d8f16655e
V2-A-N007-R006-X02,small_exact,N7-R6,SOLVED,16//1,4//1,12//1,3//4,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9105bf748adf115a7d249a23e9bf8f99bfd211b8aa4c0dbd9be2a06df36c028c
V2-A-N007-R006-X03,small_exact,N7-R6,SOLVED,5//1,4//1,1//1,1//5,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,bb14073aad359005bfe8f85651802a15e88acdbd1b780f62e5520ff41fed0cd0
V2-A-N007-R006-X04,small_exact,N7-R6,SOLVED,19//1,10//1,9//1,9//19,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X04/multistart_random_rechecked_deletion_32__mandatory_only.toml,09d8372c9d3f7ed5b331bef3457fb06ade6a60e5e207d967778bbb9f4f2ce946
V2-A-N007-R010-X01,small_exact,N7-R10,SOLVED,4//1,4//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,9ba7057c9ea7158a2bd6aec25e43e9a8d7d3960a8ca35f72edf3719d8e9f47e6
V2-A-N007-R010-X02,small_exact,N7-R10,SOLVED,8//1,8//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,f3efefcf580cc631f279ef18750c74584f9c1abae268f1914db81f53c0448a4b
V2-A-N007-R010-X03,small_exact,N7-R10,SOLVED,5//1,5//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,eb1a9cadb1df8ac208fb7d688dcc9da91d34b55ccb3e62a4b7ce8e76a356979f
V2-A-N007-R010-X04,small_exact,N7-R10,SOLVED,2//1,2//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/multistart_random_rechecked_deletion_32__mandatory_only.toml,cde4e192355dc3657e86896f48c0238015fdc3df3745455f0e997ceb498434a2
V2-A-N011-R006-X01,small_exact,N11-R6,SOLVED,7//1,5//1,2//1,2//7,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,4e0a4cca68a58194aef13b4a61b5682312ec02a1e7e450146216490071a4848f
V2-A-N011-R006-X02,small_exact,N11-R6,SOLVED,4//1,4//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,8102460da4fec8a8ec6415b002f684a0bd0d3e0a3e50579e0824f1e8bba51fdf
V2-A-N011-R006-X03,small_exact,N11-R6,SOLVED,2//1,2//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,c77658248bf81ab72cf8de944033a6917d9bb2b5dd3b244dc219a77201b43331
V2-A-N011-R006-X04,small_exact,N11-R6,SOLVED,21//1,7//1,14//1,2//3,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X04/multistart_random_rechecked_deletion_32__mandatory_only.toml,c62ce6aaaf78e9f8447ae402536c7589d63f8fe4576e18dc88b9f355042bdf46
V2-A-N011-R010-X01,small_exact,N11-R10,SOLVED,13//1,5//1,8//1,8//13,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R010-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,81539d514aeb8d7c0562036494cf7a949916396f68165c0733d5e90a5ab108ef
V2-A-N011-R010-X02,small_exact,N11-R10,SOLVED,8//1,8//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R010-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,a486b8544a68f90f67ac92b34d3e25cc2bbc9d6aebda77f8810ace3eeab94ac1
V2-A-N011-R010-X03,small_exact,N11-R10,SOLVED,7//1,2//1,5//1,5//7,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R010-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,1ee5a7dea8225d953f0c5992dcf666a2731597d66eeeb8bf83a7ad66c99cc97b
V2-A-N011-R010-X04,small_exact,N11-R10,SOLVED,5//1,5//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R010-X04/multistart_random_rechecked_deletion_32__mandatory_only.toml,c720f5c342ffdfdae77e5e4d8bb9649200afafc5c7313f3689a341d7457d90c1
V2-A-N015-R006-X01,small_exact,N15-R6,SOLVED,3//1,3//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R006-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,4a50e509438e4b87eb7cc583b7509ba7910cd86ddbbfc07c46941f50d90c0130
V2-A-N015-R006-X02,small_exact,N15-R6,SOLVED,16//1,2//1,14//1,7//8,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R006-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,3095a48fcbd7577d36650d194086f1d53022ef4583ee0a4aac9148c0ac781e31
V2-A-N015-R006-X03,small_exact,N15-R6,SOLVED,4//1,3//1,1//1,1//4,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R006-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,2ab0b8166f546d331850394490ae6777d254bbc3c53db918bb948eea83f60250
V2-A-N015-R006-X04,small_exact,N15-R6,SOLVED,6//1,4//1,2//1,1//3,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R006-X04/multistart_random_rechecked_deletion_32__mandatory_only.toml,1324fd71ae708d1ddf1058c9d0d9ef4f4824b6d677d18c5062d4f3cd14a61cf8
V2-A-N015-R010-X01,small_exact,N15-R10,SOLVED,10//1,9//1,1//1,1//10,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R010-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,473d26964d4e43d31da3be34bab86c2830eed41a8564487dada2074a59413d63
V2-A-N015-R010-X02,small_exact,N15-R10,SOLVED,4//1,4//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R010-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,e0e417705ba18d1f375c04e3f5ecaa48be986242c2aac9bc0c6d7f1aaf8d3e4d
V2-A-N015-R010-X03,small_exact,N15-R10,SOLVED,3//1,2//1,1//1,1//3,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R010-X03/multistart_random_rechecked_deletion_32__mandatory_only.toml,cec10c915634f9e304717fd802974edc069359b8a0a06ef7fe0bb0e65b9809e0
V2-A-N015-R010-X04,small_exact,N15-R10,SOLVED,9//1,3//1,6//1,2//3,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R010-X04/multistart_random_rechecked_deletion_32__mandatory_only.toml,5f1a9c1cbab5fb75d330880dd142623f459d4eec66636b760d085d0260aea24b
V2-B-N064-R032-C01-X01,structured,N64-R32,SOLVED,13//1,6//1,7//1,7//13,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,207193a19af3ffbc8748a569be3ee633d142ec128644351c90e86d8d57c8b5be
V2-B-N064-R032-C01-X02,structured,N64-R32,SOLVED,11//1,5//1,6//1,6//11,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,11d94b3cbe3d907e74411d2d9457d3888e1aa9d3e3b99b6cdb3f4edd763498cd
V2-B-N064-R032-C02-X01,structured,N64-R32,SOLVED,34//1,29//1,5//1,5//34,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,ffbc5ee32d7cfed3d13fa2ae2b41ed93d031dc8bf2d731a05e14b86a5b315aeb
V2-B-N064-R032-C02-X02,structured,N64-R32,SOLVED,19//1,17//1,2//1,2//19,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,539313ff33ab7ba62129a50cf63c0ae7991b4c602119df4f7a7b29811bb54047
V2-B-N064-R032-C03-X01,structured,N64-R32,SOLVED,10//1,10//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C03-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,7833d02ad35b6c7237de7c303781841fc7b229270696db17261c130b90ee62f8
V2-B-N064-R032-C03-X02,structured,N64-R32,SOLVED,7//1,7//1,0//1,0//1,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C03-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,23603b4f32776a09465cc42e338ff2bba498dce326698b4e90eb80237510b505
V2-B-N064-R032-C04-X01,structured,N64-R32,SOLVED,10//1,3//1,7//1,7//10,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C04-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,c54027212d00a3167a7da2b5214668249ec85da0a34e73b04807596380ecf8d3
V2-B-N064-R032-C04-X02,structured,N64-R32,SOLVED,14//1,3//1,11//1,11//14,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C04-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,01a9349a0a80abcec2a8b40d4f6330867a1f6f0fc97af616276666b87e60da20
V2-B-N064-R032-C05-X01,structured,N64-R32,SOLVED,15//1,5//1,10//1,2//3,32,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C05-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,564820f9d247083f032a15e1597df42355e1e7ce8e68da9a672b37d80e6c29ad
