family,size,instance_id,algorithm_id,algorithm,performance_ratio,solved,any_method_solved_instance,record_path,record_sha256
adversarial,large,V2-C-M01-S03,cardinality_greedy,Cardinality greedy,1.0,true,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S03/cardinality_greedy__mandatory_only.toml,4f6958d84bf48a6644c8369c39f7b975f5193a84f450080148e87a301a11e0d3
adversarial,large,V2-C-M01-S03,declared_source_order,Declared source order,2.2678461308446853,true,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S03/declared_source_order__mandatory_only.toml,29747cdec807df227ba976a8d46a6e075ccd43b046c7082d227be2ecb501fdfc
adversarial,large,V2-C-M01-S03,heaviest_safe_first,Heaviest safe first,2.9734030478278863,true,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S03/heaviest_safe_first__mandatory_only.toml,56e62f79479baf5aa89c0bef804539632d48877f1e33e6fdabc388bb441d0b3e
adversarial,large,V2-C-M01-S03,jump_highs_tagged_cover,HiGHS MIP,13.38208543192007,true,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S03/jump_highs_tagged_cover__full_fixed_point.toml,c28f83e301476d4ce38c9e23585cea727e6a33b9ef7b4e71829b2568c5edf20c
adversarial,large,V2-C-M01-S03,lightest_safe_first,Lightest safe first,5.142659118673742,true,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S03/lightest_safe_first__mandatory_only.toml,6e5577ce73dafc60c91ffa8cde9961be28ae8a40be9f0e6b7a1f618259d55c06
adversarial,large,V2-C-M01-S03,maximum_immediate_burden_release,Maximum immediate release,2.500481392995586,true,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S03/maximum_immediate_burden_release__mandatory_only.toml,913a99021add6e1fa3760d2a30c28e3267d2ce212dba81c9212613263a54926d
adversarial,large,V2-C-M01-S03,minimum_unique_carrier_exposure,Minimum unique-carrier exposure,2.982347473180371,true,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S03/minimum_unique_carrier_exposure__mandatory_only.toml,0d2bc0d5f978a6f69559ec93dd1b5a15ddaf41dc9881d09fcb8d131c1f568bb1
adversarial,large,V2-C-M01-S03,multistart_random_rechecked_deletion_32,32-start random deletion,21.44449577364688,true,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S03/multistart_random_rechecked_deletion_32__mandatory_only.toml,d2108ec30c2ee50137943a00c7ca72264ca6e1b3875f949ccb6488275b720fb1
adversarial,large,V2-C-M01-S03,random_order_rechecked_deletion,Random-order deletion,2.2096359273600297,true,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S03/random_order_rechecked_deletion__mandatory_only.toml,203f490071142783fcdd4ec117c15b06524b7d745187bb6260ded78b15d8cd98
adversarial,large,V2-C-M01-S03,weighted_greedy,Weighted greedy,2.2247742358220535,true,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S03/weighted_greedy__mandatory_only.toml,fdd7b82700d1358dbb561021fa2bd9d904a2fa8de767048c459266448e7ab937
adversarial,large,V2-C-M01-S03,weighted_greedy_reverse_delete,Weighted greedy + reverse deletion,3.3555091389333684,true,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S03/weighted_greedy_reverse_delete__mandatory_only.toml,5f3e9e9c360f83da894c90d589b0402daceed7f61296b8a1d282fae70dbb52c8
adversarial,large,V2-C-M02-S03,cardinality_greedy,Cardinality greedy,2.2098026330336924,true,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S03/cardinality_greedy__mandatory_only.toml,7fd671290a9f9a8d99592d9a4ba3366ca363c926229e3a9fdef7da4a30cc888f
adversarial,large,V2-C-M02-S03,complete_enumeration,Enumeration,,false,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S03/complete_enumeration__mandatory_only.toml,defa6100653105b1a7781b37f8028a4fbac2491c7e6712e06cb4a58de1b993d2
adversarial,large,V2-C-M02-S03,declared_source_order,Declared source order,2.536707346018013,true,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S03/declared_source_order__mandatory_only.toml,1c44bc47ca0aa2e2308cb708443f8c0eb793a80193b5a54f04066c59d76a9620
adversarial,large,V2-C-M02-S03,heaviest_safe_first,Heaviest safe first,1.9851925959645684,true,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S03/heaviest_safe_first__mandatory_only.toml,dd5f4ffa94cefc2985462080916b7c3321f3478c1c21b37e0bdcf54ae78a5efa
adversarial,large,V2-C-M02-S03,jump_highs_tagged_cover,HiGHS MIP,7.015899181815248,true,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S03/jump_highs_tagged_cover__full_fixed_point.toml,4cc21be598013e918b130a53111ef4f81c20ffe801f9839879ce324b7d541c4e
adversarial,large,V2-C-M02-S03,lightest_safe_first,Lightest safe first,1.8852005500358051,true,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S03/lightest_safe_first__mandatory_only.toml,2f9952a71b5f3206d82b1089ddabbfa812748b18ef770a647b3babd9078174d0
adversarial,large,V2-C-M02-S03,maximum_immediate_burden_release,Maximum immediate release,1.8927029078667763,true,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S03/maximum_immediate_burden_release__mandatory_only.toml,90e4ca828ac9a08edcef5046e3d968e1bf4b4224a4882834090ddacfdf82edd4
