family,size,registered_n,complete_32_start_n,unavailable_n,improved_n,improvement_denominator,relative_improvement_mean,relative_improvement_median,relative_improvement_q10,relative_improvement_q25,relative_improvement_q75,relative_improvement_q90,relative_improvement_minimum,relative_improvement_worst
adversarial,large,7,7,0,5,7,0.2092,0.2667,0,0.01429,0.3346,0.4016,0,0.5
adversarial,medium,7,7,0,4,7,0.1824,0.1,0,0,0.3385,0.4063,0,0.5
adversarial,small,7,7,0,2,7,0.08824,0,0,0,0.05882,0.2706,0,0.5
small_exact,N11-R10,4,4,0,2,4,0.3324,0.3077,0,0,0.6401,0.6846,0,0.7143
small_exact,N11-R6,4,4,0,2,4,0.2381,0.1429,0,0,0.381,0.5524,0,0.6667
small_exact,N15-R10,4,4,0,3,4,0.275,0.2167,0.03,0.075,0.4167,0.5667,0,0.6667
small_exact,N15-R6,4,4,0,3,4,0.3646,0.2917,0.075,0.1875,0.4688,0.7125,0,0.875
small_exact,N7-R10,4,4,0,0,4,0,0,0,0,0,0,0,0
small_exact,N7-R6,4,4,0,3,4,0.3559,0.3368,0.06,0.15,0.5428,0.6671,0,0.75
structured,N192-R32,32,15,17,12,15,0.4045,0.3333,0,0.1507,0.6833,0.828,0,0.9375
structured,N192-R64,32,27,5,21,27,0.3326,0.125,0,0.03761,0.6042,0.8133,0,0.9048
structured,N64-R32,32,28,4,20,28,0.267,0.145,0,0,0.5096,0.6667,0,0.7857
structured,N64-R64,32,28,4,19,28,0.2732,0.1944,0,0,0.3833,0.745,0,0.9375
