scenario_id,axis,level,axis_value,cost,delay,persistence,discount,research_beliefs,total_beliefs,component_count,cutoff_coordinate,iterations,bellman_residual,posterior_error_bound,converged
cost-low,cost,low,0.08,0.08,1,0.75,0.82,51,61,1,0.16666666666666666,108,7.624834097441635e-10,4.2360189430231295e-9,true
cost-baseline,cost,baseline,0.18,0.18,1,0.75,0.82,49,61,1,0.2,108,7.624834097441635e-10,4.2360189430231295e-9,true
cost-high,cost,high,0.32,0.32,1,0.75,0.82,48,61,1,0.21666666666666667,108,7.624834097441635e-10,4.2360189430231295e-9,true
delay-low,delay,low,0.0,0.18,0,0.75,0.82,59,61,1,0.03333333333333333,108,7.624834097441635e-10,4.2360189430231295e-9,true
delay-baseline,delay,baseline,1.0,0.18,1,0.75,0.82,49,61,1,0.2,108,7.624834097441635e-10,4.2360189430231295e-9,true
delay-high,delay,high,3.0,0.18,3,0.75,0.82,40,61,1,0.35,108,7.624834097441635e-10,4.2360189430231295e-9,true
persistence-low,persistence,low,0.35,0.18,1,0.35,0.82,46,61,1,0.25,108,7.624851861010029e-10,4.236028811672237e-9,true
persistence-baseline,persistence,baseline,0.75,0.18,1,0.75,0.82,49,61,1,0.2,108,7.624834097441635e-10,4.2360189430231295e-9,true
persistence-high,persistence,high,0.95,0.18,1,0.95,0.82,53,61,1,0.13333333333333333,108,7.626059783660821e-10,4.2366998798115665e-9,true
discount-low,discount,low,0.65,0.18,1,0.75,0.65,40,61,1,0.35,51,4.45568915097283e-10,1.2730540431350944e-9,true
discount-baseline,discount,baseline,0.82,0.18,1,0.75,0.82,49,61,1,0.2,108,7.624834097441635e-10,4.2360189430231295e-9,true
discount-high,discount,high,0.94,0.18,1,0.75,0.94,51,61,1,0.16666666666666666,344,8.83730422174267e-10,1.4728840369571104e-8,true
