audit_id,schedule_id,algorithm_id,strategy_id,active_unique_carrier
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,AGG__momentum_20__trend_100__h20__unit__horizon__vol_target_10,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,BIL__mean_reversion_5__trend_100__h20__half__horizon__vol_target_10,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,BND__momentum_60__trend_100__h20__unit__horizon__vol_target_10,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,BSV__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,DBA__momentum_20__trend_100__h20__unit__signal_flip__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,DBC__momentum_60__always__h5__half__signal_flip__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,DEM__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,DIA__momentum_20__always__h20__unit__horizon__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,DVY__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,EEM__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,EFA__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,EMB__momentum_20__trend_100__h20__unit__horizon__vol_target_10,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,EPP__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,EWA__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,EWC__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,EWG__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,EWH__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,EWJ__mean_reversion_5__always__h20__half__horizon__vol_target_10,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,EWM__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,EWS__momentum_60__always__h20__unit__horizon__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,EWT__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,EWW__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,EWY__mean_reversion_5__trend_100__h5__unit__signal_flip__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,EWZ__mean_reversion_5__always__h5__half__signal_flip__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,EZA__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,FXE__momentum_60__always__h20__unit__signal_flip__vol_target_10,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,FXI__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,FXY__mean_reversion_5__trend_100__h5__unit__horizon__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,GDX__mean_reversion_5__trend_100__h20__unit__signal_flip__vol_target_10,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,GLD__momentum_60__trend_100__h20__unit__horizon__vol_target_10,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,HYG__momentum_20__always__h20__unit__horizon__notional_cap_1,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,IAU__momentum_60__trend_100__h20__unit__horizon__vol_target_10,false
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,IBB__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,true
annual_walk_forward_v2,equal_active_strategy,current_stepwise_safe_deletion,ICF__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,false
