prefix_n,scope,factor,level,estimand,statistic_kind,event_count,non_event_count,observation_count,exact_sum,estimate,exact_sample_variance,interval_kind,interval_low,interval_high,mcse,warning_code,warning,simulation_precision_only
50,cumulative,,,frontier_positive_loss_frequency,frequency,25,25,50,25//1,1//2,,Wilson descriptive simulation interval,0.366445143168,0.633554856832,,,,true
50,cumulative,,,mean_positive_frontier_loss,mean,25,25,25,1818477//65536,1818477//1638400,1876580882629//1449551462400,,,,0.227560469071,sparse_mean_support,mean support is below the registered Monte Carlo precision threshold,true
50,cumulative,,,innovation_safe_loss_frequency,frequency,0,50,50,0//1,0//1,,Wilson descriptive simulation interval,0,0.0713475991334,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
50,cumulative,,,silent_generative_asset_frequency,frequency,25,225,250,25//1,1//10,,Wilson descriptive simulation interval,0.0686549289883,0.143451710608,,,,true
50,cumulative,,,substitution_frequency,frequency,27,23,50,27//1,27//50,,Wilson descriptive simulation interval,0.403988713992,0.670303478078,,,,true
50,cumulative,,,complementarity_frequency,frequency,0,50,50,0//1,0//1,,Wilson descriptive simulation interval,0,0.0713475991334,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
50,cumulative,,,frontier_only_mean_compression_ratio,mean,50,0,50,62//3,31//75,26//3675,,,,0.0118952342827,,,true
50,cumulative,,,innovation_safe_mean_compression_ratio,mean,50,0,50,9//2,9//100,29//1800,,,,0.0179505493571,,,true
100,cumulative,,,frontier_positive_loss_frequency,frequency,45,55,100,45//1,9//20,,Wilson descriptive simulation interval,0.356145379795,0.547553970026,,,,true
100,cumulative,,,mean_positive_frontier_loss,mean,45,55,45,1623911//32768,1623911//1474560,4813420608803//4252017623040,,,,0.158607281599,,,true
100,cumulative,,,innovation_safe_loss_frequency,frequency,0,100,100,0//1,0//1,,Wilson descriptive simulation interval,3.46944695195e-18,0.036993498207,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,cumulative,,,silent_generative_asset_frequency,frequency,45,455,500,45//1,9//100,,Wilson descriptive simulation interval,0.0679425478891,0.118309411289,,,,true
100,cumulative,,,substitution_frequency,frequency,47,53,100,47//1,47//100,,Wilson descriptive simulation interval,0.375108179593,0.567111430299,,,,true
100,cumulative,,,complementarity_frequency,frequency,0,100,100,0//1,0//1,,Wilson descriptive simulation interval,3.46944695195e-18,0.036993498207,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,cumulative,,,frontier_only_mean_compression_ratio,mean,100,0,100,125//3,5//12,25//3564,,,,0.00837531512716,,,true
100,cumulative,,,innovation_safe_mean_compression_ratio,mean,100,0,100,12//1,3//25,827//44550,,,,0.0136247612444,,,true
200,cumulative,,,frontier_positive_loss_frequency,frequency,101,99,200,101//1,101//200,,Wilson descriptive simulation interval,0.436270000335,0.573541546401,,,,true
200,cumulative,,,mean_positive_frontier_loss,mean,101,99,101,5624367//32768,5624367//3309568,192564750945857//65068754534400,,,,0.171175443678,,,true
200,cumulative,,,innovation_safe_loss_frequency,frequency,0,200,200,0//1,0//1,,Wilson descriptive simulation interval,0,0.0188453263773,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
200,cumulative,,,silent_generative_asset_frequency,frequency,101,899,1000,101//1,101//1000,,Wilson descriptive simulation interval,0.0838240106524,0.121229742619,,,,true
