scenario,effective_discount,persistence,horizon,initial_index,advantage_occupation,coverage
current_advantage,0//1,0//1,2,1,1//1,1//1
current_advantage,0//1,1//8,2,1,1//1,1//1
current_advantage,0//1,1//4,2,1,1//1,1//1
current_advantage,0//1,3//8,2,1,1//1,1//1
current_advantage,0//1,1//2,2,1,1//1,1//1
current_advantage,0//1,5//8,2,1,1//1,1//1
current_advantage,0//1,3//4,2,1,1//1,1//1
current_advantage,0//1,7//8,2,1,1//1,1//1
current_advantage,0//1,1//1,2,1,1//1,1//1
current_advantage,1//4,0//1,2,1,1//1,1//1
current_advantage,1//4,1//8,2,1,33//32,33//32
current_advantage,1//4,1//4,2,1,17//16,17//16
current_advantage,1//4,3//8,2,1,35//32,35//32
current_advantage,1//4,1//2,2,1,9//8,9//8
current_advantage,1//4,5//8,2,1,37//32,37//32
current_advantage,1//4,3//4,2,1,19//16,19//16
current_advantage,1//4,7//8,2,1,39//32,39//32
current_advantage,1//4,1//1,2,1,5//4,5//4
current_advantage,1//2,0//1,2,1,1//1,1//1
current_advantage,1//2,1//8,2,1,17//16,17//16
current_advantage,1//2,1//4,2,1,9//8,9//8
current_advantage,1//2,3//8,2,1,19//16,19//16
current_advantage,1//2,1//2,2,1,5//4,5//4
current_advantage,1//2,5//8,2,1,21//16,21//16
current_advantage,1//2,3//4,2,1,11//8,11//8
current_advantage,1//2,7//8,2,1,23//16,23//16
current_advantage,1//2,1//1,2,1,3//2,3//2
current_advantage,3//4,0//1,2,1,1//1,1//1
current_advantage,3//4,1//8,2,1,35//32,35//32
current_advantage,3//4,1//4,2,1,19//16,19//16
current_advantage,3//4,3//8,2,1,41//32,41//32
current_advantage,3//4,1//2,2,1,11//8,11//8
current_advantage,3//4,5//8,2,1,47//32,47//32
current_advantage,3//4,3//4,2,1,25//16,25//16
current_advantage,3//4,7//8,2,1,53//32,53//32
current_advantage,3//4,1//1,2,1,7//4,7//4
current_advantage,1//1,0//1,2,1,1//1,1//1
current_advantage,1//1,1//8,2,1,9//8,9//8
current_advantage,1//1,1//4,2,1,5//4,5//4
current_advantage,1//1,3//8,2,1,11//8,11//8
current_advantage,1//1,1//2,2,1,3//2,3//2
current_advantage,1//1,5//8,2,1,13//8,13//8
current_advantage,1//1,3//4,2,1,7//4,7//4
current_advantage,1//1,7//8,2,1,15//8,15//8
current_advantage,1//1,1//1,2,1,2//1,2//1
other_advantage,0//1,0//1,2,1,0//1,0//1
other_advantage,0//1,1//8,2,1,0//1,0//1
other_advantage,0//1,1//4,2,1,0//1,0//1
other_advantage,0//1,3//8,2,1,0//1,0//1
other_advantage,0//1,1//2,2,1,0//1,0//1
other_advantage,0//1,5//8,2,1,0//1,0//1
other_advantage,0//1,3//4,2,1,0//1,0//1
other_advantage,0//1,7//8,2,1,0//1,0//1
other_advantage,0//1,1//1,2,1,0//1,0//1
other_advantage,1//4,0//1,2,1,1//4,1//4
other_advantage,1//4,1//8,2,1,7//32,7//32
other_advantage,1//4,1//4,2,1,3//16,3//16
other_advantage,1//4,3//8,2,1,5//32,5//32
other_advantage,1//4,1//2,2,1,1//8,1//8
other_advantage,1//4,5//8,2,1,3//32,3//32
other_advantage,1//4,3//4,2,1,1//16,1//16
other_advantage,1//4,7//8,2,1,1//32,1//32
other_advantage,1//4,1//1,2,1,0//1,0//1
other_advantage,1//2,0//1,2,1,1//2,1//2
other_advantage,1//2,1//8,2,1,7//16,7//16
other_advantage,1//2,1//4,2,1,3//8,3//8
other_advantage,1//2,3//8,2,1,5//16,5//16
other_advantage,1//2,1//2,2,1,1//4,1//4
other_advantage,1//2,5//8,2,1,3//16,3//16
other_advantage,1//2,3//4,2,1,1//8,1//8
other_advantage,1//2,7//8,2,1,1//16,1//16
other_advantage,1//2,1//1,2,1,0//1,0//1
other_advantage,3//4,0//1,2,1,3//4,3//4
other_advantage,3//4,1//8,2,1,21//32,21//32
other_advantage,3//4,1//4,2,1,9//16,9//16
other_advantage,3//4,3//8,2,1,15//32,15//32
other_advantage,3//4,1//2,2,1,3//8,3//8
other_advantage,3//4,5//8,2,1,9//32,9//32
other_advantage,3//4,3//4,2,1,3//16,3//16
other_advantage,3//4,7//8,2,1,3//32,3//32
other_advantage,3//4,1//1,2,1,0//1,0//1
other_advantage,1//1,0//1,2,1,1//1,1//1
other_advantage,1//1,1//8,2,1,7//8,7//8
other_advantage,1//1,1//4,2,1,3//4,3//4
other_advantage,1//1,3//8,2,1,5//8,5//8
other_advantage,1//1,1//2,2,1,1//2,1//2
other_advantage,1//1,5//8,2,1,3//8,3//8
other_advantage,1//1,3//4,2,1,1//4,1//4
other_advantage,1//1,7//8,2,1,1//8,1//8
other_advantage,1//1,1//1,2,1,0//1,0//1
constant_advantage,0//1,0//1,2,1,1//1,1//1
constant_advantage,0//1,1//8,2,1,1//1,1//1
constant_advantage,0//1,1//4,2,1,1//1,1//1
constant_advantage,0//1,3//8,2,1,1//1,1//1
constant_advantage,0//1,1//2,2,1,1//1,1//1
constant_advantage,0//1,5//8,2,1,1//1,1//1
constant_advantage,0//1,3//4,2,1,1//1,1//1
constant_advantage,0//1,7//8,2,1,1//1,1//1
constant_advantage,0//1,1//1,2,1,1//1,1//1
constant_advantage,1//4,0//1,2,1,5//4,5//4
constant_advantage,1//4,1//8,2,1,5//4,5//4
constant_advantage,1//4,1//4,2,1,5//4,5//4
constant_advantage,1//4,3//8,2,1,5//4,5//4
constant_advantage,1//4,1//2,2,1,5//4,5//4
constant_advantage,1//4,5//8,2,1,5//4,5//4
constant_advantage,1//4,3//4,2,1,5//4,5//4
constant_advantage,1//4,7//8,2,1,5//4,5//4
constant_advantage,1//4,1//1,2,1,5//4,5//4
constant_advantage,1//2,0//1,2,1,3//2,3//2
constant_advantage,1//2,1//8,2,1,3//2,3//2
constant_advantage,1//2,1//4,2,1,3//2,3//2
constant_advantage,1//2,3//8,2,1,3//2,3//2
constant_advantage,1//2,1//2,2,1,3//2,3//2
constant_advantage,1//2,5//8,2,1,3//2,3//2
constant_advantage,1//2,3//4,2,1,3//2,3//2
constant_advantage,1//2,7//8,2,1,3//2,3//2
constant_advantage,1//2,1//1,2,1,3//2,3//2
constant_advantage,3//4,0//1,2,1,7//4,7//4
constant_advantage,3//4,1//8,2,1,7//4,7//4
constant_advantage,3//4,1//4,2,1,7//4,7//4
constant_advantage,3//4,3//8,2,1,7//4,7//4
constant_advantage,3//4,1//2,2,1,7//4,7//4
constant_advantage,3//4,5//8,2,1,7//4,7//4
constant_advantage,3//4,3//4,2,1,7//4,7//4
constant_advantage,3//4,7//8,2,1,7//4,7//4
constant_advantage,3//4,1//1,2,1,7//4,7//4
constant_advantage,1//1,0//1,2,1,2//1,2//1
constant_advantage,1//1,1//8,2,1,2//1,2//1
constant_advantage,1//1,1//4,2,1,2//1,2//1
constant_advantage,1//1,3//8,2,1,2//1,2//1
constant_advantage,1//1,1//2,2,1,2//1,2//1
constant_advantage,1//1,5//8,2,1,2//1,2//1
constant_advantage,1//1,3//4,2,1,2//1,2//1
constant_advantage,1//1,7//8,2,1,2//1,2//1
constant_advantage,1//1,1//1,2,1,2//1,2//1
