audit_id,schedule_id,method,strategy_id,selected,resource_weight,certificate_sha256
locked_terminal_v1,uniform_cardinality,global_safe,DIA__momentum_20__always__h20__unit__horizon__notional_cap_1,false,1//1,28dc3fac021e99f2fb9c87580c24bdbb805f45bccca1effe94000ab7e4a241a8
locked_terminal_v1,uniform_cardinality,global_safe,DIA__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,true,1//1,28dc3fac021e99f2fb9c87580c24bdbb805f45bccca1effe94000ab7e4a241a8
locked_terminal_v1,uniform_cardinality,global_safe,DIA__momentum_60__always__h20__unit__horizon__notional_cap_1,false,1//1,28dc3fac021e99f2fb9c87580c24bdbb805f45bccca1effe94000ab7e4a241a8
locked_terminal_v1,uniform_cardinality,global_safe,EEM__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,false,1//1,28dc3fac021e99f2fb9c87580c24bdbb805f45bccca1effe94000ab7e4a241a8
locked_terminal_v1,uniform_cardinality,global_safe,EEM__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,true,1//1,28dc3fac021e99f2fb9c87580c24bdbb805f45bccca1effe94000ab7e4a241a8
locked_terminal_v1,uniform_cardinality,global_safe,EEM__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,false,1//1,28dc3fac021e99f2fb9c87580c24bdbb805f45bccca1effe94000ab7e4a241a8
locked_terminal_v1,uniform_cardinality,global_safe,EFA__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,false,1//1,28dc3fac021e99f2fb9c87580c24bdbb805f45bccca1effe94000ab7e4a241a8
locked_terminal_v1,uniform_cardinality,global_safe,EFA__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,false,1//1,28dc3fac021e99f2fb9c87580c24bdbb805f45bccca1effe94000ab7e4a241a8
locked_terminal_v1,uniform_cardinality,global_safe,EFA__mean_reversion_5__trend_100__h5__unit__horizon__notional_cap_1,true,1//1,28dc3fac021e99f2fb9c87580c24bdbb805f45bccca1effe94000ab7e4a241a8
locked_terminal_v1,uniform_cardinality,global_safe,EMB__momentum_20__trend_100__h20__unit__horizon__vol_target_10,true,1//1,28dc3fac021e99f2fb9c87580c24bdbb805f45bccca1effe94000ab7e4a241a8
locked_terminal_v1,uniform_cardinality,global_safe,EMB__momentum_60__always__h20__unit__horizon__vol_target_10,false,1//1,28dc3fac021e99f2fb9c87580c24bdbb805f45bccca1effe94000ab7e4a241a8
locked_terminal_v1,uniform_cardinality,global_safe,EMB__momentum_60__trend_100__h20__unit__horizon__vol_target_10,false,1//1,28dc3fac021e99f2fb9c87580c24bdbb805f45bccca1effe94000ab7e4a241a8
locked_terminal_v1,uniform_cardinality,global_safe,EWZ__mean_reversion_5__always__h20__half__signal_flip__notional_cap_1,false,1//1,28dc3fac021e99f2fb9c87580c24bdbb805f45bccca1effe94000ab7e4a241a8
locked_terminal_v1,uniform_cardinality,global_safe,EWZ__mean_reversion_5__always__h5__half__signal_flip__notional_cap_1,false,1//1,28dc3fac021e99f2fb9c87580c24bdbb805f45bccca1effe94000ab7e4a241a8
locked_terminal_v1,uniform_cardinality,global_safe,EWZ__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,true,1//1,28dc3fac021e99f2fb9c87580c24bdbb805f45bccca1effe94000ab7e4a241a8
locked_terminal_v1,uniform_cardinality,global_safe,FXE__momentum_60__always__h20__unit__signal_flip__notional_cap_1,true,1//1,28dc3fac021e99f2fb9c87580c24bdbb805f45bccca1effe94000ab7e4a241a8
locked_terminal_v1,uniform_cardinality,global_safe,FXE__momentum_60__always__h20__unit__signal_flip__vol_target_10,false,1//1,28dc3fac021e99f2fb9c87580c24bdbb805f45bccca1effe94000ab7e4a241a8
locked_terminal_v1,uniform_cardinality,global_safe,FXE__momentum_60__trend_100__h20__unit__signal_flip__vol_target_10,false,1//1,28dc3fac021e99f2fb9c87580c24bdbb805f45bccca1effe94000ab7e4a241a8
locked_terminal_v1,uniform_cardinality,global_safe,FXI__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,false,1//1,28dc3fac021e99f2fb9c87580c24bdbb805f45bccca1effe94000ab7e4a241a8
locked_terminal_v1,uniform_cardinality,global_safe,FXI__mean_reversion_5__always__h5__half__signal_flip__notional_cap_1,false,1//1,28dc3fac021e99f2fb9c87580c24bdbb805f45bccca1effe94000ab7e4a241a8
