year,method,selection_rank,strategy_id,ticker,training_individual_score,training_set_marginal,realized_individual_target,realized_set_marginal,selected_by_realized_greedy_oracle,decision_hash
2020,coverage_marginal,1,USO__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,USO,0.0517280768025569,0.0517280768025569,0.0,0.0,false,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,coverage_marginal,2,GDX__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,GDX,0.040560353963502334,0.040560353963502334,0.0,0.0,false,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,coverage_marginal,3,XLF__momentum_60__always__h5__unit__horizon__notional_cap_1,XLF,0.009144810478776175,0.009144810478776175,0.0,0.0,false,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,coverage_marginal,4,AGG__mean_reversion_5__always__h20__half__horizon__notional_cap_1,AGG,0.0,0.0,0.0,0.0,false,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,coverage_marginal,5,AGG__mean_reversion_5__always__h20__half__horizon__vol_target_10,AGG,0.0,0.0,0.0,0.0,false,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,current_belief_improvement,1,XLF__momentum_60__always__h5__unit__horizon__notional_cap_1,XLF,0.10725515974610589,0.009144810478776175,0.0,0.0,false,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,current_belief_improvement,2,GDX__momentum_20__always__h20__unit__horizon__notional_cap_1,GDX,0.055512904382532424,0.004260146186418389,0.0,0.0,false,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,current_belief_improvement,3,USO__momentum_60__always__h20__unit__horizon__notional_cap_1,USO,0.03948394748128814,0.027305730439514647,0.0,0.0,false,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,current_belief_improvement,4,USO__momentum_60__always__h20__unit__signal_flip__notional_cap_1,USO,0.034211448354833585,0.0037284101480782247,0.0,0.0,false,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,current_belief_improvement,5,XLF__momentum_60__always__h20__unit__horizon__notional_cap_1,XLF,0.013257621217077076,0.0,0.0,0.0,false,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,average_trailing_score,1,QQQ__momentum_20__always__h20__unit__horizon__notional_cap_1,QQQ,0.12168971905969178,0.0,0.0,0.0,false,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,average_trailing_score,2,XLK__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,XLK,0.11272749008761011,0.0,0.0,0.0,false,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,average_trailing_score,3,XLK__momentum_20__always__h20__unit__horizon__notional_cap_1,XLK,0.10770844716301842,0.0,0.0,0.0,false,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,average_trailing_score,4,ITB__momentum_20__always__h20__unit__horizon__notional_cap_1,ITB,0.10519794758070249,0.0,0.05869126924917923,0.05869126924917923,true,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,average_trailing_score,5,IVW__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,IVW,0.09441829688631533,0.0,0.0,0.0,false,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,raw_parameter_novelty,1,AGG__momentum_20__always__h5__half__signal_flip__vol_target_10,AGG,0.42857142857142855,0.0,0.0,0.0,false,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,raw_parameter_novelty,2,AGG__momentum_60__always__h5__half__horizon__vol_target_10,AGG,0.42857142857142855,0.0,0.0,0.0,false,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,raw_parameter_novelty,3,AGG__momentum_60__trend_100__h5__half__horizon__vol_target_10,AGG,0.42857142857142855,0.0,0.0,0.0,false,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,raw_parameter_novelty,4,BIL__momentum_20__always__h5__half__signal_flip__vol_target_10,BIL,0.42857142857142855,0.0,0.0,0.0,false,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,raw_parameter_novelty,5,BIL__momentum_60__always__h5__half__horizon__vol_target_10,BIL,0.42857142857142855,0.0,0.0,0.0,false,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2021,coverage_marginal,1,USO__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,USO,0.0887094617704392,0.0887094617704392,0.09182273570156178,0.09182273570156178,true,cd30e3272628659d7d9b4bfd6cc7a4f418f69245bc2b359442894816570e4492
2021,coverage_marginal,2,GDX__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,GDX,0.055769262867613884,0.055769262867613884,0.01408501982813881,0.002998560193377367,false,cd30e3272628659d7d9b4bfd6cc7a4f418f69245bc2b359442894816570e4492
2021,coverage_marginal,3,XME__momentum_20__always__h5__unit__horizon__notional_cap_1,XME,0.05227203311160883,0.05227203311160883,0.0,0.0,false,cd30e3272628659d7d9b4bfd6cc7a4f418f69245bc2b359442894816570e4492
2021,coverage_marginal,4,XLK__momentum_60__always__h20__unit__signal_flip__notional_cap_1,XLK,0.011708446292691767,0.011708446292691771,0.0,0.0,false,cd30e3272628659d7d9b4bfd6cc7a4f418f69245bc2b359442894816570e4492
2021,coverage_marginal,5,AGG__mean_reversion_5__always__h20__half__horizon__notional_cap_1,AGG,0.0,0.0,0.0,0.0,false,cd30e3272628659d7d9b4bfd6cc7a4f418f69245bc2b359442894816570e4492
2021,current_belief_improvement,1,XLK__momentum_60__always__h20__unit__signal_flip__notional_cap_1,XLK,0.06590695611081165,0.011708446292691767,0.0,0.0,false,cd30e3272628659d7d9b4bfd6cc7a4f418f69245bc2b359442894816570e4492
2021,current_belief_improvement,2,XLK__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,XLK,0.06590695611081165,0.0,0.0,0.0,false,cd30e3272628659d7d9b4bfd6cc7a4f418f69245bc2b359442894816570e4492
2021,current_belief_improvement,3,QQQ__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,QQQ,0.021286016562315768,0.0,0.0,0.0,false,cd30e3272628659d7d9b4bfd6cc7a4f418f69245bc2b359442894816570e4492
2021,current_belief_improvement,4,QQQ__momentum_60__always__h20__unit__signal_flip__notional_cap_1,QQQ,0.007609610203102024,0.0,0.0,0.0,false,cd30e3272628659d7d9b4bfd6cc7a4f418f69245bc2b359442894816570e4492
2021,current_belief_improvement,5,QQQ__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,QQQ,0.003936568301032506,0.0,0.0,0.0,false,cd30e3272628659d7d9b4bfd6cc7a4f418f69245bc2b359442894816570e4492
2021,average_trailing_score,1,XME__momentum_20__always__h20__unit__horizon__notional_cap_1,XME,0.20371202846846975,0.02495515665876316,0.0,0.0,false,cd30e3272628659d7d9b4bfd6cc7a4f418f69245bc2b359442894816570e4492
2021,average_trailing_score,2,XLK__momentum_20__always__h20__unit__horizon__notional_cap_1,XLK,0.17079550435157453,0.0,0.0,0.0,false,cd30e3272628659d7d9b4bfd6cc7a4f418f69245bc2b359442894816570e4492
2021,average_trailing_score,3,QQQ__momentum_20__always__h20__unit__horizon__notional_cap_1,QQQ,0.16961323144697277,0.0,0.0,0.0,false,cd30e3272628659d7d9b4bfd6cc7a4f418f69245bc2b359442894816570e4492
2021,average_trailing_score,4,XME__momentum_20__always__h20__unit__signal_flip__notional_cap_1,XME,0.16709988956545946,0.023104723259562268,0.0,0.0,false,cd30e3272628659d7d9b4bfd6cc7a4f418f69245bc2b359442894816570e4492
2021,average_trailing_score,5,ITB__momentum_20__always__h20__unit__horizon__notional_cap_1,ITB,0.16686817472121315,0.0,0.0,0.0,false,cd30e3272628659d7d9b4bfd6cc7a4f418f69245bc2b359442894816570e4492
2021,raw_parameter_novelty,1,AGG__momentum_20__always__h5__half__signal_flip__vol_target_10,AGG,0.42857142857142855,0.0,0.0,0.0,false,cd30e3272628659d7d9b4bfd6cc7a4f418f69245bc2b359442894816570e4492
2021,raw_parameter_novelty,2,AGG__momentum_60__always__h5__half__horizon__vol_target_10,AGG,0.42857142857142855,0.0,0.0,0.0,false,cd30e3272628659d7d9b4bfd6cc7a4f418f69245bc2b359442894816570e4492
2021,raw_parameter_novelty,3,AGG__momentum_60__trend_100__h5__half__horizon__vol_target_10,AGG,0.42857142857142855,0.0,0.0,0.0,false,cd30e3272628659d7d9b4bfd6cc7a4f418f69245bc2b359442894816570e4492
2021,raw_parameter_novelty,4,BIL__momentum_20__always__h5__half__signal_flip__vol_target_10,BIL,0.42857142857142855,0.0,0.0,0.0,false,cd30e3272628659d7d9b4bfd6cc7a4f418f69245bc2b359442894816570e4492
2021,raw_parameter_novelty,5,BIL__momentum_60__always__h5__half__horizon__vol_target_10,BIL,0.42857142857142855,0.0,0.0,0.0,false,cd30e3272628659d7d9b4bfd6cc7a4f418f69245bc2b359442894816570e4492
2022,coverage_marginal,1,XOP__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,XOP,0.07534331362570462,0.07534331362570462,0.016942840784914186,0.016942840784914186,false,b47a122aed1ba7d35ca8084c6f2b631fbcc51a863a34817d8bab28e260edfea7
2022,coverage_marginal,2,GDX__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,GDX,0.043630663934612304,0.043630663934612304,0.014014970280176625,0.014014970280176623,false,b47a122aed1ba7d35ca8084c6f2b631fbcc51a863a34817d8bab28e260edfea7
2022,coverage_marginal,3,ITB__momentum_20__always__h20__unit__horizon__notional_cap_1,ITB,0.024641459277281338,0.024641459277281327,0.0008422151794306421,0.0,false,b47a122aed1ba7d35ca8084c6f2b631fbcc51a863a34817d8bab28e260edfea7
2022,coverage_marginal,4,XLE__momentum_20__always__h5__unit__signal_flip__notional_cap_1,XLE,0.016068504280570207,0.016068504280570217,0.002145461512581824,0.0021454615125818255,false,b47a122aed1ba7d35ca8084c6f2b631fbcc51a863a34817d8bab28e260edfea7
2022,coverage_marginal,5,UNG__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,UNG,0.006776991970409564,0.006776991970409568,0.09457665316187992,0.07763381237696573,false,b47a122aed1ba7d35ca8084c6f2b631fbcc51a863a34817d8bab28e260edfea7
2022,current_belief_improvement,1,ITB__momentum_20__always__h20__unit__horizon__notional_cap_1,ITB,0.12519343824376739,0.024641459277281338,0.0008422151794306421,0.0008422151794306421,false,b47a122aed1ba7d35ca8084c6f2b631fbcc51a863a34817d8bab28e260edfea7
2022,current_belief_improvement,2,XLK__momentum_60__always__h20__unit__signal_flip__notional_cap_1,XLK,0.05111135867652261,0.0,0.0,0.0,false,b47a122aed1ba7d35ca8084c6f2b631fbcc51a863a34817d8bab28e260edfea7
2022,current_belief_improvement,3,XLK__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,XLK,0.05111135867652261,0.0,0.0,0.0,false,b47a122aed1ba7d35ca8084c6f2b631fbcc51a863a34817d8bab28e260edfea7
2022,current_belief_improvement,4,ITB__momentum_60__always__h20__unit__horizon__notional_cap_1,ITB,0.04723610460773964,0.0,0.0,0.0,false,b47a122aed1ba7d35ca8084c6f2b631fbcc51a863a34817d8bab28e260edfea7
2022,current_belief_improvement,5,ITB__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,ITB,0.04723610460773964,0.0,0.0,0.0,false,b47a122aed1ba7d35ca8084c6f2b631fbcc51a863a34817d8bab28e260edfea7
2022,average_trailing_score,1,ITB__momentum_20__always__h20__unit__horizon__notional_cap_1,ITB,0.20731297812339158,0.024641459277281338,0.0008422151794306421,0.0008422151794306421,false,b47a122aed1ba7d35ca8084c6f2b631fbcc51a863a34817d8bab28e260edfea7
2022,average_trailing_score,2,XLK__momentum_20__always__h20__unit__horizon__notional_cap_1,XLK,0.18338620237313008,0.0,0.0,0.0,false,b47a122aed1ba7d35ca8084c6f2b631fbcc51a863a34817d8bab28e260edfea7
2022,average_trailing_score,3,ITB__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,ITB,0.1822452444186929,0.0,0.0,0.0,false,b47a122aed1ba7d35ca8084c6f2b631fbcc51a863a34817d8bab28e260edfea7
2022,average_trailing_score,4,QQQ__momentum_20__always__h20__unit__horizon__notional_cap_1,QQQ,0.18142780002191627,0.0,0.0,0.0,false,b47a122aed1ba7d35ca8084c6f2b631fbcc51a863a34817d8bab28e260edfea7
2022,average_trailing_score,5,XLY__momentum_20__always__h20__unit__horizon__notional_cap_1,XLY,0.17636174531318563,0.0,0.0,0.0,false,b47a122aed1ba7d35ca8084c6f2b631fbcc51a863a34817d8bab28e260edfea7
2022,raw_parameter_novelty,1,AGG__momentum_20__always__h5__half__signal_flip__vol_target_10,AGG,0.42857142857142855,0.0,0.0,0.0,false,b47a122aed1ba7d35ca8084c6f2b631fbcc51a863a34817d8bab28e260edfea7
2022,raw_parameter_novelty,2,AGG__momentum_60__always__h5__half__horizon__vol_target_10,AGG,0.42857142857142855,0.0,0.0,0.0,false,b47a122aed1ba7d35ca8084c6f2b631fbcc51a863a34817d8bab28e260edfea7
2022,raw_parameter_novelty,3,AGG__momentum_60__trend_100__h5__half__horizon__vol_target_10,AGG,0.42857142857142855,0.0,0.0,0.0,false,b47a122aed1ba7d35ca8084c6f2b631fbcc51a863a34817d8bab28e260edfea7
2022,raw_parameter_novelty,4,BIL__momentum_20__always__h5__half__signal_flip__vol_target_10,BIL,0.42857142857142855,0.0,0.0,0.0,false,b47a122aed1ba7d35ca8084c6f2b631fbcc51a863a34817d8bab28e260edfea7
2022,raw_parameter_novelty,5,BIL__momentum_60__always__h5__half__horizon__vol_target_10,BIL,0.42857142857142855,0.0,0.0,0.0,false,b47a122aed1ba7d35ca8084c6f2b631fbcc51a863a34817d8bab28e260edfea7
2023,coverage_marginal,1,GDX__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,GDX,0.06666404024945798,0.06666404024945798,0.008476284532612016,0.008476284532612016,false,1443fd65ebe22a58993507f3090d612ab1c662340ae577aff5b9e65e2a03fb25
