year,strategy_id,ticker,coverage_score,current_belief_improvement,average_trailing_score,raw_parameter_novelty,realized_coverage_target,coverage_rank,current_rank,average_rank,novelty_rank,realized_target_rank,decision_hash
2020,AGG__mean_reversion_5__always__h20__half__horizon__notional_cap_1,AGG,0.0,0.0,0.009754549001964378,0.2857142857142857,0.0,53,7,2516,274,91,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,AGG__mean_reversion_5__always__h20__half__horizon__vol_target_10,AGG,0.0,0.0,0.009754549001964378,0.14285714285714285,0.0,54,8,2517,4927,92,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,AGG__mean_reversion_5__always__h20__half__signal_flip__notional_cap_1,AGG,0.0,0.0,-0.004493741393233147,0.14285714285714285,0.0,55,9,5121,4928,93,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,AGG__mean_reversion_5__always__h20__half__signal_flip__vol_target_10,AGG,0.0,0.0,-0.004493741393233147,0.2857142857142857,0.0,56,10,5122,275,94,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,AGG__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,AGG,0.0,0.0,0.01887942971214998,0.14285714285714285,0.0,57,11,1438,4929,95,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,AGG__mean_reversion_5__always__h20__unit__horizon__vol_target_10,AGG,0.0,0.0,0.01887942971214998,0.14285714285714285,0.0,58,12,1439,4930,96,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,AGG__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,AGG,0.0,0.0,-0.009282568116653156,0.14285714285714285,0.0,59,13,5980,4931,97,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,AGG__mean_reversion_5__always__h20__unit__signal_flip__vol_target_10,AGG,0.0,0.0,-0.009282568116653156,0.2857142857142857,0.0,60,14,5981,276,98,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,AGG__mean_reversion_5__always__h5__half__horizon__notional_cap_1,AGG,0.0,0.0,-0.0015827318856546733,0.2857142857142857,0.0,61,15,4504,277,99,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,AGG__mean_reversion_5__always__h5__half__horizon__vol_target_10,AGG,0.0,0.0,-0.0015827318856546733,0.2857142857142857,0.0,62,16,4505,278,100,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,AGG__mean_reversion_5__always__h5__half__signal_flip__notional_cap_1,AGG,0.0,0.0,-0.007975601476145846,0.14285714285714285,0.0,63,17,5753,4932,101,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,AGG__mean_reversion_5__always__h5__half__signal_flip__vol_target_10,AGG,0.0,0.0,-0.007975601476145846,0.2857142857142857,0.0,64,18,5754,279,102,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,AGG__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,AGG,0.0,0.0,-0.00356874312290543,0.14285714285714285,0.0,65,19,4917,4933,103,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
2020,AGG__mean_reversion_5__always__h5__unit__horizon__vol_target_10,AGG,0.0,0.0,-0.00356874312290543,0.14285714285714285,0.0,66,20,4918,4934,104,23615ce29b83cacb38d1919c7ef9c8922cc66edd1482689a0041cb14895e4bb9
