trial_id,lambda_id,lambda,optimal_net_value,optimal_masks,optimal_library_ids,optimal_burdens,operational_values,generative_values,total_values,optimizer_count,enumeration_certificate
1,L0,0//1,256843//12288,27;31,base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,8//1;10//1,13825//768,11881//4096,256843//12288,2,complete-enumeration:32
1,L025,1//4,232267//12288,27,base_1;base_2;closure_carrier;frontier_addition;inactive,8//1,13825//768,11881//4096,256843//12288,1,complete-enumeration:32
1,L050,1//2,207691//12288,27,base_1;base_2;closure_carrier;frontier_addition;inactive,8//1,13825//768,11881//4096,256843//12288,1,complete-enumeration:32
1,L100,1//1,656935//49152,26,base_2;closure_carrier;frontier_addition;inactive,6//1,175//12,78349//16384,951847//49152,1,complete-enumeration:32
1,L200,2//1,149287//16384,24,closure_carrier;frontier_addition;inactive,4//1,1225//128,123559//16384,280359//16384,1,complete-enumeration:32
1,L400,4//1,491//96,16,frontier_addition;inactive,1//1,875//96,0//1,875//96,1,complete-enumeration:32
2,L0,0//1,49601//4096,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,9275//768,403//12288,49601//4096,4,complete-enumeration:32
2,L025,1//4,8699//768,17,base_1;frontier_addition;inactive,3//1,9275//768,0//1,9275//768,1,complete-enumeration:32
2,L050,1//2,8123//768,17,base_1;frontier_addition;inactive,3//1,9275//768,0//1,9275//768,1,complete-enumeration:32
2,L100,1//1,2369//256,16,frontier_addition;inactive,1//1,2625//256,0//1,2625//256,1,complete-enumeration:32
2,L200,2//1,2113//256,16,frontier_addition;inactive,1//1,2625//256,0//1,2625//256,1,complete-enumeration:32
2,L400,4//1,1601//256,16,frontier_addition;inactive,1//1,2625//256,0//1,2625//256,1,complete-enumeration:32
3,L0,0//1,9283//768,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,7//1;11//1;15//1,2275//192,61//256,9283//768,4,complete-enumeration:32
3,L025,1//4,2035//192,17,base_1;frontier_addition;inactive,5//1,2275//192,0//1,2275//192,1,complete-enumeration:32
3,L050,1//2,1829//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
3,L100,1//1,1733//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
3,L200,2//1,1541//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
3,L400,4//1,1157//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
