trial_id,frontier_density,module_overlap,module_complementarity,project_cost,duration,admission,persistence,strategy_id,source_asset,frontier_preserved,closure_changes,unique_closure_count,operationally_silent_generative,signed_operational_loss,signed_generative_loss,signed_total_dynamic_loss,decomposition_gate,deleted_library_ids
1,dense,low,strong,low,short,high,low,base_1,true,false,true,1,false,1225//384,-14385//8192,35245//24576,true,base_2;base_3;closure_carrier;frontier_addition;inactive
1,dense,low,strong,low,short,high,low,base_2,true,false,true,1,false,175//48,-2055//1024,5035//3072,true,base_1;base_3;closure_carrier;frontier_addition;inactive
1,dense,low,strong,low,short,high,low,base_3,true,true,true,1,false,0//1,0//1,0//1,true,base_1;base_2;closure_carrier;frontier_addition;inactive
1,dense,low,strong,low,short,high,low,closure_carrier,true,true,true,3,true,0//1,11881//4096,11881//4096,true,base_1;base_2;base_3;frontier_addition;inactive
1,dense,low,strong,low,short,high,low,frontier_addition,true,false,false,0,false,525//256,-18495//16384,15105//16384,true,base_1;base_2;base_3;closure_carrier;inactive
2,sparse,low,weak,high,short,high,high,base_1,true,false,true,1,false,175//96,-234803//393216,481997//393216,true,base_2;base_3;closure_carrier;frontier_addition;inactive
2,sparse,low,weak,high,short,high,high,base_2,true,true,true,1,false,0//1,0//1,0//1,true,base_1;base_3;closure_carrier;frontier_addition;inactive
2,sparse,low,weak,high,short,high,high,base_3,true,true,true,1,false,0//1,0//1,0//1,true,base_1;base_2;closure_carrier;frontier_addition;inactive
2,sparse,low,weak,high,short,high,high,closure_carrier,true,true,true,1,true,0//1,403//12288,403//12288,true,base_1;base_2;base_3;frontier_addition;inactive
2,sparse,low,weak,high,short,high,high,frontier_addition,true,false,false,0,false,875//768,-223831//786432,672169//786432,true,base_1;base_2;base_3;closure_carrier;inactive
3,sparse,high,weak,low,long,high,high,base_1,true,false,false,0,false,175//96,-27//128,619//384,true,base_2;base_3;closure_carrier;frontier_addition;inactive
3,sparse,high,weak,low,long,high,high,base_2,true,true,false,0,false,0//1,0//1,0//1,true,base_1;base_3;closure_carrier;frontier_addition;inactive
