solution,horizon,arithmetic,compressed_state,belief,value
finite_horizon_exact,0,Rational{BigInt},K0,low,0//1
finite_horizon_exact,0,Rational{BigInt},K0,high,0//1
finite_horizon_exact,0,Rational{BigInt},K1,low,0//1
finite_horizon_exact,0,Rational{BigInt},K1,high,0//1
finite_horizon_exact,0,Rational{BigInt},K2,low,0//1
finite_horizon_exact,0,Rational{BigInt},K2,high,0//1
finite_horizon_exact,1,Rational{BigInt},K0,low,0//1
finite_horizon_exact,1,Rational{BigInt},K0,high,0//1
finite_horizon_exact,1,Rational{BigInt},K1,low,0//1
finite_horizon_exact,1,Rational{BigInt},K1,high,0//1
finite_horizon_exact,1,Rational{BigInt},K2,low,2//1
finite_horizon_exact,1,Rational{BigInt},K2,high,4//1
finite_horizon_exact,2,Rational{BigInt},K0,low,0//1
finite_horizon_exact,2,Rational{BigInt},K0,high,0//1
finite_horizon_exact,2,Rational{BigInt},K1,low,0//1
finite_horizon_exact,2,Rational{BigInt},K1,high,0//1
finite_horizon_exact,2,Rational{BigInt},K2,low,13//4
finite_horizon_exact,2,Rational{BigInt},K2,high,23//4
finite_horizon_exact,3,Rational{BigInt},K0,low,0//1
finite_horizon_exact,3,Rational{BigInt},K0,high,0//1
finite_horizon_exact,3,Rational{BigInt},K1,low,3//8
finite_horizon_exact,3,Rational{BigInt},K1,high,1//2
finite_horizon_exact,3,Rational{BigInt},K2,low,63//16
finite_horizon_exact,3,Rational{BigInt},K2,high,105//16
finite_horizon_exact,4,Rational{BigInt},K0,low,31//256
finite_horizon_exact,4,Rational{BigInt},K0,high,0//1
finite_horizon_exact,4,Rational{BigInt},K1,low,21//32
finite_horizon_exact,4,Rational{BigInt},K1,high,13//16
finite_horizon_exact,4,Rational{BigInt},K2,low,275//64
finite_horizon_exact,4,Rational{BigInt},K2,high,445//64
finite_horizon_exact,5,Rational{BigInt},K0,low,1973//8192
finite_horizon_exact,5,Rational{BigInt},K0,high,31//2048
finite_horizon_exact,5,Rational{BigInt},K1,low,105//128
finite_horizon_exact,5,Rational{BigInt},K1,high,63//64
finite_horizon_exact,5,Rational{BigInt},K2,low,1147//256
finite_horizon_exact,5,Rational{BigInt},K2,high,1829//256
finite_horizon_exact,6,Rational{BigInt},K0,low,82523//262144
finite_horizon_exact,6,Rational{BigInt},K0,high,2345//65536
finite_horizon_exact,6,Rational{BigInt},K1,low,465//512
finite_horizon_exact,6,Rational{BigInt},K1,high,275//256
finite_horizon_exact,6,Rational{BigInt},K2,low,4683//1024
finite_horizon_exact,6,Rational{BigInt},K2,high,7413//1024
finite_horizon_exact,7,Rational{BigInt},K0,low,2982325//8388608
finite_horizon_exact,7,Rational{BigInt},K0,high,110663//2097152
finite_horizon_exact,7,Rational{BigInt},K1,low,1953//2048
finite_horizon_exact,7,Rational{BigInt},K1,high,1147//1024
finite_horizon_exact,7,Rational{BigInt},K2,low,18923//4096
finite_horizon_exact,7,Rational{BigInt},K2,high,29845//4096
finite_horizon_exact,8,Rational{BigInt},K0,low,101185083//268435456
finite_horizon_exact,8,Rational{BigInt},K0,high,4310281//67108864
finite_horizon_exact,8,Rational{BigInt},K1,low,8001//8192
finite_horizon_exact,8,Rational{BigInt},K1,high,4683//4096
finite_horizon_exact,8,Rational{BigInt},K2,low,76075//16384
finite_horizon_exact,8,Rational{BigInt},K2,high,119765//16384
stationary_exact_policy_iteration,,Rational{BigInt},K0,low,115//288
stationary_exact_policy_evaluation,,Rational{BigInt},K0,low,115//288
stationary_float64_value_iteration,,Float64,K0,low,0.39930555555531799
stationary_float64_policy_evaluation,,Float64,K0,low,0.39930555555555552
stationary_exact_policy_iteration,,Rational{BigInt},K0,high,23//288
stationary_exact_policy_evaluation,,Rational{BigInt},K0,high,23//288
stationary_float64_value_iteration,,Float64,K0,high,0.079861111110873587
stationary_float64_policy_evaluation,,Float64,K0,high,0.079861111111111105
stationary_exact_policy_iteration,,Rational{BigInt},K1,low,1//1
stationary_exact_policy_evaluation,,Rational{BigInt},K1,low,1//1
stationary_float64_value_iteration,,Float64,K1,low,0.99999999999976241
stationary_float64_policy_evaluation,,Float64,K1,low,1
stationary_exact_policy_iteration,,Rational{BigInt},K1,high,7//6
stationary_exact_policy_evaluation,,Rational{BigInt},K1,high,7//6
stationary_float64_value_iteration,,Float64,K1,high,1.1666666666664289
stationary_float64_policy_evaluation,,Float64,K1,high,1.1666666666666667
stationary_exact_policy_iteration,,Rational{BigInt},K2,low,14//3
stationary_exact_policy_evaluation,,Rational{BigInt},K2,low,14//3
stationary_float64_value_iteration,,Float64,K2,low,4.6666666666661119
stationary_float64_policy_evaluation,,Float64,K2,low,4.666666666666667
stationary_exact_policy_iteration,,Rational{BigInt},K2,high,22//3
stationary_exact_policy_evaluation,,Rational{BigInt},K2,high,22//3
stationary_float64_value_iteration,,Float64,K2,high,7.3333333333327788
stationary_float64_policy_evaluation,,Float64,K2,high,7.3333333333333339
