iteration,increment,bellman_residual,apriori_error_bound,posterior_error_bound
1,5.0,3.25,15.0,13.0
2,3.25,2.28125,11.25,9.125
3,2.28125,1.662109375,8.4375,6.6484375
4,1.662109375,1.2313232421875,6.328125,4.92529296875
5,1.2313232421875,0.9187240600585938,4.74609375,3.674896240234375
6,0.9187240600585938,0.6875529289245605,3.5595703125,2.750211715698242
7,0.6875529289245605,0.5151990354061127,2.669677734375,2.0607961416244507
8,0.5151990354061127,0.38625375740230083,2.00225830078125,1.5450150296092033
9,0.38625375740230083,0.289644843316637,1.5016937255859375,1.158579373266548
10,0.289644843316637,0.21721942163276253,1.1262702941894531,0.8688776865310501
11,0.21721942163276253,0.1629101253324734,0.8447027206420898,0.6516405013298936
12,0.1629101253324734,0.12218120622057427,0.6335270404815674,0.48872482488229707
13,0.12218120622057427,0.09163547098455993,0.47514528036117554,0.3665418839382397
14,0.09163547098455993,0.0687264677131516,0.35635896027088165,0.2749058708526064
15,0.0687264677131516,0.05154480843321352,0.26726922020316124,0.20617923373285407
16,0.05154480843321352,0.03865859309001962,0.20045191515237093,0.1546343723600785
17,0.03865859309001962,0.02899394068161243,0.1503389363642782,0.11597576272644972
18,0.02899394068161243,0.021745454218741855,0.11275420227320865,0.08698181687496742
19,0.021745454218741855,0.016309090260158143,0.08456565170490649,0.06523636104063257
20,0.016309090260158143,0.012231817568899572,0.06342423877867986,0.04892727027559829
21,0.012231817568899572,0.009173863137235116,0.0475681790840099,0.036695452548940466
22,0.009173863137235116,0.006880397340598421,0.035676134313007424,0.027521589362393684
23,0.006880397340598421,0.005160298001598562,0.026757100734755568,0.02064119200639425
24,0.005160298001598562,0.0038702234999945517,0.020067825551066676,0.015480893999978207
25,0.0038702234999945517,0.00290266762461755,0.015050869163300007,0.0116106704984702
26,0.00290266762461755,0.002177000718347699,0.011288151872475005,0.008708002873390797
27,0.002177000718347699,0.0016327505387252472,0.008466113904356254,0.006531002154900989
28,0.0016327505387252472,0.0012245629040297246,0.00634958542826719,0.004898251616118898
29,0.0012245629040297246,0.0009184221780209612,0.004762189071200393,0.0036736887120838446
30,0.0009184221780209612,0.0006888166335130563,0.0035716418034002946,0.0027552665340522253
31,0.0006888166335130563,0.000516612475138345,0.002678731352550221,0.00206644990055338
32,0.000516612475138345,0.0003874593563537587,0.0020090485144126655,0.0015498374254150349
33,0.0003874593563537587,0.00029059451726531904,0.0015067863858094993,0.0011623780690612762
34,0.00029059451726531904,0.00021794588795032155,0.0011300897893571243,0.0008717835518012862
35,0.00021794588795032155,0.00016345941596185298,0.0008475673420178433,0.0006538376638474119
36,0.00016345941596185298,0.00012259456197227792,0.0006356755065133826,0.0004903782478891117
37,0.00012259456197227792,9.194592147920844e-5,0.00047675662988503687,0.00036778368591683375
38,9.194592147920844e-5,6.89594411102945e-5,0.0003575674724137776,0.000275837764441178
39,6.89594411102945e-5,5.171958083138861e-5,0.0002681756043103333,0.00020687832332555445
40,5.171958083138861e-5,3.8789685625317816e-5,0.00020113170323274993,0.00015515874250127126
41,3.8789685625317816e-5,2.909226422076472e-5,0.00015084877742456247,0.00011636905688305887
42,2.909226422076472e-5,2.1819198163797182e-5,0.00011313658306842184,8.727679265518873e-5
43,2.1819198163797182e-5,1.6364398623736065e-5,8.485243730131637e-5,6.545759449494426e-5
44,1.6364398623736065e-5,1.227329896735796e-5,6.363932797598729e-5,4.909319586943184e-5
