parameter,registered_value,actual_parameter_value,belief_index,belief_coordinate,total_value,operational_value,generative_value,total_discount_derivative,operational_discount_derivative,generative_discount_derivative,total_scaled_sensitivity,operational_scaled_sensitivity,generative_scaled_sensitivity,innovation_duration,operational_elasticity,generative_elasticity,operational_contribution,generative_contribution,action,alternate_action,winning_q,alternate_q,action_margin,action_tie_distance_linf,policy_iterations,policy_equation_residual,bellman_residual,derivative_residual,value_reconstruction_exact,channel_identity_exact,sensitivity_identity_exact
admission_probability,1//2,1//2,1,0//1,308398443717545530//47495752801338893,40885//14116,2411488578234132061175//670450046543699813588,102856479898615188616752581145267700//2255846534165891301909093434465449,1653895525//99630728,6516731483872670201880499067312807837669875//224751632455224623178070768695812974716872,82285183918892150893402064916214160//2255846534165891301909093434465449,330779105//24907682,1303346296774534040376099813462561567533975//56187908113806155794517692173953243679218,8228518391889215089340206491621416//1464761624712616803312929968729829,132311642//28856633,104267703741962723230087985077004925402718//16167826295166743296403423199298217122459,3142120520585624365646153//1536298073082304376352292,260669259354906808075219962692512313506795//72967633508290401449550012298785049292756,research:research,continue,308398443717545530//47495752801338893,544360946332907901//94991505602677786,72435941102183159//94991505602677786,72435941102183159//189983011205355572,2,0//1,0//1,0//1,true,true,true
admission_probability,1//2,1//2,2,1//4,319824055662532730//47495752801338893,48345//14116,2218454200551583234595//670450046543699813588,103492197688155561359111825274105700//2255846534165891301909093434465449,1869498175//99630728,6093702019287646619289556393830311433894025//224751632455224623178070768695812974716872,82793758150524449087289460219284560//2255846534165891301909093434465449,373899635//24907682,1218740403857529323857911278766062286778805//56187908113806155794517692173953243679218,8279375815052444908728946021928456//1519028428766930495534731943446789,149559854//34121901,487496161543011729543164511506424914711522//74368136100743767015022895639878378633843,3551728927294167920800811//1593215174878532910686372,243748080771505864771582255753212457355761//75670954105372713797763046405229208666196,research:research,continue,319824055662532730//47495752801338893,2294155920806560577//379966022410711144,264436524493701263//379966022410711144,264436524493701263//759932044821422288,2,0//1,0//1,0//1,true,true,true
admission_probability,1//2,1//2,3,1//2,331801926777242330//47495752801338893,56475//14116,2001393358931938748105//670450046543699813588,104205641904179918460716060387114700//2255846534165891301909093434465449,1054724125//49815364,2811746220427973451359710846620284150993675//112375816227612311589035384347906487358436,83364513523343934768572848309691760//2255846534165891301909093434465449,210944825//12453841,562349244085594690271942169324056830198735//28093954056903077897258846086976621839609,8336451352334393476857284830969176//1575918229321984964852458631494069,33751172//7972011,449879395268475752217553735459245464158988//67091713532408502035186796747706129412537,2003796652584338509915745//826441687915483679257906,112469848817118938054388433864811366039747//39252470113955077113326216511409455538058,research:research,continue,331801926777242330//47495752801338893,1208916253447368775//189983011205355572,118291453661600545//189983011205355572,118291453661600545//379966022410711144,2,0//1,0//1,0//1,true,true,true
admission_probability,1//2,1//2,4,3//4,343565932742439930//47495752801338893,63905//14116,1814560623822720094715//670450046543699813588,104868539524550016392655666003693700//2255846534165891301909093434465449,2303050075//99630728,5252801407428445980308632579845194115654925//224751632455224623178070768695812974716872,83894831619640013114124532802954960//2255846534165891301909093434465449,460610015//24907682,1050560281485689196061726515969038823130985//56187908113806155794517692173953243679218,8389483161964001311412453280295496//1631792261249635100651662762519749,184244006//45104149,420224112594275678424690606387615529252394//60828612734915382813166700717282360199371,4375403882052199904962679//1711486199756416336108452,210112056297137839212345303193807764626197//81288325466533667406139217720166853623636,research:research,continue,343565932742439930//47495752801338893,2538812074348674523//379966022410711144,209715387590844917//379966022410711144,209715387590844917//759932044821422288,2,0//1,0//1,0//1,true,true,true
admission_probability,1//2,1//2,5,1//1,353753797387244730//47495752801338893,69245//14116,1704745201189634962895//670450046543699813588,105309953270441648820497537741935700//2255846534165891301909093434465449,2406112425//99630728,5064286935230344280783615074283289848085775//224751632455224623178070768695812974716872,84247962616353319056398030193548560//2255846534165891301909093434465449,481222485//24907682,1012857387046068856156723014856657969617155//56187908113806155794517692173953243679218,8424796261635331905639803019354856//1680180291323950005222794425828389,192488994//48873121,405142954818427542462689205942663187846862//57147324974136983184900156416688939840863,1523734946000400894440607//587412472774261506067724,908392275377640229736971313772787416697//375330909407751620753252939102296859052,research:research,continue,353753797387244730//47495752801338893,329989397478894437//47495752801338893,23764399908350293//47495752801338893,23764399908350293//94991505602677786,2,0//1,0//1,0//1,true,true,true
admission_probability,3//4,3//4,1,0//1,27971295103341259190//3842010443674795399,40885//14116,237762204689121204837925//54233819422913411852284,710236441208244612699817775025310191550//14761044249306198189148052344511569201,1653895525//99630728,46348148661452104825565823058058430197684222875//1470653584598590020497102154865794443918008328,568189152966595690159854220020248153240//14761044249306198189148052344511569201,330779105//24907682,9269629732290420965113164611611686039536844575//367663396149647505124275538716448610979502082,56818915296659569015985422002024815324//10746600791014678324055563239827846681,132311642//28856633,741570378583233677209053168928934883162947566//128947524747035758868393149772745408562610707,254171355191880346627867579//139340024712436244276819516,1853925946458084193022632922322337207907368915//535345830167084130055737839017043479750206884,research:research,continue,27971295103341259190//3842010443674795399,48814618535796685623//7684020887349590798,7127971670885832757//7684020887349590798,7127971670885832757//15368041774699181596,2,0//1,0//1,0//1,true,true,true
admission_probability,3//4,3//4,2,1//4,28699748192594177590//3842010443674795399,48345//14116,219383650587201427295785//54233819422913411852284,712058780941005584820508803022632339550//14761044249306198189148052344511569201,1869498175//99630728,43347189438772728936932452712684610578053984225//1470653584598590020497102154865794443918008328,569647024752804467856407042418105871640//14761044249306198189148052344511569201,373899635//24907682,8669437887754545787386490542536922115610796845//367663396149647505124275538716448610979502082,56964702475280446785640704241810587164//11026473228678366359459768928192090841,149559854//34121901,3467775155101818314954596217014768846244318738//594900664514290704947197348585316076699791147,287305260511238811677155873//142968840292242106092649276,1733887577550909157477298108507384423122159369//549287777522868059121843232513778867165481124,research:research,continue,28699748192594177590//3842010443674795399,203497692659605735651//30736083549398363192,26100292881147685069//30736083549398363192,26100292881147685069//61472167098796726384,2,0//1,0//1,0//1,true,true,true
admission_probability,3//4,3//4,3,1//2,29450275896202668790//3842010443674795399,56475//14116,198742554744262802481115//54233819422913411852284,714075589313032923394801614812429753550//14761044249306198189148052344511569201,1054724125//49815364,20003105925207483280770394145149816519621868075//735326792299295010248551077432897221959004164,571260471450426338715841291849943802840//14761044249306198189148052344511569201,210944825//12453841,4000621185041496656154078829029963303924373615//183831698074823752562137769358224305489751041,57126047145042633871584129184994380284//11314826756231474820968833644101289721,33751172//7972011,3200496948033197324923263063223970643139498892//538928391282441601266452791677594304153980833,162090444137830414470572035//73353810683488108177264478,800124237008299331230815765805992660784874723//281826106729305093231698640318176100160536722,research:research,continue,29450275896202668790//3842010443674795399,106063995424518476405//15368041774699181596,11737108160292198755//15368041774699181596,11737108160292198755//30736083549398363192,2,0//1,0//1,0//1,true,true,true
admission_probability,3//4,3//4,4,3//4,30195587173481415990//3842010443674795399,63905//14116,180717231137825868141745//54233819422913411852284,716012986816038973186343209592954187550//14761044249306198189148052344511569201,2303050075//99630728,37341471068493406537445567491471314089524296325//1470653584598590020497102154865794443918008328,572810389452831178549074567674363350040//14761044249306198189148052344511569201,460610015//24907682,7468294213698681307489113498294262817904859265//367663396149647505124275538716448610979502082,57281038945283117854907456767436335004//11601176127340829619477585789205703001,184244006//45104149,2987317685479472522995645399317705127161943706//490049284006887649365650915854369582275699779,353933697618240832771064197//150420416624070788477727036,1493658842739736261497822699658852563580971853//577916811611593779556257425930509365870707364,research:research,continue,30195587173481415990//3842010443674795399,220665873457816649969//30736083549398363192,20898823930034677951//30736083549398363192,20898823930034677951//61472167098796726384,2,0//1,0//1,0//1,true,true,true
admission_probability,3//4,3//4,5,1//1,30877392967417681590//3842010443674795399,69245//14116,169825265955806785920685//54233819422913411852284,717400674243550143225087501815468119550//14761044249306198189148052344511569201,2406112425//99630728,35958419468345308981598106758896743200784109975//1470653584598590020497102154865794443918008328,573920539394840114580070001452374495640//14761044249306198189148052344511569201,481222485//24907682,7191683893669061796319621351779348640156821995//367663396149647505124275538716448610979502082,57392053939484011458007000145237449564//11863126625426941411915725281817900441,192488994//48873121,2876673557467624718527848540711739456062728798//460513640364773493534297935327874976908004727,123257454206742504918223101//51272285668098398281398292,1438336778733812359263924270355869728031364399//590965971023734741841255792237761292184175524,research:research,continue,30877392967417681590//3842010443674795399,28509834527912127391//3842010443674795399,2367558439505554199//3842010443674795399,2367558439505554199//7684020887349590798,2,0//1,0//1,0//1,true,true,true
