source,row_kind,parameter,schedule,belief,belief_coordinate,library_mask,library,registered_value,actual_parameter_value,lower_value,upper_value,action,alternate_action,upper_endpoint_action,winning_q,alternate_q,action_margin,action_tie_distance_linf,exact_coordinate,bellman_residual
duration_surface,q_gap,research_duration,,1,0//1,,,1//1,1//1,,,research:research,continue,,27971295103341259190//3842010443674795399,48814618535796685623//7684020887349590798,7127971670885832757//7684020887349590798,7127971670885832757//15368041774699181596,true,0//1
duration_surface,q_gap,research_duration,,2,1//4,,,1//1,1//1,,,research:research,continue,,28699748192594177590//3842010443674795399,203497692659605735651//30736083549398363192,26100292881147685069//30736083549398363192,26100292881147685069//61472167098796726384,true,0//1
duration_surface,q_gap,research_duration,,3,1//2,,,1//1,1//1,,,research:research,continue,,29450275896202668790//3842010443674795399,106063995424518476405//15368041774699181596,11737108160292198755//15368041774699181596,11737108160292198755//30736083549398363192,true,0//1
duration_surface,q_gap,research_duration,,4,3//4,,,1//1,1//1,,,research:research,continue,,30195587173481415990//3842010443674795399,220665873457816649969//30736083549398363192,20898823930034677951//30736083549398363192,20898823930034677951//61472167098796726384,true,0//1
duration_surface,q_gap,research_duration,,5,1//1,,,1//1,1//1,,,research:research,continue,,30877392967417681590//3842010443674795399,28509834527912127391//3842010443674795399,2367558439505554199//3842010443674795399,2367558439505554199//7684020887349590798,true,0//1
duration_surface,q_gap,research_duration,,1,0//1,,,2//1,2//1,,,research:research,continue,,41903639852022667757575187470//7328971685456697237921950247,75056659129126149815868608599//14657943370913394475843900494,8750620574919185699281766341//14657943370913394475843900494,8750620574919185699281766341//29315886741826788951687800988,true,0//1
duration_surface,q_gap,research_duration,,2,1//4,,,2//1,2//1,,,research:research,continue,,2598618752164702841784100910//431115981497452778701291191,321360471545834735904286579843//58631773483653577903375601976,32051678748564850578351143917//58631773483653577903375601976,32051678748564850578351143917//117263546967307155806751203952,true,0//1
duration_surface,q_gap,research_duration,,3,1//2,,,2//1,2//1,,,research:research,continue,,46589055834252025601720099470//7328971685456697237921950247,171998718658724462815520306645//29315886741826788951687800988,14357504678283639591360091235//29315886741826788951687800988,14357504678283639591360091235//58631773483653577903375601976,true,0//1
duration_surface,q_gap,research_duration,,4,3//4,,,2//1,2//1,,,research:research,continue,,48937943071315866659267123470//7328971685456697237921950247,365904501378239685173406806737//58631773483653577903375601976,25599043192287248100730181023//58631773483653577903375601976,25599043192287248100730181023//117263546967307155806751203952,true,0//1
duration_surface,q_gap,research_duration,,5,1//1,,,2//1,2//1,,,research:research,continue,,50886625420021528585652435470//7328971685456697237921950247,47940837904038637010124633023//7328971685456697237921950247,173281618587228916207517791//431115981497452778701291191,173281618587228916207517791//862231962994905557402582382,true,0//1
duration_surface,q_gap,research_duration,,1,0//1,,,3//1,3//1,,,research:research,continue,,16207212230810117194420283265179782834490//3459841261582283745498537663627139137199,29792971782344366899713518568025469464383//6919682523164567490997075327254278274398,2621452679275867489127047962334096204597//6919682523164567490997075327254278274398,2621452679275867489127047962334096204597//13839365046329134981994150654508556548796,true,0//1
duration_surface,q_gap,research_duration,,2,1//4,,,3//1,3//1,,,research:research,continue,,17545848735696436004895375532215375474490//3459841261582283745498537663627139137199,130785755416372496456783397058494252770731//27678730092658269963988301309017113097592,9581034469198991582379607199228751025189//27678730092658269963988301309017113097592,9581034469198991582379607199228751025189//55357460185316539927976602618034226195184,true,0//1
duration_surface,q_gap,research_duration,,3,1//2,,,3//1,3//1,,,research:research,continue,,18986325237328448356687327399710701394490//3459841261582283745498537663627139137199,71674465588151347225742802662105990961965//13839365046329134981994150654508556548796,4270835361162446201006506936736814615995//13839365046329134981994150654508556548796,4270835361162446201006506936736814615995//27678730092658269963988301309017113097592,true,0//1
duration_surface,q_gap,research_duration,,4,3//4,,,3//1,3//1,,,research:research,continue,,20364319144461554553697548009126358514490//3459841261582283745498537663627139137199,155299372308005535957330024262735176677129//27678730092658269963988301309017113097592,7615180847686900472250359810275691438791//27678730092658269963988301309017113097592,7615180847686900472250359810275691438791//55357460185316539927976602618034226195184,true,0//1
duration_surface,q_gap,research_duration,,5,1//1,,,3//1,3//1,,,research:research,continue,,21447684573818923782014249344712001074490//3459841261582283745498537663627139137199,20563820649169554309694102072617457868791//3459841261582283745498537663627139137199,883863924649369472320147272094543205699//3459841261582283745498537663627139137199,883863924649369472320147272094543205699//6919682523164567490997075327254278274398,true,0//1
duration_surface,q_gap,research_duration,,1,0//1,,,4//1,4//1,,,research:research,continue,,349001672683789294960335504750623967059542793138240//87132684180608394939585961907120125767882902010699,656930754831878845636446443347377117326528621911883//174265368361216789879171923814240251535765804021398,41072590535699744284224566153870816792556964364597//174265368361216789879171923814240251535765804021398,41072590535699744284224566153870816792556964364597//348530736722433579758343847628480503071531608042796,true,0//1
duration_surface,q_gap,research_duration,,2,1//4,,,4//1,4//1,,,research:research,continue,,386986320541147890828081084214819447937466962738240//87132684180608394939585961907120125767882902010699,2946562669043983847384743052046942584577605518298231//697061473444867159516687695256961006143063216085592,149327895285199279239905621671612998922130183607689//697061473444867159516687695256961006143063216085592,149327895285199279239905621671612998922130183607689//1394122946889734319033375390513922012286126432171184,true,0//1
duration_surface,q_gap,research_duration,,3,1//2,,,4//1,4//1,,,research:research,continue,,428136867058263565606574863649965849012110391538240//87132684180608394939585961907120125767882902010699,1646518814375160697527437434999418588295553311274465//348530736722433579758343847628480503071531608042796,66028653857893564898862019600444807752888254878495//348530736722433579758343847628480503071531608042796,66028653857893564898862019600444807752888254878495//697061473444867159516687695256961006143063216085592,true,0//1
duration_surface,q_gap,research_duration,,4,3//4,,,4//1,4//1,,,research:research,continue,,466991694642122295145472766125293806292243788338240//87132684180608394939585961907120125767882902010699,3618632709214730329900453422929765904844930670799629//697061473444867159516687695256961006143063216085592,117300847922248031263328706072584545493019635906291//697061473444867159516687695256961006143063216085592,117300847922248031263328706072584545493019635906291//1394122946889734319033375390513922012286126432171184,true,0//1
duration_surface,q_gap,research_duration,,5,1//1,,,4//1,4//1,,,research:research,continue,,496574199037482601985377055598773678885113346738240//87132684180608394939585961907120125767882902010699,482912918190826461185892391912465075246330101481291//87132684180608394939585961907120125767882902010699,13661280846656140799484663686308603638783245256949//87132684180608394939585961907120125767882902010699,13661280846656140799484663686308603638783245256949//174265368361216789879171923814240251535765804021398,true,0//1
duration_surface,q_gap,research_duration,,1,0//1,,,5//1,5//1,,,research:research,continue,,7318307364941612300604417028308215199686359080345616435120115//2056856253918013167337017424430909788160653383879581162285449,14054614954690194894340967720366624921306373356525854981677633//4113712507836026334674034848861819576321306767759162324570898,581999775193029706867866336249805478066344804165377888562597//4113712507836026334674034848861819576321306767759162324570898,581999775193029706867866336249805478066344804165377888562597//8227425015672052669348069697723639152642613535518324649141796,true,0//1
