audit_id,audit_label,schedule_id,heldout_unit,instance_sha256,algorithm_id,applicability,status,active_strategy_count,frontier_requirement_count,module_requirement_count,coverage_density,duplicate_coverage_count,dominance_reductions,unique_carrier_count,forced_strategy_count,variables_before_preprocessing,variables_after_preprocessing,constraints_before_preprocessing,constraints_after_preprocessing,selected_strategy_count,selected_active_strategy_count,solve_time_seconds,mip_node_count,primal_objective,best_bound,reported_gap,mip_termination_status,solver_claimed_optimal,exact_reconstructed_burden,exact_mandatory_retention,exact_frontier_preservation,exact_closure_preservation,exact_feasible,dp_state_count,exact_frontier_evaluations,exact_closure_evaluations,complete_deletion_scans,multistart_count,random_seed,best_certified_benchmark_burden,absolute_burden_gap,relative_burden_gap,benchmark_evidence_class,heldout_opportunity_diagnostic,heldout_timing
locked_terminal_v1,Terminal financial audit,uniform_cardinality,terminal locked-2020-2024 enabled-descendant net-utility opportunity units,58ef36d4ebfc71a6484f5f20cdae2ce7a1d68a6ef227a013a1a10876e256d991,current_stepwise_safe_deletion,LOCKED_PARENT_ENDPOINT,HISTORICAL_LOCKED_ENDPOINT_EXACTLY_RECHECKED,80,3,38,563//3280,0,0,3,25,81,0,42,0,26,25,,,,,,NOT_APPLICABLE,false,25//1,true,true,true,true,,1,1,,,,25//1,0//1,0//1,lowest-burden exactly feasible returned endpoint; no optimality claim,8162187676336809//72057594037927936,EX_POST_AFTER_ALL_OPTIMIZATION_AND_BENCHMARK_ASSIGNMENT
locked_terminal_v1,Terminal financial audit,uniform_cardinality,terminal locked-2020-2024 enabled-descendant net-utility opportunity units,58ef36d4ebfc71a6484f5f20cdae2ce7a1d68a6ef227a013a1a10876e256d991,heaviest_safe_first,APPLICABLE,certified_irreducible_heuristic,80,3,38,563//3280,0,0,3,25,81,0,42,0,26,25,0.469991958,,,,,NOT_APPLICABLE,false,25//1,true,true,true,true,,2942,2942,56,,,25//1,0//1,0//1,lowest-burden exactly feasible returned endpoint; no optimality claim,8162187676336809//72057594037927936,EX_POST_AFTER_ALL_OPTIMIZATION_AND_BENCHMARK_ASSIGNMENT
locked_terminal_v1,Terminal financial audit,uniform_cardinality,terminal locked-2020-2024 enabled-descendant net-utility opportunity units,58ef36d4ebfc71a6484f5f20cdae2ce7a1d68a6ef227a013a1a10876e256d991,weighted_greedy,APPLICABLE_IDENTITY_CLOSURE_ONLY,feasible_heuristic,80,3,38,563//3280,0,0,3,25,81,0,42,0,26,25,0.073366708,,,,,NOT_APPLICABLE,false,25//1,true,true,true,true,,2,2,,,,25//1,0//1,0//1,lowest-burden exactly feasible returned endpoint; no optimality claim,8162187676336809//72057594037927936,EX_POST_AFTER_ALL_OPTIMIZATION_AND_BENCHMARK_ASSIGNMENT
locked_terminal_v1,Terminal financial audit,uniform_cardinality,terminal locked-2020-2024 enabled-descendant net-utility opportunity units,58ef36d4ebfc71a6484f5f20cdae2ce7a1d68a6ef227a013a1a10876e256d991,weighted_greedy_reverse_delete,APPLICABLE_IDENTITY_CLOSURE_ONLY,feasible_heuristic,80,3,38,563//3280,0,0,3,25,81,0,42,0,26,25,0.018190667,,,,,NOT_APPLICABLE,false,25//1,true,true,true,true,,27,27,,,,25//1,0//1,0//1,lowest-burden exactly feasible returned endpoint; no optimality claim,8162187676336809//72057594037927936,EX_POST_AFTER_ALL_OPTIMIZATION_AND_BENCHMARK_ASSIGNMENT
locked_terminal_v1,Terminal financial audit,uniform_cardinality,terminal locked-2020-2024 enabled-descendant net-utility opportunity units,58ef36d4ebfc71a6484f5f20cdae2ce7a1d68a6ef227a013a1a10876e256d991,multistart_random_deletion,APPLICABLE,certified_irreducible_heuristic,80,3,38,563//3280,0,0,3,25,81,0,42,0,26,25,9.92784875,,,,,NOT_APPLICABLE,false,25//1,true,true,true,true,,94113,94113,1792,32,20260827,25//1,0//1,0//1,lowest-burden exactly feasible returned endpoint; no optimality claim,8162187676336809//72057594037927936,EX_POST_AFTER_ALL_OPTIMIZATION_AND_BENCHMARK_ASSIGNMENT
locked_terminal_v1,Terminal financial audit,uniform_cardinality,terminal locked-2020-2024 enabled-descendant net-utility opportunity units,58ef36d4ebfc71a6484f5f20cdae2ce7a1d68a6ef227a013a1a10876e256d991,preprocessed_highs_mip,APPLICABLE_IDENTITY_CLOSURE_ONLY,exactly_rechecked_solver_candidate,80,3,38,563//3280,0,0,3,25,81,0,42,0,26,25,0.323454666,,25.0,25.0,0.0,NOT_CALLED_PREPROCESSING_SOLVED,false,25//1,true,true,true,true,,2,2,,,,25//1,0//1,0//1,lowest-burden exactly feasible returned endpoint; no optimality claim,8162187676336809//72057594037927936,EX_POST_AFTER_ALL_OPTIMIZATION_AND_BENCHMARK_ASSIGNMENT
locked_terminal_v1,Terminal financial audit,uniform_cardinality,terminal locked-2020-2024 enabled-descendant net-utility opportunity units,58ef36d4ebfc71a6484f5f20cdae2ce7a1d68a6ef227a013a1a10876e256d991,requirement_mask_dp,NOT_APPLICABLE_REQUIREMENT_LIMIT,SKIPPED_RESIDUAL_REQUIREMENTS_41_EXCEED_LIMIT_22,80,3,38,563//3280,0,0,3,25,81,0,42,0,,,,,,,,NOT_APPLICABLE,false,,,,,,,,,,,,25//1,,,lowest-burden exactly feasible returned endpoint; no optimality claim,,NOT_EVALUATED_DURING_OPTIMIZATION
locked_terminal_v1,Terminal financial audit,uniform_cardinality,terminal locked-2020-2024 enabled-descendant net-utility opportunity units,58ef36d4ebfc71a6484f5f20cdae2ce7a1d68a6ef227a013a1a10876e256d991,optional_second_solver_crosscheck,OPTIONAL,UNAVAILABLE_NO_SECOND_SOLVER_DECLARED,80,3,38,563//3280,0,0,3,25,81,0,42,0,,,,,,,,NOT_APPLICABLE,false,,,,,,,,,,,,25//1,,,lowest-burden exactly feasible returned endpoint; no optimality claim,,NOT_EVALUATED_DURING_OPTIMIZATION
locked_terminal_v1,Terminal financial audit,nonshared_modules,terminal locked-2020-2024 enabled-descendant net-utility opportunity units,1b4c4ff8c82d0e6e9d38d977e782f766fd3a9d5c7fb10af94802c0fed7497df5,current_stepwise_safe_deletion,LOCKED_PARENT_ENDPOINT,HISTORICAL_LOCKED_ENDPOINT_EXACTLY_RECHECKED,80,3,38,563//3280,0,0,3,25,81,0,42,0,26,25,,,,,,NOT_APPLICABLE,false,25//1,true,true,true,true,,1,1,,,,25//1,0//1,0//1,lowest-burden exactly feasible returned endpoint; no optimality claim,8162187676336809//72057594037927936,EX_POST_AFTER_ALL_OPTIMIZATION_AND_BENCHMARK_ASSIGNMENT
locked_terminal_v1,Terminal financial audit,nonshared_modules,terminal locked-2020-2024 enabled-descendant net-utility opportunity units,1b4c4ff8c82d0e6e9d38d977e782f766fd3a9d5c7fb10af94802c0fed7497df5,heaviest_safe_first,APPLICABLE,certified_irreducible_heuristic,80,3,38,563//3280,0,0,3,25,81,0,42,0,26,25,0.355968167,,,,,NOT_APPLICABLE,false,25//1,true,true,true,true,,2942,2942,56,,,25//1,0//1,0//1,lowest-burden exactly feasible returned endpoint; no optimality claim,8162187676336809//72057594037927936,EX_POST_AFTER_ALL_OPTIMIZATION_AND_BENCHMARK_ASSIGNMENT
locked_terminal_v1,Terminal financial audit,nonshared_modules,terminal locked-2020-2024 enabled-descendant net-utility opportunity units,1b4c4ff8c82d0e6e9d38d977e782f766fd3a9d5c7fb10af94802c0fed7497df5,weighted_greedy,APPLICABLE_IDENTITY_CLOSURE_ONLY,feasible_heuristic,80,3,38,563//3280,0,0,3,25,81,0,42,0,26,25,0.017628875,,,,,NOT_APPLICABLE,false,25//1,true,true,true,true,,2,2,,,,25//1,0//1,0//1,lowest-burden exactly feasible returned endpoint; no optimality claim,8162187676336809//72057594037927936,EX_POST_AFTER_ALL_OPTIMIZATION_AND_BENCHMARK_ASSIGNMENT
