cost_bps,method,top_k,locked_baseline_utility,top_k_locked_utility,top_k_locked_improvement
1.0,coverage_potential,10,0.11627692631953358,-0.054295177758845146,-0.17057210407837872
1.0,current_belief_improvement,10,0.11627692631953358,0.01319925728251498,-0.10307766903701861
1.0,average_validation_score,10,0.11627692631953358,0.03404057086421946,-0.08223635545531413
1.0,raw_parameter_novelty,10,0.11627692631953358,0.005719293250437173,-0.11055763306909641
5.0,coverage_potential,10,0.09287974094637692,-0.06307224026544721,-0.15595198121182413
5.0,current_belief_improvement,10,0.09287974094637692,0.0038822870132979074,-0.08899745393307902
5.0,average_validation_score,10,0.09287974094637692,0.024366694296997,-0.06851304664937992
5.0,raw_parameter_novelty,10,0.09287974094637692,-0.004956829202846764,-0.09783657014922369
10.0,coverage_potential,10,0.07618886747323822,-0.07405500262649105,-0.15024387009972928
10.0,current_belief_improvement,10,0.07618886747323822,-0.007773822980221244,-0.08396269045345947
10.0,average_validation_score,10,0.07618886747323822,0.012261416730645907,-0.06392745074259232
10.0,raw_parameter_novelty,10,0.07618886747323822,-0.018308611721207613,-0.09449747919444583
