trial_id,strategy_id,operationally_redundant,closure_changes,generatively_valuable,future_value_valuable,dominated_and_generatively_valuable,signed_operational_loss,signed_generative_loss,signed_total_dynamic_loss,decomposition_gate
1,strategy_1,true,true,false,false,false,0//1,0//1,0//1,true
1,strategy_2,true,true,false,false,false,0//1,0//1,0//1,true
1,strategy_3,true,true,false,false,false,0//1,0//1,0//1,true
1,strategy_4,true,true,false,false,false,0//1,0//1,0//1,true
2,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
2,strategy_2,true,true,false,false,false,0//1,0//1,0//1,true
2,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
2,strategy_4,true,true,false,false,false,0//1,0//1,0//1,true
3,strategy_1,false,true,false,true,false,175//128,0//1,175//128,true
3,strategy_2,false,false,false,true,false,175//128,0//1,175//128,true
3,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
3,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
4,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
4,strategy_2,false,false,false,true,false,175//128,0//1,175//128,true
4,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
4,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
5,strategy_1,false,false,false,true,false,175//128,-27//256,323//256,true
5,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
5,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
5,strategy_4,true,true,false,false,false,0//1,0//1,0//1,true
6,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
6,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
6,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
6,strategy_4,false,false,false,true,false,175//128,0//1,175//128,true
7,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
7,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
7,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
7,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
7,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
8,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
8,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
8,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
9,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
9,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
9,strategy_3,false,false,false,true,false,175//256,-27//512,323//512,true
10,strategy_1,true,true,false,false,false,0//1,0//1,0//1,true
10,strategy_2,false,true,false,true,false,175//256,0//1,175//256,true
10,strategy_3,true,true,false,false,false,0//1,0//1,0//1,true
10,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
10,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
11,strategy_1,false,false,false,true,false,175//192,0//1,175//192,true
11,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
11,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
11,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
11,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
12,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
12,strategy_2,true,true,false,false,false,0//1,0//1,0//1,true
12,strategy_3,false,false,false,true,false,175//64,0//1,175//64,true
13,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
13,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
13,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
14,strategy_1,false,true,false,true,false,175//192,0//1,175//192,true
14,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
14,strategy_3,true,true,false,false,false,0//1,0//1,0//1,true
15,strategy_1,true,true,true,true,true,0//1,9//32768,9//32768,true
15,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
15,strategy_3,false,false,false,true,false,175//256,-63//1024,637//1024,true
15,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
15,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
16,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
16,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
16,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
16,strategy_4,false,false,false,true,false,175//256,0//1,175//256,true
17,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
17,strategy_2,false,false,false,true,false,525//128,0//1,525//128,true
17,strategy_3,false,true,false,true,false,525//128,0//1,525//128,true
17,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
18,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
18,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
18,strategy_3,false,false,false,true,false,175//64,-6165//4096,5035//4096,true
18,strategy_4,false,false,false,true,false,175//256,-6165//16384,5035//16384,true
19,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
19,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
19,strategy_3,false,false,false,true,false,175//192,-9//256,673//768,true
20,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
20,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
20,strategy_3,false,false,false,true,false,525//256,0//1,525//256,true
21,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
21,strategy_2,false,false,false,true,false,175//96,0//1,175//96,true
21,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
22,strategy_1,false,false,false,true,false,175//128,0//1,175//128,true
22,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
22,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
23,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
23,strategy_2,false,false,false,true,false,175//96,0//1,175//96,true
23,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
24,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
24,strategy_2,true,true,false,false,false,0//1,0//1,0//1,true
24,strategy_3,false,false,false,true,false,525//256,0//1,525//256,true
25,strategy_1,true,true,false,false,false,0//1,0//1,0//1,true
25,strategy_2,false,true,false,true,false,175//256,0//1,175//256,true
25,strategy_3,false,true,false,true,false,175//128,0//1,175//128,true
25,strategy_4,true,true,false,false,false,0//1,0//1,0//1,true
26,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
26,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
26,strategy_3,true,true,false,false,false,0//1,0//1,0//1,true
27,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
27,strategy_2,false,false,false,true,false,175//64,0//1,175//64,true
27,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
28,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
28,strategy_2,false,false,false,true,false,175//64,0//1,175//64,true
28,strategy_3,false,false,false,true,false,175//64,0//1,175//64,true
29,strategy_1,false,false,false,true,false,175//64,0//1,175//64,true
29,strategy_2,true,true,false,false,false,0//1,0//1,0//1,true
29,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
29,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
29,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
30,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
30,strategy_2,false,false,false,true,false,175//96,-2775//8192,36475//24576,true
30,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
31,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
31,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
31,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
31,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
31,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
32,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
32,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
32,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
32,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
32,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
33,strategy_1,true,true,true,true,true,0//1,2055//8192,2055//8192,true
33,strategy_2,false,false,false,true,false,175//96,-2055//2048,5035//6144,true
33,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
34,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
34,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
34,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
34,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
34,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
35,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
35,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
35,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
35,strategy_4,false,false,false,true,false,175//96,0//1,175//96,true
36,strategy_1,true,true,false,false,false,0//1,0//1,0//1,true
36,strategy_2,true,true,false,false,false,0//1,0//1,0//1,true
36,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
37,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
37,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
37,strategy_3,true,true,false,false,false,0//1,0//1,0//1,true
37,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
38,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
38,strategy_2,false,false,false,true,false,175//192,-2055//4096,5035//12288,true
38,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
39,strategy_1,false,true,false,true,false,175//128,0//1,175//128,true
39,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
39,strategy_3,true,true,false,false,false,0//1,0//1,0//1,true
39,strategy_4,true,true,false,false,false,0//1,0//1,0//1,true
39,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
40,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
40,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
40,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
40,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
40,strategy_5,true,true,false,false,false,0//1,0//1,0//1,true
41,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
41,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
41,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
41,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
41,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
42,strategy_1,true,true,false,false,false,0//1,0//1,0//1,true
42,strategy_2,true,true,false,false,false,0//1,0//1,0//1,true
42,strategy_3,false,true,false,true,false,175//192,0//1,175//192,true
43,strategy_1,false,false,false,true,false,875//192,-315//256,2555//768,true
43,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
43,strategy_3,true,true,false,false,false,0//1,0//1,0//1,true
44,strategy_1,false,false,false,true,false,525//256,0//1,525//256,true
44,strategy_2,false,false,false,true,false,175//256,0//1,175//256,true
44,strategy_3,true,true,false,false,false,0//1,0//1,0//1,true
45,strategy_1,false,false,false,true,false,175//192,0//1,175//192,true
45,strategy_2,false,false,false,true,false,175//96,0//1,175//96,true
45,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
45,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
45,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
46,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
46,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
46,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
46,strategy_4,false,false,false,true,false,175//128,0//1,175//128,true
46,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
47,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
47,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
47,strategy_3,false,true,false,true,false,175//192,0//1,175//192,true
47,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
47,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
48,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
48,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
48,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
48,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
48,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
49,strategy_1,true,true,false,false,false,0//1,0//1,0//1,true
49,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
49,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
50,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
50,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
50,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
50,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
51,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
51,strategy_2,false,false,false,true,false,175//192,0//1,175//192,true
51,strategy_3,false,true,false,true,false,175//96,0//1,175//96,true
52,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
52,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
52,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
52,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
52,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
53,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
53,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
53,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
53,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
53,strategy_5,true,true,false,false,false,0//1,0//1,0//1,true
54,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
54,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
54,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
54,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
54,strategy_5,true,true,false,false,false,0//1,0//1,0//1,true
55,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
55,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
55,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
55,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
55,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
56,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
56,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
56,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
56,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
57,strategy_1,false,false,false,true,false,175//192,-925//8192,19625//24576,true
57,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
57,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
57,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
58,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
58,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
58,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
58,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
58,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
59,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
59,strategy_2,false,false,false,true,false,175//96,-27//256,1319//768,true
59,strategy_3,false,false,false,true,false,175//96,-27//256,1319//768,true
59,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
60,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
60,strategy_2,false,false,false,true,false,175//128,0//1,175//128,true
60,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
60,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
60,strategy_5,true,true,false,false,false,0//1,0//1,0//1,true
61,strategy_1,false,false,false,true,false,175//192,-27//512,1319//1536,true
61,strategy_2,true,true,false,false,false,0//1,0//1,0//1,true
61,strategy_3,true,true,false,false,false,0//1,0//1,0//1,true
61,strategy_4,false,false,false,true,false,175//192,-27//256,619//768,true
62,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
62,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
62,strategy_3,false,false,false,true,false,175//256,0//1,175//256,true
63,strategy_1,false,true,true,true,false,175//128,27//1024,1427//1024,true
63,strategy_2,false,true,true,true,false,175//256,27//1024,727//1024,true
63,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
64,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
64,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
64,strategy_3,true,true,false,false,false,0//1,0//1,0//1,true
64,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
65,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
65,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
65,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
65,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
65,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
66,strategy_1,false,false,false,true,false,175//256,-63//2048,1337//2048,true
66,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
66,strategy_3,true,true,true,true,true,0//1,63//1024,63//1024,true
67,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
67,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
67,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
67,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
68,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
68,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
68,strategy_3,false,false,false,true,false,175//192,-2055//4096,5035//12288,true
68,strategy_4,false,false,false,true,false,175//192,-2055//4096,5035//12288,true
68,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
69,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
69,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
69,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
69,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
70,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
70,strategy_2,false,false,false,true,false,175//256,0//1,175//256,true
70,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
70,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
70,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
71,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
71,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
71,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
71,strategy_4,false,false,false,true,false,175//64,0//1,175//64,true
71,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
72,strategy_1,false,false,false,true,false,175//128,0//1,175//128,true
72,strategy_2,true,true,false,false,false,0//1,0//1,0//1,true
72,strategy_3,false,true,false,true,false,175//128,0//1,175//128,true
72,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
73,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
73,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
73,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
73,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
73,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
74,strategy_1,true,true,false,false,false,0//1,0//1,0//1,true
74,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
74,strategy_3,false,false,false,true,false,175//64,0//1,175//64,true
75,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
75,strategy_2,true,true,false,false,false,0//1,0//1,0//1,true
75,strategy_3,false,false,false,true,false,175//128,0//1,175//128,true
76,strategy_1,false,false,false,true,false,175//128,0//1,175//128,true
76,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
76,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
77,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
77,strategy_2,false,false,false,true,false,175//128,0//1,175//128,true
77,strategy_3,true,true,false,false,false,0//1,0//1,0//1,true
77,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
77,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
78,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
78,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
78,strategy_3,true,true,false,false,false,0//1,0//1,0//1,true
78,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
79,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
79,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
79,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
79,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
79,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
80,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
80,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
80,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
80,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
81,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
81,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
81,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
81,strategy_4,false,false,false,true,false,175//256,-6165//16384,5035//16384,true
81,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
82,strategy_1,true,true,false,false,false,0//1,0//1,0//1,true
82,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
82,strategy_3,true,false,false,false,false,0//1,0//1,0//1,true
82,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
83,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
83,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
83,strategy_3,false,false,false,true,false,175//128,0//1,175//128,true
83,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
83,strategy_5,true,false,false,false,false,0//1,0//1,0//1,true
84,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
84,strategy_2,true,false,false,false,false,0//1,0//1,0//1,true
84,strategy_3,true,true,false,false,false,0//1,0//1,0//1,true
84,strategy_4,true,false,false,false,false,0//1,0//1,0//1,true
85,strategy_1,true,false,false,false,false,0//1,0//1,0//1,true
