audit,strategy_id,ticker,directional_signal,entry_filter,holding_horizon,sizing_rule,exit_rule,risk_constraint,operational_value,generative_value,total_retention_value,policy_role,sparse_frontier_indicator,unique_module_count,module_count,module_uniqueness_share,dependent_candidate_count,enabled_candidate_count,dependent_candidate_share,supports_best_descendant,generatively_valuable,theorem_evidence
locked_terminal,DIA__momentum_20__always__h20__unit__horizon__notional_cap_1,DIA,momentum_20,always,20,unit,horizon,notional_cap_1,0.0000000000,0.0000000000,0.0000000000,neither,true,1,7,0.1428571429,93,2320,0.0400862069,false,false,false
locked_terminal,EEM__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,EEM,mean_reversion_5,always,5,unit,signal_flip,notional_cap_1,0.0000000000,0.0000000000,0.0000000000,neither,true,1,7,0.1428571429,93,2320,0.0400862069,false,false,false
locked_terminal,EFA__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,EFA,mean_reversion_5,always,5,unit,signal_flip,notional_cap_1,0.0000000000,0.0000000000,0.0000000000,neither,true,1,7,0.1428571429,93,2320,0.0400862069,false,false,false
locked_terminal,EMB__momentum_20__trend_100__h20__unit__horizon__vol_target_10,EMB,momentum_20,trend_100,20,unit,horizon,vol_target_10,0.0000000000,0.0000000000,0.0000000000,neither,true,1,7,0.1428571429,93,2320,0.0400862069,false,false,false
locked_terminal,EWZ__mean_reversion_5__always__h5__half__signal_flip__notional_cap_1,EWZ,mean_reversion_5,always,5,half,signal_flip,notional_cap_1,0.0000000000,0.0000000000,0.0000000000,neither,true,1,7,0.1428571429,93,2320,0.0400862069,false,false,false
locked_terminal,FXE__momentum_60__always__h20__unit__signal_flip__vol_target_10,FXE,momentum_60,always,20,unit,signal_flip,vol_target_10,0.0000000000,0.0000000000,0.0000000000,neither,true,1,7,0.1428571429,93,2320,0.0400862069,false,false,false
locked_terminal,FXI__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,FXI,mean_reversion_5,always,5,unit,signal_flip,notional_cap_1,0.0000000000,0.0000000000,0.0000000000,neither,true,1,7,0.1428571429,93,2320,0.0400862069,false,false,false
locked_terminal,GDX__mean_reversion_5__trend_100__h20__unit__signal_flip__vol_target_10,GDX,mean_reversion_5,trend_100,20,unit,signal_flip,vol_target_10,0.0000000000,0.0000000000,0.0000000000,neither,true,1,7,0.1428571429,93,2320,0.0400862069,false,false,false
locked_terminal,GLD__momentum_60__trend_100__h20__unit__horizon__vol_target_10,GLD,momentum_60,trend_100,20,unit,horizon,vol_target_10,0.0000000000,0.0015556991,0.0015556991,generative_only,true,1,7,0.1428571429,93,2320,0.0400862069,true,true,false
locked_terminal,HYG__momentum_20__always__h20__unit__horizon__notional_cap_1,HYG,momentum_20,always,20,unit,horizon,notional_cap_1,0.0000000000,0.0000000000,0.0000000000,neither,true,1,7,0.1428571429,93,2320,0.0400862069,false,false,false
locked_terminal,IEF__momentum_60__trend_100__h20__unit__horizon__vol_target_10,IEF,momentum_60,trend_100,20,unit,horizon,vol_target_10,0.0034729927,0.0000000000,0.0034729927,operational_only,false,1,7,0.1428571429,93,2320,0.0400862069,false,false,false
locked_terminal,IWM__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,IWM,mean_reversion_5,always,20,unit,horizon,notional_cap_1,0.0000000000,0.0000000000,0.0000000000,neither,true,1,7,0.1428571429,93,2320,0.0400862069,false,false,false
locked_terminal,IYR__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,IYR,momentum_60,trend_100,20,unit,horizon,notional_cap_1,0.0000000000,0.0000000000,0.0000000000,neither,true,1,7,0.1428571429,93,2320,0.0400862069,false,false,false
