trial_id,current_belief,next_belief,probability
1,1,1,1//4
1,1,2,3//4
1,1,3,0//1
1,2,1,0//1
1,2,2,1//4
1,2,3,3//4
1,3,1,3//4
1,3,2,0//1
1,3,3,1//4
2,1,1,3//4
2,1,2,1//4
2,1,3,0//1
2,2,1,0//1
2,2,2,3//4
2,2,3,1//4
2,3,1,1//4
2,3,2,0//1
2,3,3,3//4
3,1,1,3//4
3,1,2,1//4
3,1,3,0//1
3,2,1,0//1
3,2,2,3//4
3,2,3,1//4
3,3,1,1//4
3,3,2,0//1
3,3,3,3//4
4,1,1,1//4
4,1,2,3//4
4,1,3,0//1
4,2,1,0//1
4,2,2,1//4
4,2,3,3//4
4,3,1,3//4
4,3,2,0//1
4,3,3,1//4
5,1,1,3//4
5,1,2,1//4
5,1,3,0//1
5,2,1,0//1
5,2,2,3//4
5,2,3,1//4
5,3,1,1//4
5,3,2,0//1
5,3,3,3//4
6,1,1,3//4
6,1,2,1//4
6,1,3,0//1
6,2,1,0//1
6,2,2,3//4
6,2,3,1//4
6,3,1,1//4
6,3,2,0//1
6,3,3,3//4
7,1,1,1//4
7,1,2,3//4
7,1,3,0//1
7,2,1,0//1
7,2,2,1//4
7,2,3,3//4
7,3,1,3//4
7,3,2,0//1
7,3,3,1//4
8,1,1,3//4
8,1,2,1//4
8,1,3,0//1
8,2,1,0//1
8,2,2,3//4
8,2,3,1//4
8,3,1,1//4
8,3,2,0//1
8,3,3,3//4
9,1,1,1//4
9,1,2,3//4
9,1,3,0//1
9,2,1,0//1
9,2,2,1//4
9,2,3,3//4
9,3,1,3//4
9,3,2,0//1
9,3,3,1//4
10,1,1,1//4
10,1,2,3//4
10,1,3,0//1
10,2,1,0//1
10,2,2,1//4
10,2,3,3//4
10,3,1,3//4
10,3,2,0//1
10,3,3,1//4
11,1,1,3//4
11,1,2,1//4
11,1,3,0//1
11,2,1,0//1
11,2,2,3//4
11,2,3,1//4
11,3,1,1//4
11,3,2,0//1
11,3,3,3//4
12,1,1,3//4
12,1,2,1//4
12,1,3,0//1
12,2,1,0//1
12,2,2,3//4
12,2,3,1//4
12,3,1,1//4
12,3,2,0//1
12,3,3,3//4
13,1,1,1//4
13,1,2,3//4
13,1,3,0//1
13,2,1,0//1
13,2,2,1//4
13,2,3,3//4
13,3,1,3//4
13,3,2,0//1
13,3,3,1//4
14,1,1,3//4
14,1,2,1//4
14,1,3,0//1
14,2,1,0//1
14,2,2,3//4
14,2,3,1//4
14,3,1,1//4
14,3,2,0//1
14,3,3,3//4
15,1,1,1//4
15,1,2,3//4
15,1,3,0//1
15,2,1,0//1
15,2,2,1//4
15,2,3,3//4
15,3,1,3//4
15,3,2,0//1
15,3,3,1//4
16,1,1,3//4
16,1,2,1//4
16,1,3,0//1
16,2,1,0//1
16,2,2,3//4
16,2,3,1//4
16,3,1,1//4
16,3,2,0//1
16,3,3,3//4
17,1,1,1//4
17,1,2,3//4
17,1,3,0//1
17,2,1,0//1
17,2,2,1//4
17,2,3,3//4
17,3,1,3//4
17,3,2,0//1
17,3,3,1//4
18,1,1,3//4
18,1,2,1//4
18,1,3,0//1
18,2,1,0//1
18,2,2,3//4
18,2,3,1//4
18,3,1,1//4
18,3,2,0//1
18,3,3,3//4
19,1,1,1//4
19,1,2,3//4
19,1,3,0//1
19,2,1,0//1
19,2,2,1//4
19,2,3,3//4
19,3,1,3//4
19,3,2,0//1
19,3,3,1//4
20,1,1,1//4
20,1,2,3//4
