audit_id,strategy_id,module_count,source_local_nonshared_module_count,uniform_cardinality_weight,nonshared_modules_weight,validation_computation_weight,documented_complexity_weight
locked_terminal_v1,DIA__momentum_20__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,5//1,2//1
locked_terminal_v1,DIA__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,25//1,3//1
locked_terminal_v1,DIA__momentum_60__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,13//1,3//1
locked_terminal_v1,EEM__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,4//1
locked_terminal_v1,EEM__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,3//1
locked_terminal_v1,EEM__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
locked_terminal_v1,EFA__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,2//1,3//1
locked_terminal_v1,EFA__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,3//1
locked_terminal_v1,EFA__mean_reversion_5__trend_100__h5__unit__horizon__notional_cap_1,7,0,1//1,1//1,22//1,3//1
locked_terminal_v1,EMB__momentum_20__trend_100__h20__unit__horizon__vol_target_10,7,0,1//1,1//1,29//1,4//1
locked_terminal_v1,EMB__momentum_60__always__h20__unit__horizon__vol_target_10,7,0,1//1,1//1,17//1,4//1
locked_terminal_v1,EMB__momentum_60__trend_100__h20__unit__horizon__vol_target_10,7,0,1//1,1//1,37//1,5//1
locked_terminal_v1,EWZ__mean_reversion_5__always__h20__half__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,5//1
locked_terminal_v1,EWZ__mean_reversion_5__always__h5__half__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,4//1
locked_terminal_v1,EWZ__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,3//1
locked_terminal_v1,FXE__momentum_60__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,14//1,4//1
locked_terminal_v1,FXE__momentum_60__always__h20__unit__signal_flip__vol_target_10,7,0,1//1,1//1,18//1,5//1
locked_terminal_v1,FXE__momentum_60__trend_100__h20__unit__signal_flip__vol_target_10,7,0,1//1,1//1,38//1,6//1
locked_terminal_v1,FXI__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,4//1
locked_terminal_v1,FXI__mean_reversion_5__always__h5__half__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,4//1
locked_terminal_v1,FXI__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,7,0,1//1,1//1,3//1,3//1
locked_terminal_v1,GDX__mean_reversion_5__trend_100__h20__half__horizon__vol_target_10,7,0,1//1,1//1,26//1,6//1
locked_terminal_v1,GDX__mean_reversion_5__trend_100__h20__half__signal_flip__vol_target_10,7,0,1//1,1//1,27//1,7//1
locked_terminal_v1,GDX__mean_reversion_5__trend_100__h20__unit__signal_flip__vol_target_10,7,0,1//1,1//1,27//1,6//1
locked_terminal_v1,GLD__momentum_60__trend_100__h20__half__horizon__vol_target_10,7,0,1//1,1//1,37//1,6//1
locked_terminal_v1,GLD__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,7,0,1//1,1//1,33//1,4//1
locked_terminal_v1,GLD__momentum_60__trend_100__h20__unit__horizon__vol_target_10,7,0,1//1,1//1,37//1,5//1
