trial_id,mask,library_ids,cardinality,burden,frontier,closure,frontier_preserved,closure_preserved,exact_safe,operational_value,generative_value,total_productive_value,channel_decomposition_gate
1,0,inactive,1,0//1,0//1;0//1;0//1,,false,false,false,0//1,0//1,0//1,true
1,1,base_1;inactive,2,2//1,23//4;7//4;9//4,core_c,false,false,false,2275//256,0//1,2275//256,true
1,2,base_2;inactive,2,2//1,2//1;23//4;2//1,core_a,false,false,false,2275//256,0//1,2275//256,true
1,3,base_1;base_2;inactive,3,4//1,23//4;23//4;9//4,core_a;core_c,false,false,false,9625//768,0//1,9625//768,true
1,4,base_3;inactive,2,2//1,9//4;7//4;6//1,core_b,false,false,false,875//96,0//1,875//96,true
1,5,base_1;base_3;inactive,3,4//1,23//4;7//4;6//1,core_b;core_c,false,false,false,1575//128,0//1,1575//128,true
1,6,base_2;base_3;inactive,3,4//1,9//4;23//4;6//1,core_a;core_b,false,false,false,1225//96,0//1,1225//96,true
1,7,base_1;base_2;base_3;inactive,4,6//1,23//4;23//4;6//1,core_a;core_b;core_c,false,false,false,6125//384,0//1,6125//384,true
1,8,closure_carrier;inactive,2,3//1,5//4;1//1;1//1,bridge;trigger_a;trigger_b,false,false,false,2275//768,91577//8192,347531//24576,true
1,9,base_1;closure_carrier;inactive,3,5//1,23//4;7//4;9//4,bridge;core_c;trigger_a;trigger_b,false,false,false,2275//256,32431//4096,68831//4096,true
1,10,base_2;closure_carrier;inactive,3,5//1,2//1;23//4;2//1,bridge;core_a;trigger_a;trigger_b,false,false,false,2275//256,32431//4096,68831//4096,true
1,11,base_1;base_2;closure_carrier;inactive,4,7//1,23//4;23//4;9//4,bridge;core_a;core_c;trigger_a;trigger_b,false,false,false,9625//768,24211//4096,226633//12288,true
1,12,base_3;closure_carrier;inactive,3,5//1,9//4;7//4;6//1,bridge;core_b;trigger_a;trigger_b,false,false,false,875//96,127669//16384,831007//49152,true
1,13,base_1;base_3;closure_carrier;inactive,4,7//1,23//4;7//4;6//1,bridge;core_b;core_c;trigger_a;trigger_b,false,false,false,1575//128,98899//16384,300499//16384,true
1,14,base_2;base_3;closure_carrier;inactive,4,7//1,9//4;23//4;6//1,bridge;core_a;core_b;trigger_a;trigger_b,false,false,false,1225//96,94789//16384,911567//49152,true
1,15,base_1;base_2;base_3;closure_carrier;inactive,5,9//1,23//4;23//4;6//1,bridge;core_a;core_b;core_c;trigger_a;trigger_b,false,true,false,6125//384,66019//16384,982057//49152,true
1,16,frontier_addition;inactive,2,1//1,1//1;3//4;33//4,,false,false,false,875//96,0//1,875//96,true
1,17,base_1;frontier_addition;inactive,3,3//1,23//4;7//4;33//4,core_c,false,false,false,3675//256,0//1,3675//256,true
1,18,base_2;frontier_addition;inactive,3,3//1,2//1;23//4;33//4,core_a,false,false,false,175//12,0//1,175//12,true
1,19,base_1;base_2;frontier_addition;inactive,4,5//1,23//4;23//4;33//4,core_a;core_c,true,false,false,13825//768,0//1,13825//768,true
1,20,base_3;frontier_addition;inactive,3,3//1,9//4;7//4;33//4,core_b,false,false,false,8575//768,0//1,8575//768,true
1,21,base_1;base_3;frontier_addition;inactive,4,5//1,23//4;7//4;33//4,core_b;core_c,false,false,false,3675//256,0//1,3675//256,true
1,22,base_2;base_3;frontier_addition;inactive,4,5//1,9//4;23//4;33//4,core_a;core_b,false,false,false,11375//768,0//1,11375//768,true
1,23,base_1;base_2;base_3;frontier_addition;inactive,5,7//1,23//4;23//4;33//4,core_a;core_b;core_c,true,false,false,13825//768,0//1,13825//768,true
1,24,closure_carrier;frontier_addition;inactive,3,4//1,5//4;1//1;33//4,bridge;trigger_a;trigger_b,false,false,false,1225//128,123559//16384,280359//16384,true
1,25,base_1;closure_carrier;frontier_addition;inactive,4,6//1,23//4;7//4;33//4,bridge;core_c;trigger_a;trigger_b,false,false,false,3675//256,20101//4096,78901//4096,true
1,26,base_2;closure_carrier;frontier_addition;inactive,4,6//1,2//1;23//4;33//4,bridge;core_a;trigger_a;trigger_b,false,false,false,175//12,78349//16384,951847//49152,true
1,27,base_1;base_2;closure_carrier;frontier_addition;inactive,5,8//1,23//4;23//4;33//4,bridge;core_a;core_c;trigger_a;trigger_b,true,false,false,13825//768,11881//4096,256843//12288,true
