scenario,belief_index,coordinate,normalized_net_value,research_region,component_count
connected,1,0.0,-0.46798414637756514,false,1
connected,2,0.008333333333333333,-0.46574339002390197,false,1
connected,3,0.016666666666666666,-0.46332644199509976,false,1
connected,4,0.025,-0.4607224251338968,false,1
connected,5,0.03333333333333333,-0.45792039528148154,false,1
connected,6,0.041666666666666664,-0.45490940192691004,false,1
connected,7,0.05,-0.45167853727410834,false,1
connected,8,0.058333333333333334,-0.448216968158534,false,1
connected,9,0.06666666666666667,-0.4445139455130841,false,1
connected,10,0.075,-0.4405587868489805,false,1
connected,11,0.08333333333333333,-0.436340828483075,false,1
connected,12,0.09166666666666666,-0.43184934594914043,false,1
connected,13,0.1,-0.42707344305996087,false,1
connected,14,0.10833333333333334,-0.4220019122763923,false,1
connected,15,0.11666666666666667,-0.41662307120213027,false,1
connected,16,0.125,-0.4109245819742517,false,1
connected,17,0.13333333333333333,-0.40489326190402164,false,1
connected,18,0.14166666666666666,-0.3985148948324432,false,1
connected,19,0.15,-0.3917740532509374,false,1
connected,20,0.15833333333333333,-0.38465394130507824,false,1
connected,21,0.16666666666666666,-0.37713626839742037,false,1
connected,22,0.175,-0.36920116230792355,false,1
connected,23,0.18333333333333332,-0.3608271296367063,false,1
connected,24,0.19166666666666668,-0.3519910700134763,false,1
connected,25,0.2,-0.3426683489622393,false,1
connected,26,0.20833333333333334,-0.33283293259110625,false,1
connected,27,0.21666666666666667,-0.3224575854148464,false,1
connected,28,0.225,-0.3115141306296607,false,1
connected,29,0.23333333333333334,-0.29997377007237297,false,1
connected,30,0.24166666666666667,-0.28780745895573817,false,1
connected,31,0.25,-0.2749863283481589,false,1
connected,32,0.25833333333333336,-0.2614821463544036,false,1
connected,33,0.26666666666666666,-0.2472678071671369,false,1
connected,34,0.275,-0.2323178357187047,false,1
connected,35,0.2833333333333333,-0.2166088946852417,false,1
connected,36,0.2916666666666667,-0.20012028017799577,false,1
connected,37,0.3,-0.18283439266475987,false,1
connected,38,0.30833333333333335,-0.16473717051970427,false,1
