belief_index,coordinate,potential,cost,net_value,research_region,near_boundary
1,0.0,0.1633388529328044,0.72,-0.5566611470671956,false,false
2,0.008333333333333333,0.16600420391057422,0.72,-0.5539957960894257,false,false
3,0.016666666666666666,0.16887913262884194,0.72,-0.5511208673711581,false,false
4,0.025,0.17197657732682986,0.72,-0.5480234226731702,false,false
5,0.03333333333333333,0.17530955594124537,0.72,-0.5446904440587546,false,false
6,0.041666666666666664,0.17889109396457675,0.72,-0.5411089060354233,false,false
7,0.05,0.1827341660805206,0.72,-0.5372658339194794,false,false
8,0.058333333333333334,0.1868516581995236,0.72,-0.5331483418004763,false,false
9,0.06666666666666667,0.1912563561992052,0.72,-0.5287436438007947,false,false
10,0.075,0.1959609667631203,0.72,-0.5240390332368796,false,false
11,0.08333333333333333,0.20097817420576805,0.72,-0.519021825794232,false,false
12,0.09166666666666666,0.20632073514234112,0.72,-0.5136792648576589,false,false
13,0.1,0.21200161044794888,0.72,-0.5079983895520511,false,false
14,0.10833333333333334,0.21803413134683036,0.72,-0.5019658686531696,false,false
15,0.11666666666666667,0.22443219389973393,0.72,-0.4955678061002661,false,false
16,0.125,0.23121047383655402,0.72,-0.48878952616344595,false,false
17,0.13333333333333333,0.2383846517966658,0.72,-0.4816153482033342,false,false
18,0.14166666666666666,0.24597163771908193,0.72,-0.47402836228091805,false,false
19,0.15,0.2539897824276248,0.72,-0.46601021757237515,false,false
20,0.15833333333333333,0.2624590643759734,0.72,-0.4575409356240266,false,false
21,0.16666666666666666,0.2714012399954794,0.72,-0.4485987600045206,false,false
22,0.175,0.28083994703731036,0.72,-0.4391600529626896,false,false
23,0.18333333333333332,0.29080075162528696,0.72,-0.429199248374713,false,false
24,0.19166666666666668,0.3013111313539477,0.72,-0.41868886864605226,false,false
25,0.2,0.31240038861691094,0.72,-0.40759961138308903,false,false
26,0.20833333333333334,0.32409949039507513,0.72,-0.39590050960492484,false,false
27,0.21666666666666667,0.33644083294922544,0.72,-0.38355916705077453,false,false
28,0.225,0.34945793222652594,0.72,-0.37054206777347404,false,false
29,0.23333333333333334,0.3631850432731594,0.72,-0.35681495672684055,false,false
30,0.24166666666666667,0.3776567144914795,0.72,-0.3423432855085205,false,false
31,0.25,0.3929072851057997,0.72,-0.3270927148942003,false,false
32,0.25833333333333336,0.4089703365938369,0.72,-0.31102966340616306,false,false
33,0.26666666666666666,0.42587811096618133,0.72,-0.29412188903381864,false,false
34,0.275,0.44366091048946243,0.72,-0.27633908951053754,false,false
35,0.2833333333333333,0.4623464946114584,0.72,-0.2576535053885416,false,false
36,0.2916666666666667,0.48195949034261537,0.72,-0.2380405096573846,false,false
37,0.3,0.5025208321010372,0.72,-0.21747916789896282,false,false
38,0.30833333333333335,0.5240472460105137,0.72,-0.1959527539894863,false,false
39,0.31666666666666665,0.5465507918845004,0.72,-0.17344920811549958,false,false
40,0.325,0.5700384737223813,0.72,-0.14996152627761872,false,false
41,0.3333333333333333,0.5945119266297754,0.72,-0.1254880733702246,false,false
42,0.3416666666666667,0.6199671848353944,0.72,-0.1000328151646056,false,false
43,0.35,0.6463945321220197,0.72,-0.07360546787798028,false,false
44,0.35833333333333334,0.6737784327351388,0.72,-0.04622156726486115,false,false
45,0.36666666666666664,0.7020975378845451,0.72,-0.017902462115454876,false,true
46,0.375,0.7313247604881243,0.72,0.011324760488124364,true,true
47,0.38333333333333336,0.7614274089561177,0.72,0.04142740895611774,true,false
48,0.39166666666666666,0.7923673696591,0.72,0.07236736965910007,true,false
49,0.4,0.8241013272875645,0.72,0.1041013272875645,true,false
50,0.4083333333333333,0.8565810125639312,0.72,0.13658101256393118,true,false
51,0.4166666666666667,0.8897534676286251,0.72,0.1697534676286251,true,false
52,0.425,0.9235613207716579,0.72,0.2035613207716579,true,false
53,0.43333333333333335,0.9579430638757237,0.72,0.23794306387572373,true,false
54,0.44166666666666665,0.9928333278204571,0.72,0.2728333278204571,true,false
55,0.45,1.0281631530176534,0.72,0.3081631530176534,true,false
56,0.4583333333333333,1.0638602540653002,0.72,0.3438602540653002,true,false
57,0.4666666666666667,1.0998492791106211,0.72,0.37984927911062116,true,false
58,0.475,1.1360520658145854,0.72,0.4160520658145854,true,false
59,0.48333333333333334,1.1723878967617363,0.72,0.4523878967617363,true,false
60,0.49166666666666664,1.2087737577406217,0.72,0.4887737577406217,true,false
61,0.5,1.2451246025415514,0.72,0.5251246025415515,true,false
62,0.5083333333333333,1.2813536278134727,0.72,0.5613536278134728,true,false
63,0.5166666666666667,1.3173725611410458,0.72,0.5973725611410459,true,false
64,0.525,1.353091964907769,0.72,0.6330919649077691,true,false
65,0.5333333333333333,1.3884215577661925,0.72,0.6684215577661925,true,false
66,0.5416666666666666,1.423270554705541,0.72,0.7032705547055411,true,false
67,0.55,1.4575480258480455,0.72,0.7375480258480456,true,false
68,0.5583333333333333,1.49116327326701,0.72,0.77116327326701,true,false
69,0.5666666666666667,1.524026224340703,0.72,0.804026224340703,true,false
70,0.575,1.5560478394646706,0.72,0.8360478394646707,true,false
71,0.5833333333333334,1.5871405313590718,0.72,0.8671405313590719,true,false
72,0.5916666666666667,1.6172185927365037,0.72,0.8972185927365037,true,false
73,0.6,1.6461986287420733,0.72,0.9261986287420734,true,false
74,0.6083333333333333,1.673999990338651,0.72,0.9539999903386511,true,false
75,0.6166666666666667,1.7005452046808076,0.72,0.9805452046808076,true,false
76,0.625,1.7257603984937555,0.72,1.0057603984937555,true,false
77,0.6333333333333333,1.7495757105419185,0.72,1.0295757105419185,true,false
78,0.6416666666666667,1.7719256894294482,0.72,1.0519256894294482,true,false
79,0.65,1.7927496732183321,0.72,1.0727496732183321,true,false
80,0.6583333333333333,1.8119921476764793,0.72,1.0919921476764793,true,false
81,0.6666666666666666,1.829603080378753,0.72,1.109603080378753,true,false
82,0.675,1.845538228379598,0.72,1.125538228379598,true,false
83,0.6833333333333333,1.859759417758389,0.72,1.139759417758389,true,false
84,0.6916666666666667,1.8722347940079673,0.72,1.1522347940079674,true,false
85,0.7,1.882939042987912,0.72,1.162939042987912,true,false
86,0.7083333333333334,1.8918535829851495,0.72,1.1718535829851495,true,false
87,0.7166666666666667,1.8989667292899237,0.72,1.1789667292899237,true,false
88,0.725,1.9042738335641025,0.72,1.1842738335641025,true,false
89,0.7333333333333333,1.9077774010878745,0.72,1.1877774010878746,true,false
90,0.7416666666666667,1.9094871896324597,0.72,1.1894871896324597,true,false
91,0.75,1.9094202941063394,0.72,1.1894202941063394,true,false
92,0.7583333333333333,1.90760122112267,0.72,1.18760122112267,true,false
93,0.7666666666666667,1.9040619570819293,0.72,1.1840619570819293,true,false
94,0.775,1.898842032101235,0.72,1.178842032101235,true,false
95,0.7833333333333333,1.8919885800166127,0.72,1.1719885800166128,true,false
96,0.7916666666666666,1.8835563916558251,0.72,1.1635563916558251,true,false
97,0.8,1.8736079546358628,0.72,1.1536079546358629,true,false
98,0.8083333333333333,1.8622134682177451,0.72,1.1422134682177452,true,false
99,0.8166666666666667,1.8494508165510533,0.72,1.1294508165510533,true,false
100,0.825,1.8354054784425073,0.72,1.1154054784425074,true,false
101,0.8333333333333334,1.8201703472438244,0.72,1.1001703472438245,true,false
102,0.8416666666666667,1.803845431366689,0.72,1.083845431366689,true,false
103,0.85,1.7865374051433127,0.72,1.0665374051433127,true,false
104,0.8583333333333333,1.768358982038106,0.72,1.048358982038106,true,false
105,0.8666666666666667,1.7494280881385904,0.72,1.0294280881385904,true,false
106,0.875,1.7298668235952988,0.72,1.0098668235952988,true,false
107,0.8833333333333333,1.709800212918941,0.72,0.9898002129189409,true,false
108,0.8916666666666667,1.6893547608846962,0.72,0.9693547608846962,true,false
109,0.9,1.6686568478024453,0.72,0.9486568478024453,true,false
110,0.9083333333333333,1.6478310142512513,0.72,0.9278310142512514,true,false
111,0.9166666666666666,1.6269981990521998,0.72,0.9069981990521998,true,false
112,0.925,1.6062740034232983,0.72,0.8862740034232983,true,false
113,0.9333333333333333,1.5857670575483382,0.72,0.8657670575483383,true,false
114,0.9416666666666667,1.5655775625443453,0.72,0.8455775625443454,true,false
115,0.95,1.545796071228586,0.72,0.8257960712285861,true,false
116,0.9583333333333334,1.5265025561962633,0.72,0.8065025561962633,true,false
117,0.9666666666666667,1.5077657952132975,0.72,0.7877657952132975,true,false
118,0.975,1.4896430838692698,0.72,0.7696430838692698,true,false
119,0.9833333333333333,1.4721802659330507,0.72,0.7521802659330508,true,false
120,0.9916666666666667,1.45541205475267,0.72,0.7354120547526701,true,false
121,1.0,1.439362605694012,0.72,0.7193626056940121,true,false
