trial_id,strategy_id,belief_id,profile_value,in_source,is_candidate,is_inactive
1,inactive,1,0//1,true,false,true
1,inactive,2,0//1,true,false,true
1,inactive,3,0//1,true,false,true
1,strategy_1,1,4//1,true,false,false
1,strategy_1,2,4//1,true,false,false
1,strategy_1,3,4//1,true,false,false
1,strategy_2,1,4//1,true,false,false
1,strategy_2,2,4//1,true,false,false
1,strategy_2,3,4//1,true,false,false
1,strategy_3,1,4//1,true,false,false
1,strategy_3,2,4//1,true,false,false
1,strategy_3,3,3//1,true,false,false
1,strategy_4,1,4//1,true,false,false
1,strategy_4,2,2//1,true,false,false
1,strategy_4,3,3//1,true,false,false
1,candidate_1,1,7//2,false,true,false
1,candidate_1,2,4//1,false,true,false
1,candidate_1,3,7//2,false,true,false
1,candidate_2,1,7//2,false,true,false
1,candidate_2,2,9//2,false,true,false
1,candidate_2,3,4//1,false,true,false
2,inactive,1,0//1,true,false,true
2,inactive,2,0//1,true,false,true
2,inactive,3,0//1,true,false,true
2,inactive,4,0//1,true,false,true
2,strategy_1,1,4//1,true,false,false
2,strategy_1,2,4//1,true,false,false
2,strategy_1,3,4//1,true,false,false
2,strategy_1,4,4//1,true,false,false
2,strategy_2,1,4//1,true,false,false
2,strategy_2,2,4//1,true,false,false
2,strategy_2,3,4//1,true,false,false
2,strategy_2,4,4//1,true,false,false
2,strategy_3,1,2//1,true,false,false
2,strategy_3,2,4//1,true,false,false
2,strategy_3,3,1//1,true,false,false
2,strategy_3,4,1//1,true,false,false
2,strategy_4,1,3//1,true,false,false
2,strategy_4,2,4//1,true,false,false
2,strategy_4,3,3//1,true,false,false
2,strategy_4,4,4//1,true,false,false
2,candidate_1,1,11//2,false,true,false
2,candidate_1,2,11//2,false,true,false
2,candidate_1,3,11//2,false,true,false
2,candidate_1,4,5//1,false,true,false
2,candidate_2,1,11//2,false,true,false
2,candidate_2,2,9//2,false,true,false
2,candidate_2,3,11//2,false,true,false
2,candidate_2,4,9//2,false,true,false
3,inactive,1,0//1,true,false,true
3,inactive,2,0//1,true,false,true
3,strategy_1,1,4//1,true,false,false
3,strategy_1,2,2//1,true,false,false
3,strategy_2,1,1//1,true,false,false
3,strategy_2,2,3//1,true,false,false
3,strategy_3,1,2//1,true,false,false
3,strategy_3,2,1//1,true,false,false
3,strategy_4,1,3//1,true,false,false
3,strategy_4,2,2//1,true,false,false
3,candidate_1,1,11//2,false,true,false
3,candidate_1,2,13//4,false,true,false
3,candidate_2,1,5//1,false,true,false
3,candidate_2,2,13//4,false,true,false
4,inactive,1,0//1,true,false,true
4,inactive,2,0//1,true,false,true
4,inactive,3,0//1,true,false,true
4,inactive,4,0//1,true,false,true
4,strategy_1,1,1//1,true,false,false
4,strategy_1,2,3//1,true,false,false
4,strategy_1,3,1//1,true,false,false
4,strategy_1,4,4//1,true,false,false
4,strategy_2,1,3//1,true,false,false
4,strategy_2,2,4//1,true,false,false
4,strategy_2,3,2//1,true,false,false
4,strategy_2,4,1//1,true,false,false
4,strategy_3,1,4//1,true,false,false
4,strategy_3,2,1//1,true,false,false
4,strategy_3,3,1//1,true,false,false
4,strategy_3,4,3//1,true,false,false
4,strategy_4,1,4//1,true,false,false
4,strategy_4,2,2//1,true,false,false
4,strategy_4,3,1//1,true,false,false
4,strategy_4,4,4//1,true,false,false
4,candidate_1,1,9//2,false,true,false
4,candidate_1,2,5//1,false,true,false
4,candidate_1,3,3//1,false,true,false
4,candidate_1,4,5//1,false,true,false
4,candidate_2,1,9//2,false,true,false
4,candidate_2,2,9//2,false,true,false
4,candidate_2,3,2//1,false,true,false
4,candidate_2,4,5//1,false,true,false
5,inactive,1,0//1,true,false,true
5,inactive,2,0//1,true,false,true
5,strategy_1,1,3//1,true,false,false
5,strategy_1,2,4//1,true,false,false
5,strategy_2,1,1//1,true,false,false
5,strategy_2,2,2//1,true,false,false
5,strategy_3,1,2//1,true,false,false
5,strategy_3,2,1//1,true,false,false
5,strategy_4,1,2//1,true,false,false
5,strategy_4,2,4//1,true,false,false
5,candidate_1,1,3//1,false,true,false
5,candidate_1,2,9//2,false,true,false
5,candidate_2,1,7//2,false,true,false
5,candidate_2,2,9//2,false,true,false
6,inactive,1,0//1,true,false,true
6,inactive,2,0//1,true,false,true
6,inactive,3,0//1,true,false,true
6,inactive,4,0//1,true,false,true
6,strategy_1,1,4//1,true,false,false
6,strategy_1,2,4//1,true,false,false
6,strategy_1,3,2//1,true,false,false
6,strategy_1,4,4//1,true,false,false
6,strategy_2,1,4//1,true,false,false
6,strategy_2,2,1//1,true,false,false
6,strategy_2,3,1//1,true,false,false
6,strategy_2,4,4//1,true,false,false
6,strategy_3,1,4//1,true,false,false
6,strategy_3,2,4//1,true,false,false
6,strategy_3,3,1//1,true,false,false
6,strategy_3,4,4//1,true,false,false
6,strategy_4,1,4//1,true,false,false
6,strategy_4,2,4//1,true,false,false
6,strategy_4,3,4//1,true,false,false
6,strategy_4,4,4//1,true,false,false
6,candidate_1,1,7//2,false,true,false
6,candidate_1,2,9//2,false,true,false
6,candidate_1,3,9//2,false,true,false
6,candidate_1,4,7//2,false,true,false
6,candidate_2,1,4//1,false,true,false
6,candidate_2,2,7//2,false,true,false
6,candidate_2,3,7//2,false,true,false
6,candidate_2,4,4//1,false,true,false
7,inactive,1,0//1,true,false,true
7,inactive,2,0//1,true,false,true
7,inactive,3,0//1,true,false,true
7,inactive,4,0//1,true,false,true
7,strategy_1,1,4//1,true,false,false
7,strategy_1,2,4//1,true,false,false
