scenario_id,axis,level,axis_value,belief_index,coordinate,success_probability,continue_value,research_value,research_advantage,action
cost-low,cost,low,0.08,1,0.0,0.09548687999931915,2.332022544096869,2.0289524056807475,-0.3030701384161216,continue
cost-low,cost,low,0.08,2,0.016666666666666666,0.11137103411077165,2.3641111204521845,2.101917745158918,-0.2621933752932666,continue
cost-low,cost,low,0.08,3,0.03333333333333333,0.12375994072982394,2.3983788728516,2.165788420408217,-0.23259045244338283,continue
cost-low,cost,low,0.08,4,0.05,0.13600582415102874,2.4347633781063553,2.230839863596788,-0.20392351450956747,continue
cost-low,cost,low,0.08,5,0.06666666666666667,0.14717489451572713,2.473162651322761,2.2940738514526027,-0.17908879987015824,continue
cost-low,cost,low,0.08,6,0.08333333333333333,0.16018193559213745,2.513439268773559,2.3643460525985778,-0.14909321617498117,continue
cost-low,cost,low,0.08,7,0.1,0.17612242877214412,2.5554267961665404,2.4448511967853404,-0.1105755993812001,continue
cost-low,cost,low,0.08,8,0.11666666666666667,0.1921643078324491,2.5989378616385577,2.5266626516190787,-0.07227521001947901,continue
cost-low,cost,low,0.08,9,0.13333333333333333,0.20439337838283295,2.6437730547824185,2.597571000361369,-0.04620205442104952,continue
cost-low,cost,low,0.08,10,0.15,0.21873317641603707,2.689729816188444,2.675618515287663,-0.014111300900781387,continue
cost-low,cost,low,0.08,11,0.16666666666666666,0.23071193908383975,2.7366105877117715,2.7469203769999293,0.010309789288157845,research
cost-low,cost,low,0.08,12,0.18333333333333332,0.24436928057104224,2.784229678680406,2.823704365537814,0.03947468685740807,research
cost-low,cost,low,0.08,13,0.2,0.26045391925429784,2.832418517623969,2.9080863215086508,0.07566780388468164,research
cost-low,cost,low,0.08,14,0.21666666666666667,0.2758568548719828,2.881029161719642,2.990453622292307,0.10942446057266508,research
cost-low,cost,low,0.08,15,0.23333333333333334,0.2892714587652356,2.929936102508271,3.066766573639931,0.13683047113166014,research
cost-low,cost,low,0.08,16,0.25,0.30372411369146535,2.9790365284177915,3.146150030908476,0.16711350249068424,research
cost-low,cost,low,0.08,17,0.26666666666666666,0.31636166749143146,3.028249285317882,3.21991794865094,0.1916686633330582,research
cost-low,cost,low,0.08,18,0.2833333333333333,0.330823918344627,3.0775128235588785,3.299026042938787,0.22151321937990875,research
cost-low,cost,low,0.08,19,0.3,0.3471840307241996,3.126782441426032,3.3836260608512245,0.2568436194251924,research
cost-low,cost,low,0.08,20,0.31666666666666665,0.3605756378332771,3.17602713588814,3.4590841445472003,0.28305700865906047,research
cost-low,cost,low,0.08,21,0.3333333333333333,0.37287456540767583,3.225226354564502,3.5310597068865133,0.30583335232201136,research
cost-low,cost,low,0.08,22,0.35,0.384148684849605,3.274366909205146,3.5997732361688266,0.32540632696368066,research
cost-low,cost,low,0.08,23,0.36666666666666664,0.3997021369550133,3.3234402620588455,3.6810132810525014,0.3575730189936559,research
cost-low,cost,low,0.08,24,0.38333333333333336,0.4111861800246531,3.3724403350527856,3.7499254384862315,0.3774851034334459,research
cost-low,cost,low,0.08,25,0.4,0.42322011897700507,3.4213619224213394,3.8202638235875592,0.3989019011662198,research
cost-low,cost,low,0.08,26,0.4166666666666667,0.43912630472720376,3.470199716744637,3.901822888254981,0.4316231715103438,research
cost-low,cost,low,0.08,27,0.43333333333333335,0.4534109194543865,3.5189478936802385,3.9783437124130794,0.45939581873284085,research
cost-low,cost,low,0.08,28,0.45,0.46739899706854554,3.567600149128557,4.053753151188602,0.4861530020600444,research
cost-low,cost,low,0.08,29,0.4666666666666667,0.48037051857252827,3.6161500497492693,4.1259473691525335,0.5097973194032641,research
cost-low,cost,low,0.08,30,0.48333333333333334,0.4949430052542562,3.664591546577046,4.202602227387876,0.5380106808108303,research
cost-low,cost,low,0.08,31,0.5,0.5108328775246992,3.712919511621061,4.282859825986679,0.5699403143656183,research
cost-low,cost,low,0.08,32,0.5166666666666667,0.5223201811245386,3.761130185125013,4.350044962982357,0.5889147778573443,research
cost-low,cost,low,0.08,33,0.5333333333333333,0.535713256379131,3.809221460307424,4.422570430336323,0.6133489700288992,research
cost-low,cost,low,0.08,34,0.55,0.5477467424802418,3.857192975116467,4.4909386614141615,0.6337456862976945,research
cost-low,cost,low,0.08,35,0.5666666666666667,0.5617550770296114,3.9050460190542555,4.564823238137639,0.6597772190833835,research
cost-low,cost,low,0.08,36,0.5833333333333334,0.5767042384133039,3.952783291175745,4.6412077708521515,0.6884244796764065,research
cost-low,cost,low,0.08,37,0.6,0.5892826739587312,4.000408559294651,4.710542707442874,0.7101341481482235,research
cost-low,cost,low,0.08,38,0.6166666666666667,0.6036328048001381,4.047926269749545,4.784781306033623,0.7368550362840782,research
cost-low,cost,low,0.08,39,0.6333333333333333,0.6172152401838825,4.0953411443002405,4.8566131148481695,0.7612719705479289,research
cost-low,cost,low,0.08,40,0.65,0.6288805756629942,4.1426577804684745,4.922765714097339,0.7801079336288641,research
cost-low,cost,low,0.08,41,0.6666666666666666,0.6455914541271902,4.189880249340089,5.003165758805411,0.813285509465322,research
cost-low,cost,low,0.08,42,0.6833333333333333,0.6585221627130922,4.237011665302583,5.072567382624626,0.8355557173220429,research
cost-low,cost,low,0.08,43,0.7,0.6699849652278976,4.284053688408251,5.137615640086392,0.8535619516781408,research
cost-low,cost,low,0.08,44,0.7166666666666667,0.6813510665395399,4.331005912761701,5.20222900610649,0.8712230933447893,research
cost-low,cost,low,0.08,45,0.7333333333333333,0.696858279427878,4.377865092371422,5.278418745019712,0.9005536526482896,research
cost-low,cost,low,0.08,46,0.75,0.7133627057651477,4.424624157451096,5.3572186001199,0.9325944426688038,research
cost-low,cost,low,0.08,47,0.7666666666666667,0.7275269863363849,4.471270978433834,5.429181395467136,0.9579104170333022,research
cost-low,cost,low,0.08,48,0.7833333333333333,0.7417117582708226,4.5177868438692945,5.500985568012737,0.9831987241434428,research
cost-low,cost,low,0.08,49,0.8,0.753937946211948,4.56414463719118,5.5670450806683895,1.00290044347721,research
cost-low,cost,low,0.08,50,0.8166666666666667,0.7658531902859276,4.610306733822052,5.631990918709656,1.0216841848876044,research
cost-low,cost,low,0.08,51,0.8333333333333334,0.7786305872271734,4.656222701496876,5.699080066940894,1.0428573654440179,research
cost-low,cost,low,0.08,52,0.85,0.7909692169330425,4.701826975162054,5.764612581545771,1.0627856063837173,research
cost-low,cost,low,0.08,53,0.8666666666666667,0.806952031668809,4.747036785188173,5.839938063612194,1.092901278424021,research
cost-low,cost,low,0.08,54,0.8833333333333333,0.8212451831359248,4.791750722120896,5.910058542375213,1.1183078202543175,research
cost-low,cost,low,0.08,55,0.9,0.8350923522654333,4.835848388432927,5.978372398338351,1.142524009905424,research
cost-low,cost,low,0.08,56,0.9166666666666666,0.8489118396004225,4.879191578381715,6.045947409782512,1.1667558314007973,research
cost-low,cost,low,0.08,57,0.9333333333333333,0.862164730730568,4.921627310495816,6.111177691199634,1.1895503807038184,research
cost-low,cost,low,0.08,58,0.95,0.8787886157532733,4.962992807552332,6.184858225975649,1.2218654184233166,research
cost-low,cost,low,0.08,59,0.9666666666666667,0.8900301589998373,5.003122206420526,6.2426214598129075,1.2394992533923812,research
cost-low,cost,low,0.08,60,0.9833333333333333,0.9032597496949837,5.0418544503329885,6.304771814992815,1.2629173646598266,research
cost-low,cost,low,0.08,61,1.0,0.9199999999999999,5.079041553268424,6.375379564263942,1.2963380109955178,research
cost-baseline,cost,baseline,0.18,1,0.0,0.09548687999931915,2.2121120712534768,1.8400147170326349,-0.3720973542208419,continue
cost-baseline,cost,baseline,0.18,2,0.016666666666666666,0.11137103411077165,2.242086479860159,1.9130013484094353,-0.32908513145072393,continue
cost-baseline,cost,baseline,0.18,3,0.03333333333333333,0.12375994072982394,2.2741923738245022,1.9765583284884085,-0.2976340453360937,continue
cost-baseline,cost,baseline,0.18,4,0.05,0.13600582415102874,2.3084125978317673,2.0413234662143895,-0.2670891316173778,continue
cost-baseline,cost,baseline,0.18,5,0.06666666666666667,0.14717489451572713,2.344695110721689,2.104234369483782,-0.24046074123790673,continue
cost-baseline,cost,baseline,0.18,6,0.08333333333333333,0.16018193559213745,2.3829541384280075,2.174487361525914,-0.20846677690209336,continue
cost-baseline,cost,baseline,0.18,7,0.1,0.17612242877214412,2.4230732681501044,2.2554358521567304,-0.167637415993374,continue
cost-baseline,cost,baseline,0.18,8,0.11666666666666667,0.1921643078324491,2.4649102137565633,2.3378793511080813,-0.12703086264848196,continue
cost-baseline,cost,baseline,0.18,9,0.13333333333333333,0.20439337838283295,2.508302828625761,2.4091905730123546,-0.09911225561340631,continue
cost-baseline,cost,baseline,0.18,10,0.15,0.21873317641603707,2.5530758585707813,2.4880726885011972,-0.06500317006958412,continue
cost-baseline,cost,baseline,0.18,11,0.16666666666666666,0.23071193908383975,2.599047912893734,2.5601436118404575,-0.03890430105327658,continue
cost-baseline,cost,baseline,0.18,12,0.18333333333333332,0.24436928057104224,2.6460381710290335,2.63807853189444,-0.0079596391345933,continue
cost-baseline,cost,baseline,0.18,13,0.2,0.26045391925429784,2.693872416079469,2.724068115860788,0.030195699781319085,research
cost-baseline,cost,baseline,0.18,14,0.21666666666666667,0.2758568548719828,2.742388078221193,2.808128910288518,0.06574083206732473,research
cost-baseline,cost,baseline,0.18,15,0.23333333333333334,0.2892714587652356,2.7914380702157158,2.8860502799866907,0.09461220977097495,research
cost-baseline,cost,baseline,0.18,16,0.25,0.30372411369146535,2.840893299316211,2.967277675498691,0.1263843761824801,research
cost-baseline,cost,baseline,0.18,17,0.26666666666666666,0.31636166749143146,2.8906438420748137,3.0427786169254505,0.15213477485063676,research
cost-baseline,cost,baseline,0.18,18,0.2833333333333333,0.330823918344627,2.9405988673443906,3.123898016249078,0.18329914890468757,research
cost-baseline,cost,baseline,0.18,19,0.3,0.3471840307241996,2.990685482038173,3.210772120715439,0.22008663867726597,research
cost-baseline,cost,baseline,0.18,20,0.31666666666666665,0.3605756378332771,3.0408467459156605,3.288205284146007,0.2473585382303467,research
cost-baseline,cost,baseline,0.18,21,0.3333333333333333,0.37287456540767583,3.0910391477121437,3.362054894347021,0.27101574663487726,research
cost-baseline,cost,baseline,0.18,22,0.35,0.384148684849605,3.141229849502257,3.4325392768519367,0.2913094273496797,research
cost-baseline,cost,baseline,0.18,23,0.36666666666666664,0.3997021369550133,3.1913939875466113,3.5160142619940498,0.32462027444743846,research
cost-baseline,cost,baseline,0.18,24,0.38333333333333336,0.4111861800246531,3.241512269137249,3.5867097896865894,0.3451975205493403,research
cost-baseline,cost,baseline,0.18,25,0.4,0.42322011897700507,3.291569033749959,3.658877043541442,0.36730800979148315,research
cost-baseline,cost,baseline,0.18,26,0.4166666666666667,0.43912630472720376,3.3415508639265483,3.7426551671273782,0.4011043032008299,research
cost-baseline,cost,baseline,0.18,27,0.43333333333333335,0.4534109194543865,3.3914457488292187,3.821196862713274,0.4297511138840555,research
cost-baseline,cost,baseline,0.18,28,0.45,0.46739899706854554,3.4412427326430945,3.8985687200552515,0.4573259874121569,research
cost-baseline,cost,baseline,0.18,29,0.4666666666666667,0.48037051857252827,3.4909319296660737,3.972592407173129,0.48166047750705543,research
cost-baseline,cost,baseline,0.18,30,0.48333333333333334,0.4949430052542562,3.5405047628453143,4.051212090962922,0.5107073281176078,research
cost-baseline,cost,baseline,0.18,31,0.5,0.5108328775246992,3.5899542830786224,4.133536377437967,0.543582094359345,research
cost-baseline,cost,baseline,0.18,32,0.5166666666666667,0.5223201811245386,3.63927544896966,4.202314773379795,0.563039324410135,research
cost-baseline,cost,baseline,0.18,33,0.5333333333333333,0.535713256379131,3.6884652838374383,4.27659672694113,0.5881314431036917,research
cost-baseline,cost,baseline,0.18,34,0.55,0.5477467424802418,3.7375228698211527,4.346559281557182,0.6090364117360294,research
cost-baseline,cost,baseline,0.18,35,0.5666666666666667,0.5617550770296114,3.786449179082873,4.422204178479453,0.6357549993965801,research
cost-baseline,cost,baseline,0.18,36,0.5833333333333334,0.5767042384133039,3.8352467722414123,4.500410548408976,0.6651637761675633,research
cost-baseline,cost,baseline,0.18,37,0.6,0.5892826739587312,3.88391941000582,4.571310535677715,0.687391125671895,research
cost-baseline,cost,baseline,0.18,38,0.6166666666666667,0.6036328048001381,3.9324716247013396,4.64725611029257,0.7147844855912306,research
cost-baseline,cost,baseline,0.18,39,0.6333333333333333,0.6172152401838825,3.9809082864144876,4.720694528551055,0.7397862421365677,research
cost-baseline,cost,baseline,0.18,40,0.65,0.6288805756629942,4.0292341785540415,4.788248878581394,0.7590147000273522,research
cost-baseline,cost,baseline,0.18,41,0.6666666666666666,0.6455914541271902,4.0774535753545855,4.870492880088905,0.7930393047343198,research
cost-baseline,cost,baseline,0.18,42,0.6833333333333333,0.6585221627130922,4.125569794237344,4.941362340750684,0.8157925465133404,research
cost-baseline,cost,baseline,0.18,43,0.7,0.6699849652278976,4.173584682150995,5.007721365074585,0.8341366829235897,research
cost-baseline,cost,baseline,0.18,44,0.7166666666666667,0.6813510665395399,4.2214979878458765,5.073615447652976,0.8521174598070997,research
cost-baseline,cost,baseline,0.18,45,0.7333333333333333,0.696858279427878,4.269306570316483,5.151433678949742,0.8821271086332585,research
cost-baseline,cost,baseline,0.18,46,0.75,0.7133627057651477,4.317003395484319,5.231923138428709,0.9149197429443898,research
