trial_id,strategy_id,module_id,supplied,in_source,is_candidate
1,inactive,core_a,false,true,false
1,inactive,core_b,false,true,false
1,inactive,core_c,false,true,false
1,inactive,expansion,false,true,false
1,inactive,trigger_a,false,true,false
1,inactive,trigger_b,false,true,false
1,inactive,bridge,false,true,false
1,base_1,core_a,false,true,false
1,base_1,core_b,false,true,false
1,base_1,core_c,true,true,false
1,base_1,expansion,false,true,false
1,base_1,trigger_a,false,true,false
1,base_1,trigger_b,false,true,false
1,base_1,bridge,false,true,false
1,base_2,core_a,true,true,false
1,base_2,core_b,false,true,false
1,base_2,core_c,false,true,false
1,base_2,expansion,false,true,false
1,base_2,trigger_a,false,true,false
1,base_2,trigger_b,false,true,false
1,base_2,bridge,false,true,false
1,base_3,core_a,false,true,false
1,base_3,core_b,true,true,false
1,base_3,core_c,false,true,false
1,base_3,expansion,false,true,false
1,base_3,trigger_a,false,true,false
1,base_3,trigger_b,false,true,false
1,base_3,bridge,false,true,false
1,frontier_addition,core_a,false,true,false
1,frontier_addition,core_b,false,true,false
1,frontier_addition,core_c,false,true,false
1,frontier_addition,expansion,false,true,false
1,frontier_addition,trigger_a,false,true,false
1,frontier_addition,trigger_b,false,true,false
1,frontier_addition,bridge,false,true,false
1,closure_carrier,core_a,false,true,false
1,closure_carrier,core_b,false,true,false
1,closure_carrier,core_c,false,true,false
1,closure_carrier,expansion,false,true,false
1,closure_carrier,trigger_a,true,true,false
1,closure_carrier,trigger_b,true,true,false
1,closure_carrier,bridge,false,true,false
1,descendant_1,core_a,false,false,true
1,descendant_1,core_b,false,false,true
1,descendant_1,core_c,false,false,true
1,descendant_1,expansion,false,false,true
1,descendant_1,trigger_a,false,false,true
1,descendant_1,trigger_b,false,false,true
1,descendant_1,bridge,false,false,true
1,descendant_2,core_a,false,false,true
1,descendant_2,core_b,false,false,true
1,descendant_2,core_c,false,false,true
1,descendant_2,expansion,false,false,true
1,descendant_2,trigger_a,false,false,true
1,descendant_2,trigger_b,false,false,true
1,descendant_2,bridge,false,false,true
2,inactive,core_a,false,true,false
2,inactive,core_b,false,true,false
2,inactive,core_c,false,true,false
2,inactive,expansion,false,true,false
2,inactive,trigger_a,false,true,false
2,inactive,trigger_b,false,true,false
2,inactive,bridge,false,true,false
2,base_1,core_a,false,true,false
2,base_1,core_b,true,true,false
2,base_1,core_c,false,true,false
2,base_1,expansion,false,true,false
2,base_1,trigger_a,false,true,false
2,base_1,trigger_b,false,true,false
2,base_1,bridge,false,true,false
2,base_2,core_a,true,true,false
2,base_2,core_b,false,true,false
2,base_2,core_c,false,true,false
2,base_2,expansion,false,true,false
2,base_2,trigger_a,false,true,false
2,base_2,trigger_b,false,true,false
2,base_2,bridge,false,true,false
2,base_3,core_a,false,true,false
2,base_3,core_b,false,true,false
2,base_3,core_c,true,true,false
2,base_3,expansion,false,true,false
2,base_3,trigger_a,false,true,false
2,base_3,trigger_b,false,true,false
2,base_3,bridge,false,true,false
2,frontier_addition,core_a,false,true,false
2,frontier_addition,core_b,false,true,false
2,frontier_addition,core_c,false,true,false
2,frontier_addition,expansion,false,true,false
2,frontier_addition,trigger_a,false,true,false
2,frontier_addition,trigger_b,false,true,false
2,frontier_addition,bridge,false,true,false
2,closure_carrier,core_a,false,true,false
2,closure_carrier,core_b,false,true,false
2,closure_carrier,core_c,false,true,false
2,closure_carrier,expansion,true,true,false
2,closure_carrier,trigger_a,false,true,false
2,closure_carrier,trigger_b,false,true,false
2,closure_carrier,bridge,false,true,false
2,descendant_1,core_a,false,false,true
2,descendant_1,core_b,false,false,true
2,descendant_1,core_c,false,false,true
2,descendant_1,expansion,false,false,true
2,descendant_1,trigger_a,false,false,true
2,descendant_1,trigger_b,false,false,true
2,descendant_1,bridge,false,false,true
2,descendant_2,core_a,false,false,true
2,descendant_2,core_b,false,false,true
2,descendant_2,core_c,false,false,true
2,descendant_2,expansion,false,false,true
