trial_id,compressed_state_index,frontier,closure,witness_library_ids,witness_valid
1,1,0//1;0//1;0//1,,inactive,true
1,2,23//4;7//4;9//4,core_c,base_1;inactive,true
1,3,2//1;23//4;2//1,core_a,base_2;inactive,true
1,4,23//4;23//4;9//4,core_a;core_c,base_1;base_2;inactive,true
1,5,9//4;7//4;6//1,core_b,base_3;inactive,true
1,6,23//4;7//4;6//1,core_b;core_c,base_1;base_3;inactive,true
1,7,9//4;23//4;6//1,core_a;core_b,base_2;base_3;inactive,true
1,8,23//4;23//4;6//1,core_a;core_b;core_c,base_1;base_2;base_3;inactive,true
1,9,1//1;3//4;33//4,,frontier_addition;inactive,true
1,10,23//4;7//4;33//4,core_c,base_1;frontier_addition;inactive,true
1,11,2//1;23//4;33//4,core_a,base_2;frontier_addition;inactive,true
1,12,23//4;23//4;33//4,core_a;core_c,base_1;base_2;frontier_addition;inactive,true
1,13,9//4;7//4;33//4,core_b,base_3;frontier_addition;inactive,true
1,14,23//4;7//4;33//4,core_b;core_c,base_1;base_3;frontier_addition;inactive,true
1,15,9//4;23//4;33//4,core_a;core_b,base_2;base_3;frontier_addition;inactive,true
1,16,23//4;23//4;33//4,core_a;core_b;core_c,base_1;base_2;base_3;frontier_addition;inactive,true
1,17,5//4;1//1;1//1,bridge;trigger_a;trigger_b,closure_carrier;inactive,true
1,18,23//4;7//4;9//4,bridge;core_c;trigger_a;trigger_b,base_1;closure_carrier;inactive,true
1,19,2//1;23//4;2//1,bridge;core_a;trigger_a;trigger_b,base_2;closure_carrier;inactive,true
1,20,23//4;23//4;9//4,bridge;core_a;core_c;trigger_a;trigger_b,base_1;base_2;closure_carrier;inactive,true
1,21,9//4;7//4;6//1,bridge;core_b;trigger_a;trigger_b,base_3;closure_carrier;inactive,true
1,22,23//4;7//4;6//1,bridge;core_b;core_c;trigger_a;trigger_b,base_1;base_3;closure_carrier;inactive,true
1,23,9//4;23//4;6//1,bridge;core_a;core_b;trigger_a;trigger_b,base_2;base_3;closure_carrier;inactive,true
1,24,23//4;23//4;6//1,bridge;core_a;core_b;core_c;trigger_a;trigger_b,base_1;base_2;base_3;closure_carrier;inactive,true
1,25,5//4;1//1;33//4,bridge;trigger_a;trigger_b,closure_carrier;frontier_addition;inactive,true
1,26,23//4;7//4;33//4,bridge;core_c;trigger_a;trigger_b,base_1;closure_carrier;frontier_addition;inactive,true
1,27,2//1;23//4;33//4,bridge;core_a;trigger_a;trigger_b,base_2;closure_carrier;frontier_addition;inactive,true
1,28,23//4;23//4;33//4,bridge;core_a;core_c;trigger_a;trigger_b,base_1;base_2;closure_carrier;frontier_addition;inactive,true
1,29,9//4;7//4;33//4,bridge;core_b;trigger_a;trigger_b,base_3;closure_carrier;frontier_addition;inactive,true
1,30,23//4;7//4;33//4,bridge;core_b;core_c;trigger_a;trigger_b,base_1;base_3;closure_carrier;frontier_addition;inactive,true
1,31,9//4;23//4;33//4,bridge;core_a;core_b;trigger_a;trigger_b,base_2;base_3;closure_carrier;frontier_addition;inactive,true
1,32,23//4;23//4;33//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true
1,33,35//4;27//4;45//4,,descendant_1;inactive,true
1,34,35//4;27//4;45//4,core_c,base_1;descendant_1;inactive,true
1,35,35//4;27//4;45//4,core_a,base_2;descendant_1;inactive,true
1,36,35//4;27//4;45//4,core_a;core_c,base_1;base_2;descendant_1;inactive,true
1,37,35//4;27//4;45//4,core_b,base_3;descendant_1;inactive,true
1,38,35//4;27//4;45//4,core_b;core_c,base_1;base_3;descendant_1;inactive,true
1,39,35//4;27//4;45//4,core_a;core_b,base_2;base_3;descendant_1;inactive,true
1,40,35//4;27//4;45//4,core_a;core_b;core_c,base_1;base_2;base_3;descendant_1;inactive,true
1,41,35//4;27//4;45//4,bridge;trigger_a;trigger_b,closure_carrier;descendant_1;inactive,true
1,42,35//4;27//4;45//4,bridge;core_c;trigger_a;trigger_b,base_1;closure_carrier;descendant_1;inactive,true
1,43,35//4;27//4;45//4,bridge;core_a;trigger_a;trigger_b,base_2;closure_carrier;descendant_1;inactive,true
1,44,35//4;27//4;45//4,bridge;core_a;core_c;trigger_a;trigger_b,base_1;base_2;closure_carrier;descendant_1;inactive,true
1,45,35//4;27//4;45//4,bridge;core_b;trigger_a;trigger_b,base_3;closure_carrier;descendant_1;inactive,true
1,46,35//4;27//4;45//4,bridge;core_b;core_c;trigger_a;trigger_b,base_1;base_3;closure_carrier;descendant_1;inactive,true
1,47,35//4;27//4;45//4,bridge;core_a;core_b;trigger_a;trigger_b,base_2;base_3;closure_carrier;descendant_1;inactive,true
1,48,35//4;27//4;45//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,base_1;base_2;base_3;closure_carrier;descendant_1;inactive,true
1,49,43//4;39//4;53//4,,descendant_2;inactive,true
1,50,43//4;39//4;53//4,core_c,base_1;descendant_2;inactive,true
1,51,43//4;39//4;53//4,core_a,base_2;descendant_2;inactive,true
1,52,43//4;39//4;53//4,core_a;core_c,base_1;base_2;descendant_2;inactive,true
1,53,43//4;39//4;53//4,core_b,base_3;descendant_2;inactive,true
1,54,43//4;39//4;53//4,core_b;core_c,base_1;base_3;descendant_2;inactive,true
1,55,43//4;39//4;53//4,core_a;core_b,base_2;base_3;descendant_2;inactive,true
1,56,43//4;39//4;53//4,core_a;core_b;core_c,base_1;base_2;base_3;descendant_2;inactive,true
1,57,43//4;39//4;53//4,bridge;trigger_a;trigger_b,closure_carrier;descendant_2;inactive,true
1,58,43//4;39//4;53//4,bridge;core_c;trigger_a;trigger_b,base_1;closure_carrier;descendant_2;inactive,true
1,59,43//4;39//4;53//4,bridge;core_a;trigger_a;trigger_b,base_2;closure_carrier;descendant_2;inactive,true
1,60,43//4;39//4;53//4,bridge;core_a;core_c;trigger_a;trigger_b,base_1;base_2;closure_carrier;descendant_2;inactive,true
