strategy_id,ticker,directional_signal,entry_filter,holding_horizon,sizing_rule,exit_rule,risk_constraint,in_initial_library,in_safe_library,in_frontier_only_library,enabled_initial,enabled_safe,enabled_frontier_only,development_gross_utility,development_net_utility,validation_gross_utility,validation_net_utility,locked_gross_utility,locked_net_utility,mean_validation_turnover
DIA__mean_reversion_5__always__h20__half__horizon__notional_cap_1,DIA,mean_reversion_5,always,20,half,horizon,notional_cap_1,false,false,false,true,true,false,0.03834700684585518,0.0335084716196021,0.026666134309938232,0.021603346841919707,0.03361532329684791,0.028352511690280295,0.04014308426073132
DIA__mean_reversion_5__always__h20__half__horizon__vol_target_10,DIA,mean_reversion_5,always,20,half,horizon,vol_target_10,false,false,false,true,true,false,0.037980309861202495,0.033160905157737196,0.02639340910016547,0.02127130016637705,0.03872619661447816,0.03352162123595171,0.040613104723846
DIA__mean_reversion_5__always__h20__half__signal_flip__notional_cap_1,DIA,mean_reversion_5,always,20,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.0477649013052635,0.035866844210132295,0.020613636561455054,0.00799648077013572,0.04759117963231887,0.036161625553273444,0.10015898251192369
DIA__mean_reversion_5__always__h20__half__signal_flip__vol_target_10,DIA,mean_reversion_5,always,20,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.0409243355153234,0.029570277446678152,0.01872408553399561,0.006358366511886204,0.0441795032230091,0.03321300056121831,0.09815389238230346
DIA__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,DIA,mean_reversion_5,always,20,unit,horizon,notional_cap_1,false,false,false,true,true,false,0.05966588963507614,0.04999121892873932,0.041018537239753544,0.03088344460138374,0.03861034883127145,0.028075795568752983,0.08028616852146264
DIA__mean_reversion_5__always__h20__unit__horizon__vol_target_10,DIA,mean_reversion_5,always,20,unit,horizon,vol_target_10,false,false,false,true,true,false,0.046155662045418266,0.0372971898100346,0.033566648126580986,0.02381443512792461,0.043905836007081825,0.03447252669112136,0.07730831649572711
DIA__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,DIA,mean_reversion_5,always,20,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.08408243436012652,0.0602716629332441,0.033189948471575866,0.007961388899303312,0.07494010485677995,0.052058136553316876,0.20031796502384738
DIA__mean_reversion_5__always__h20__unit__signal_flip__vol_target_10,DIA,mean_reversion_5,always,20,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.04746348399155659,0.028298079223887412,0.014167755227876552,-0.007174539331748124,0.05691835931921933,0.03933273696895427,0.16934150828226258
DIA__mean_reversion_5__always__h5__half__horizon__notional_cap_1,DIA,mean_reversion_5,always,5,half,horizon,notional_cap_1,false,false,false,true,true,false,0.04547094946500214,0.03266793855668185,0.011106062973565652,-0.0019052284888799566,0.04133072116436924,0.028349598071816945,0.10333863275039745
DIA__mean_reversion_5__always__h5__half__horizon__vol_target_10,DIA,mean_reversion_5,always,5,half,horizon,vol_target_10,false,false,false,true,true,false,0.04276561660540453,0.03059138995888371,0.01004553183647291,-0.0027938028460324487,0.03819554653347282,0.02572834027535351,0.10196038566335981
