rule,step,strategy_id,operationally_redundant,generatively_redundant,decision,source_size,resulting_size,closure_size_before,closure_size_after,maximum_frontier_change
innovation_safe,1,UNG__momentum_60__trend_100__h20__unit__signal_flip__vol_target_10,true,true,remove,80,79,38,38,0.0
innovation_safe,2,UNG__mean_reversion_5__trend_100__h5__half__signal_flip__vol_target_10,true,true,remove,79,78,38,38,0.0
innovation_safe,3,UNG__mean_reversion_5__trend_100__h5__unit__signal_flip__vol_target_10,true,false,retain,78,78,38,38,0.0
innovation_safe,4,GDX__mean_reversion_5__trend_100__h20__half__horizon__vol_target_10,true,true,remove,78,77,38,38,0.0
innovation_safe,5,GDX__mean_reversion_5__trend_100__h20__half__signal_flip__vol_target_10,true,true,remove,77,76,38,38,0.0
innovation_safe,6,GDX__mean_reversion_5__trend_100__h20__unit__signal_flip__vol_target_10,true,false,retain,76,76,38,38,0.0
innovation_safe,7,SHY__momentum_20__trend_100__h20__half__horizon__notional_cap_1,true,true,remove,76,75,38,38,0.0
innovation_safe,8,SHY__momentum_20__always__h20__half__horizon__notional_cap_1,true,true,remove,75,74,38,38,0.0
innovation_safe,9,SHY__momentum_20__always__h20__half__horizon__vol_target_10,true,false,retain,74,74,38,38,0.0
innovation_safe,10,USO__momentum_60__always__h5__half__signal_flip__vol_target_10,true,true,remove,74,73,38,38,0.0
innovation_safe,11,USO__momentum_60__trend_100__h5__half__signal_flip__notional_cap_1,true,true,remove,73,72,38,38,0.0
innovation_safe,12,USO__momentum_60__always__h5__half__signal_flip__notional_cap_1,true,false,retain,72,72,38,38,0.0
innovation_safe,13,UUP__momentum_60__trend_100__h20__half__signal_flip__notional_cap_1,true,true,remove,72,71,38,38,0.0
innovation_safe,14,FXE__momentum_60__trend_100__h20__unit__signal_flip__vol_target_10,true,true,remove,71,70,38,38,0.0
innovation_safe,15,FXE__momentum_60__always__h20__unit__signal_flip__notional_cap_1,true,true,remove,70,69,38,38,0.0
innovation_safe,16,EWZ__mean_reversion_5__always__h20__half__signal_flip__notional_cap_1,true,true,remove,69,68,38,38,0.0
innovation_safe,17,UUP__momentum_60__trend_100__h20__unit__signal_flip__vol_target_10,true,true,remove,68,67,38,38,0.0
innovation_safe,18,UUP__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,true,false,retain,67,67,38,38,0.0
innovation_safe,19,FXE__momentum_60__always__h20__unit__signal_flip__vol_target_10,true,false,retain,67,67,38,38,0.0
innovation_safe,20,IEF__momentum_60__trend_100__h20__unit__horizon__vol_target_10,false,true,retain,67,67,38,38,0.002202406647271296
innovation_safe,21,IEF__momentum_20__trend_100__h20__unit__horizon__vol_target_10,true,true,remove,67,66,38,38,0.0
innovation_safe,22,IEF__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,66,65,38,38,0.0
innovation_safe,23,EWZ__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,true,true,remove,65,64,38,38,0.0
innovation_safe,24,TLT__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,true,true,remove,64,63,38,38,0.0
innovation_safe,25,EWZ__mean_reversion_5__always__h5__half__signal_flip__notional_cap_1,true,false,retain,63,63,38,38,0.0
innovation_safe,26,SLV__momentum_20__trend_100__h5__unit__horizon__vol_target_10,true,true,remove,63,62,38,38,0.0
innovation_safe,27,GLD__momentum_60__trend_100__h20__half__horizon__vol_target_10,true,true,remove,62,61,38,38,0.0
innovation_safe,28,EMB__momentum_60__always__h20__unit__horizon__vol_target_10,true,true,remove,61,60,38,38,0.0
innovation_safe,29,FXI__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,true,true,remove,60,59,38,38,0.0
innovation_safe,30,LQD__momentum_60__always__h20__unit__horizon__vol_target_10,true,true,remove,59,58,38,38,0.0
innovation_safe,31,FXI__mean_reversion_5__always__h5__half__signal_flip__notional_cap_1,true,true,remove,58,57,38,38,0.0
innovation_safe,32,SLV__momentum_20__trend_100__h5__half__horizon__notional_cap_1,true,true,remove,57,56,38,38,0.0
innovation_safe,33,EMB__momentum_60__trend_100__h20__unit__horizon__vol_target_10,true,true,remove,56,55,38,38,0.0
innovation_safe,34,TLT__mean_reversion_5__trend_100__h5__unit__horizon__notional_cap_1,true,true,remove,55,54,38,38,0.0
innovation_safe,35,TLT__mean_reversion_5__trend_100__h20__unit__signal_flip__notional_cap_1,true,false,retain,54,54,38,38,0.0
innovation_safe,36,LQD__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,54,53,38,38,0.0
innovation_safe,37,EMB__momentum_20__trend_100__h20__unit__horizon__vol_target_10,true,false,retain,53,53,38,38,0.0
innovation_safe,38,XLE__mean_reversion_5__always__h20__half__horizon__notional_cap_1,true,true,remove,53,52,38,38,0.0
innovation_safe,39,LQD__momentum_60__trend_100__h20__unit__horizon__vol_target_10,true,false,retain,52,52,38,38,0.0
innovation_safe,40,XLE__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,true,true,remove,52,51,38,38,0.0
innovation_safe,41,EFA__mean_reversion_5__trend_100__h5__unit__horizon__notional_cap_1,true,true,remove,51,50,38,38,0.0
innovation_safe,42,HYG__momentum_20__always__h20__unit__signal_flip__notional_cap_1,true,true,remove,50,49,38,38,0.0
innovation_safe,43,KRE__momentum_20__always__h20__unit__signal_flip__notional_cap_1,true,true,remove,49,48,38,38,0.0
innovation_safe,44,FXI__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,true,false,retain,48,48,38,38,0.0
innovation_safe,45,EEM__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,48,47,38,38,0.0
innovation_safe,46,XLE__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,true,false,retain,47,47,38,38,0.0
innovation_safe,47,HYG__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,47,46,38,38,0.0
innovation_safe,48,GLD__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,46,45,38,38,0.0
innovation_safe,49,SLV__momentum_20__trend_100__h5__unit__horizon__notional_cap_1,true,false,retain,45,45,38,38,0.0
innovation_safe,50,GLD__momentum_60__trend_100__h20__unit__horizon__vol_target_10,true,false,retain,45,45,38,38,0.0
innovation_safe,51,HYG__momentum_20__always__h20__unit__horizon__notional_cap_1,true,false,retain,45,45,38,38,0.0
innovation_safe,52,KRE__momentum_20__always__h5__unit__signal_flip__notional_cap_1,true,true,remove,45,44,38,38,0.0
innovation_safe,53,KRE__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,true,false,retain,44,44,38,38,0.0
innovation_safe,54,EFA__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,true,true,remove,44,43,38,38,0.0
innovation_safe,55,DIA__momentum_60__always__h20__unit__horizon__notional_cap_1,true,true,remove,43,42,38,38,0.0
innovation_safe,56,EEM__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,true,true,remove,42,41,38,38,0.0
innovation_safe,57,IYR__momentum_60__trend_100__h5__unit__horizon__notional_cap_1,true,true,remove,41,40,38,38,0.0
innovation_safe,58,IYR__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,true,true,remove,40,39,38,38,0.0
innovation_safe,59,EFA__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,true,false,retain,39,39,38,38,0.0
innovation_safe,60,IWM__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,true,true,remove,39,38,38,38,0.0
innovation_safe,61,EEM__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,true,false,retain,38,38,38,38,0.0
innovation_safe,62,IYR__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,true,false,retain,38,38,38,38,0.0
innovation_safe,63,DIA__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,38,37,38,38,0.0
innovation_safe,64,SPY__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,37,36,38,38,0.0
innovation_safe,65,XLF__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,36,35,38,38,0.0
innovation_safe,66,QQQ__momentum_20__trend_100__h20__half__horizon__notional_cap_1,true,true,remove,35,34,38,38,0.0
innovation_safe,67,SPY__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,true,true,remove,34,33,38,38,0.0
innovation_safe,68,SPY__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,true,false,retain,33,33,38,38,0.0
innovation_safe,69,DIA__momentum_20__always__h20__unit__horizon__notional_cap_1,true,false,retain,33,33,38,38,0.0
innovation_safe,70,IWM__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,33,32,38,38,0.0
innovation_safe,71,IWM__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,true,false,retain,32,32,38,38,0.0
innovation_safe,72,XLF__momentum_60__always__h20__unit__signal_flip__notional_cap_1,false,true,retain,32,32,38,38,0.043536990756964766
innovation_safe,73,XLF__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,true,true,remove,32,31,38,38,0.0
innovation_safe,74,QQQ__momentum_20__trend_100__h20__unit__horizon__vol_target_10,true,true,remove,31,30,38,38,0.0
innovation_safe,75,QQQ__momentum_60__always__h5__unit__horizon__notional_cap_1,true,true,remove,30,29,38,38,0.0
innovation_safe,76,QQQ__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,true,true,remove,29,28,38,38,0.0
innovation_safe,77,QQQ__momentum_20__trend_100__h20__unit__signal_flip__notional_cap_1,true,true,remove,28,27,38,38,0.0
innovation_safe,78,QQQ__momentum_20__always__h20__unit__horizon__notional_cap_1,true,true,remove,27,26,38,38,0.0
innovation_safe,79,QQQ__momentum_60__always__h20__unit__horizon__notional_cap_1,false,true,retain,26,26,38,38,0.04987446361423059
innovation_safe,80,QQQ__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,26,25,38,38,0.0
frontier_only,1,SLV__momentum_20__trend_100__h5__unit__horizon__notional_cap_1,true,true,remove,80,79,38,38,0.0
frontier_only,2,SLV__momentum_20__trend_100__h5__half__horizon__notional_cap_1,true,true,remove,79,78,38,38,0.0
frontier_only,3,IYR__momentum_60__trend_100__h5__unit__horizon__notional_cap_1,true,true,remove,78,77,38,38,0.0
frontier_only,4,UNG__mean_reversion_5__trend_100__h5__unit__signal_flip__vol_target_10,true,true,remove,77,76,38,38,0.0
frontier_only,5,SLV__momentum_20__trend_100__h5__unit__horizon__vol_target_10,true,false,remove,76,75,38,37,0.0
frontier_only,6,UNG__mean_reversion_5__trend_100__h5__half__signal_flip__vol_target_10,true,true,remove,75,74,37,37,0.0
frontier_only,7,XLE__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,true,true,remove,74,73,37,37,0.0
frontier_only,8,FXE__momentum_60__always__h20__unit__signal_flip__notional_cap_1,true,true,remove,73,72,37,37,0.0
frontier_only,9,KRE__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,72,71,37,37,0.0
frontier_only,10,TLT__mean_reversion_5__trend_100__h5__unit__horizon__notional_cap_1,true,true,remove,71,70,37,37,0.0
frontier_only,11,GLD__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,70,69,37,37,0.0
frontier_only,12,FXE__momentum_60__trend_100__h20__unit__signal_flip__vol_target_10,true,true,remove,69,68,37,37,0.0
frontier_only,13,FXE__momentum_60__always__h20__unit__signal_flip__vol_target_10,true,false,remove,68,67,37,36,0.0
frontier_only,14,UNG__momentum_60__trend_100__h20__unit__signal_flip__vol_target_10,true,false,remove,67,66,36,35,0.0
frontier_only,15,GDX__mean_reversion_5__trend_100__h20__unit__signal_flip__vol_target_10,true,true,remove,66,65,35,35,0.0
frontier_only,16,KRE__momentum_20__always__h5__unit__signal_flip__notional_cap_1,true,true,remove,65,64,35,35,0.0
frontier_only,17,TLT__mean_reversion_5__trend_100__h20__unit__signal_flip__notional_cap_1,true,true,remove,64,63,35,35,0.0
frontier_only,18,GDX__mean_reversion_5__trend_100__h20__half__signal_flip__vol_target_10,true,true,remove,63,62,35,35,0.0
frontier_only,19,GLD__momentum_60__trend_100__h20__unit__horizon__vol_target_10,true,true,remove,62,61,35,35,0.0
frontier_only,20,IWM__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,true,true,remove,61,60,35,35,0.0
frontier_only,21,USO__momentum_60__trend_100__h5__half__signal_flip__notional_cap_1,true,true,remove,60,59,35,35,0.0
frontier_only,22,GDX__mean_reversion_5__trend_100__h20__half__horizon__vol_target_10,true,false,remove,59,58,35,34,0.0
frontier_only,23,IWM__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,58,57,34,34,0.0
frontier_only,24,XLE__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,true,true,remove,57,56,34,34,0.0
frontier_only,25,GLD__momentum_60__trend_100__h20__half__horizon__vol_target_10,true,false,remove,56,55,34,33,0.0
frontier_only,26,TLT__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,true,false,remove,55,54,33,32,0.0
frontier_only,27,EEM__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,true,true,remove,54,53,32,32,0.0
frontier_only,28,XLF__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,53,52,32,32,0.0
frontier_only,29,XLE__mean_reversion_5__always__h20__half__horizon__notional_cap_1,true,false,remove,52,51,32,31,0.0
frontier_only,30,EFA__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,true,true,remove,51,50,31,31,0.0
frontier_only,31,EWZ__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,true,true,remove,50,49,31,31,0.0
frontier_only,32,SHY__momentum_20__trend_100__h20__half__horizon__notional_cap_1,true,true,remove,49,48,31,31,0.0
frontier_only,33,SHY__momentum_20__always__h20__half__horizon__notional_cap_1,true,true,remove,48,47,31,31,0.0
frontier_only,34,SHY__momentum_20__always__h20__half__horizon__vol_target_10,true,false,remove,47,46,31,30,0.0
frontier_only,35,USO__momentum_60__always__h5__half__signal_flip__notional_cap_1,true,true,remove,46,45,30,30,0.0
frontier_only,36,UUP__momentum_60__trend_100__h20__unit__signal_flip__vol_target_10,true,true,remove,45,44,30,30,0.0
frontier_only,37,UUP__momentum_60__trend_100__h20__half__signal_flip__notional_cap_1,true,true,remove,44,43,30,30,0.0
frontier_only,38,UUP__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,true,false,remove,43,42,30,29,0.0
frontier_only,39,FXI__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,true,true,remove,42,41,29,29,0.0
frontier_only,40,EEM__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,true,true,remove,41,40,29,29,0.0
frontier_only,41,USO__momentum_60__always__h5__half__signal_flip__vol_target_10,true,false,remove,40,39,29,28,0.0
frontier_only,42,IYR__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,true,true,remove,39,38,28,28,0.0
frontier_only,43,FXI__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,true,true,remove,38,37,28,28,0.0
frontier_only,44,IEF__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,37,36,28,28,0.0
frontier_only,45,IEF__momentum_20__trend_100__h20__unit__horizon__vol_target_10,true,true,remove,36,35,28,28,0.0
frontier_only,46,XLF__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,true,true,remove,35,34,28,28,0.0
frontier_only,47,FXI__mean_reversion_5__always__h5__half__signal_flip__notional_cap_1,true,false,remove,34,33,28,27,0.0
frontier_only,48,HYG__momentum_20__always__h20__unit__signal_flip__notional_cap_1,true,true,remove,33,32,27,27,0.0
frontier_only,49,KRE__momentum_20__always__h20__unit__signal_flip__notional_cap_1,true,false,remove,32,31,27,26,0.0
frontier_only,50,EFA__mean_reversion_5__trend_100__h5__unit__horizon__notional_cap_1,true,true,remove,31,30,26,26,0.0
frontier_only,51,IWM__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,true,false,remove,30,29,26,25,0.0
frontier_only,52,EWZ__mean_reversion_5__always__h5__half__signal_flip__notional_cap_1,true,true,remove,29,28,25,25,0.0
frontier_only,53,EWZ__mean_reversion_5__always__h20__half__signal_flip__notional_cap_1,true,false,remove,28,27,25,24,0.0
frontier_only,54,EFA__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,true,false,remove,27,26,24,23,0.0
frontier_only,55,IEF__momentum_60__trend_100__h20__unit__horizon__vol_target_10,false,false,retain,26,26,23,23,0.008790794304212209
frontier_only,56,HYG__momentum_20__always__h20__unit__horizon__notional_cap_1,true,true,remove,26,25,23,23,0.0
frontier_only,57,XLF__momentum_60__always__h20__unit__signal_flip__notional_cap_1,false,false,retain,25,25,23,23,0.14320888300078888
frontier_only,58,IYR__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,true,false,remove,25,24,23,22,0.0
frontier_only,59,EMB__momentum_60__always__h20__unit__horizon__vol_target_10,true,true,remove,24,23,22,22,0.0
frontier_only,60,EMB__momentum_60__trend_100__h20__unit__horizon__vol_target_10,true,true,remove,23,22,22,22,0.0
frontier_only,61,SPY__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,true,true,remove,22,21,22,22,0.0
frontier_only,62,HYG__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,true,false,remove,21,20,22,21,0.0
frontier_only,63,EMB__momentum_20__trend_100__h20__unit__horizon__vol_target_10,true,false,remove,20,19,21,20,0.0
frontier_only,64,LQD__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,19,18,20,20,0.0
frontier_only,65,LQD__momentum_60__trend_100__h20__unit__horizon__vol_target_10,true,true,remove,18,17,20,20,0.0
frontier_only,66,LQD__momentum_60__always__h20__unit__horizon__vol_target_10,true,false,remove,17,16,20,19,0.0
frontier_only,67,QQQ__momentum_20__trend_100__h20__half__horizon__notional_cap_1,true,false,remove,16,15,19,18,0.0
frontier_only,68,QQQ__momentum_60__always__h5__unit__horizon__notional_cap_1,true,false,remove,15,14,18,17,0.0
frontier_only,69,SPY__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,14,13,17,17,0.0
frontier_only,70,QQQ__momentum_20__trend_100__h20__unit__horizon__vol_target_10,true,true,remove,13,12,17,17,0.0
frontier_only,71,DIA__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,12,11,17,17,0.0
frontier_only,72,DIA__momentum_60__always__h20__unit__horizon__notional_cap_1,true,true,remove,11,10,17,17,0.0
frontier_only,73,EEM__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,true,false,remove,10,9,17,16,0.0
frontier_only,74,DIA__momentum_20__always__h20__unit__horizon__notional_cap_1,true,false,remove,9,8,16,15,0.0
frontier_only,75,QQQ__momentum_20__trend_100__h20__unit__signal_flip__notional_cap_1,true,true,remove,8,7,15,15,0.0
frontier_only,76,SPY__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,true,false,remove,7,6,15,14,0.0
frontier_only,77,QQQ__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,6,5,14,14,0.0
frontier_only,78,QQQ__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,true,false,remove,5,4,14,13,0.0
frontier_only,79,QQQ__momentum_60__always__h20__unit__horizon__notional_cap_1,false,true,retain,4,4,13,13,0.04613050933800822
frontier_only,80,QQQ__momentum_20__always__h20__unit__horizon__notional_cap_1,true,false,remove,4,3,13,12,0.0
