case_id,belief_index,coordinate,gap,potential,research,component_count,kernel_preservation_assumption
monotone-gap,1,0.0,0//1,0//1,false,1,true
monotone-gap,2,0.3333333333333333,1//1,1//2,false,1,true
monotone-gap,3,0.6666666666666666,2//1,3//2,true,1,true
monotone-gap,4,1.0,3//1,3//1,true,1,true
single-peak-preserved,1,0.0,0//1,0//1,false,1,true
single-peak-preserved,2,0.25,2//1,2//1,true,1,true
single-peak-preserved,3,0.5,4//1,4//1,true,1,true
single-peak-preserved,4,0.75,2//1,2//1,true,1,true
single-peak-preserved,5,1.0,0//1,0//1,false,1,true
single-peak-destroyed,1,0.0,0//1,1//1,true,2,false
single-peak-destroyed,2,0.5,1//1,0//1,false,2,false
single-peak-destroyed,3,1.0,0//1,1//1,true,2,false
two-gap-candidate,1,0.0,4//1,4//1,true,2,true
two-gap-candidate,2,0.25,0//1,41//32,true,2,true
two-gap-candidate,3,0.5,0//1,1//2,false,2,true
two-gap-candidate,4,0.75,0//1,41//32,true,2,true
two-gap-candidate,5,1.0,4//1,4//1,true,2,true
