trial_id,input_modules,closed_modules
1,,
1,bridge,bridge
1,bridge;core_a,bridge;core_a
1,bridge;core_a;core_b,bridge;core_a;core_b
1,bridge;core_a;core_b;core_c,bridge;core_a;core_b;core_c
1,bridge;core_a;core_b;core_c;expansion,bridge;core_a;core_b;core_c;expansion
1,bridge;core_a;core_b;core_c;expansion;trigger_a,bridge;core_a;core_b;core_c;expansion;trigger_a
1,bridge;core_a;core_b;core_c;expansion;trigger_a;trigger_b,bridge;core_a;core_b;core_c;expansion;trigger_a;trigger_b
1,bridge;core_a;core_b;core_c;expansion;trigger_b,bridge;core_a;core_b;core_c;expansion;trigger_b
1,bridge;core_a;core_b;core_c;trigger_a,bridge;core_a;core_b;core_c;trigger_a
1,bridge;core_a;core_b;core_c;trigger_a;trigger_b,bridge;core_a;core_b;core_c;trigger_a;trigger_b
1,bridge;core_a;core_b;core_c;trigger_b,bridge;core_a;core_b;core_c;trigger_b
1,bridge;core_a;core_b;expansion,bridge;core_a;core_b;expansion
1,bridge;core_a;core_b;expansion;trigger_a,bridge;core_a;core_b;expansion;trigger_a
1,bridge;core_a;core_b;expansion;trigger_a;trigger_b,bridge;core_a;core_b;expansion;trigger_a;trigger_b
1,bridge;core_a;core_b;expansion;trigger_b,bridge;core_a;core_b;expansion;trigger_b
1,bridge;core_a;core_b;trigger_a,bridge;core_a;core_b;trigger_a
1,bridge;core_a;core_b;trigger_a;trigger_b,bridge;core_a;core_b;trigger_a;trigger_b
1,bridge;core_a;core_b;trigger_b,bridge;core_a;core_b;trigger_b
1,bridge;core_a;core_c,bridge;core_a;core_c
1,bridge;core_a;core_c;expansion,bridge;core_a;core_c;expansion
1,bridge;core_a;core_c;expansion;trigger_a,bridge;core_a;core_c;expansion;trigger_a
1,bridge;core_a;core_c;expansion;trigger_a;trigger_b,bridge;core_a;core_c;expansion;trigger_a;trigger_b
1,bridge;core_a;core_c;expansion;trigger_b,bridge;core_a;core_c;expansion;trigger_b
1,bridge;core_a;core_c;trigger_a,bridge;core_a;core_c;trigger_a
1,bridge;core_a;core_c;trigger_a;trigger_b,bridge;core_a;core_c;trigger_a;trigger_b
1,bridge;core_a;core_c;trigger_b,bridge;core_a;core_c;trigger_b
1,bridge;core_a;expansion,bridge;core_a;expansion
1,bridge;core_a;expansion;trigger_a,bridge;core_a;expansion;trigger_a
1,bridge;core_a;expansion;trigger_a;trigger_b,bridge;core_a;expansion;trigger_a;trigger_b
1,bridge;core_a;expansion;trigger_b,bridge;core_a;expansion;trigger_b
1,bridge;core_a;trigger_a,bridge;core_a;trigger_a
1,bridge;core_a;trigger_a;trigger_b,bridge;core_a;trigger_a;trigger_b
1,bridge;core_a;trigger_b,bridge;core_a;trigger_b
1,bridge;core_b,bridge;core_b
1,bridge;core_b;core_c,bridge;core_b;core_c
1,bridge;core_b;core_c;expansion,bridge;core_b;core_c;expansion
1,bridge;core_b;core_c;expansion;trigger_a,bridge;core_b;core_c;expansion;trigger_a
1,bridge;core_b;core_c;expansion;trigger_a;trigger_b,bridge;core_b;core_c;expansion;trigger_a;trigger_b
1,bridge;core_b;core_c;expansion;trigger_b,bridge;core_b;core_c;expansion;trigger_b
1,bridge;core_b;core_c;trigger_a,bridge;core_b;core_c;trigger_a
1,bridge;core_b;core_c;trigger_a;trigger_b,bridge;core_b;core_c;trigger_a;trigger_b
1,bridge;core_b;core_c;trigger_b,bridge;core_b;core_c;trigger_b
1,bridge;core_b;expansion,bridge;core_b;expansion
1,bridge;core_b;expansion;trigger_a,bridge;core_b;expansion;trigger_a
1,bridge;core_b;expansion;trigger_a;trigger_b,bridge;core_b;expansion;trigger_a;trigger_b
1,bridge;core_b;expansion;trigger_b,bridge;core_b;expansion;trigger_b
1,bridge;core_b;trigger_a,bridge;core_b;trigger_a
1,bridge;core_b;trigger_a;trigger_b,bridge;core_b;trigger_a;trigger_b
1,bridge;core_b;trigger_b,bridge;core_b;trigger_b
1,bridge;core_c,bridge;core_c
1,bridge;core_c;expansion,bridge;core_c;expansion
1,bridge;core_c;expansion;trigger_a,bridge;core_c;expansion;trigger_a
1,bridge;core_c;expansion;trigger_a;trigger_b,bridge;core_c;expansion;trigger_a;trigger_b
1,bridge;core_c;expansion;trigger_b,bridge;core_c;expansion;trigger_b
1,bridge;core_c;trigger_a,bridge;core_c;trigger_a
1,bridge;core_c;trigger_a;trigger_b,bridge;core_c;trigger_a;trigger_b
1,bridge;core_c;trigger_b,bridge;core_c;trigger_b
1,bridge;expansion,bridge;expansion
1,bridge;expansion;trigger_a,bridge;expansion;trigger_a
1,bridge;expansion;trigger_a;trigger_b,bridge;expansion;trigger_a;trigger_b
1,bridge;expansion;trigger_b,bridge;expansion;trigger_b
1,bridge;trigger_a,bridge;trigger_a
1,bridge;trigger_a;trigger_b,bridge;trigger_a;trigger_b
1,bridge;trigger_b,bridge;trigger_b
1,core_a,core_a
1,core_a;core_b,core_a;core_b
1,core_a;core_b;core_c,core_a;core_b;core_c
1,core_a;core_b;core_c;expansion,core_a;core_b;core_c;expansion
1,core_a;core_b;core_c;expansion;trigger_a,core_a;core_b;core_c;expansion;trigger_a
1,core_a;core_b;core_c;expansion;trigger_a;trigger_b,bridge;core_a;core_b;core_c;expansion;trigger_a;trigger_b
1,core_a;core_b;core_c;expansion;trigger_b,core_a;core_b;core_c;expansion;trigger_b
1,core_a;core_b;core_c;trigger_a,core_a;core_b;core_c;trigger_a
1,core_a;core_b;core_c;trigger_a;trigger_b,bridge;core_a;core_b;core_c;trigger_a;trigger_b
1,core_a;core_b;core_c;trigger_b,core_a;core_b;core_c;trigger_b
1,core_a;core_b;expansion,core_a;core_b;expansion
1,core_a;core_b;expansion;trigger_a,core_a;core_b;expansion;trigger_a
1,core_a;core_b;expansion;trigger_a;trigger_b,bridge;core_a;core_b;expansion;trigger_a;trigger_b
1,core_a;core_b;expansion;trigger_b,core_a;core_b;expansion;trigger_b
1,core_a;core_b;trigger_a,core_a;core_b;trigger_a
1,core_a;core_b;trigger_a;trigger_b,bridge;core_a;core_b;trigger_a;trigger_b
1,core_a;core_b;trigger_b,core_a;core_b;trigger_b
1,core_a;core_c,core_a;core_c
1,core_a;core_c;expansion,core_a;core_c;expansion
1,core_a;core_c;expansion;trigger_a,core_a;core_c;expansion;trigger_a
1,core_a;core_c;expansion;trigger_a;trigger_b,bridge;core_a;core_c;expansion;trigger_a;trigger_b
1,core_a;core_c;expansion;trigger_b,core_a;core_c;expansion;trigger_b
1,core_a;core_c;trigger_a,core_a;core_c;trigger_a
1,core_a;core_c;trigger_a;trigger_b,bridge;core_a;core_c;trigger_a;trigger_b
1,core_a;core_c;trigger_b,core_a;core_c;trigger_b
1,core_a;expansion,core_a;expansion
1,core_a;expansion;trigger_a,core_a;expansion;trigger_a
1,core_a;expansion;trigger_a;trigger_b,bridge;core_a;expansion;trigger_a;trigger_b
1,core_a;expansion;trigger_b,core_a;expansion;trigger_b
1,core_a;trigger_a,core_a;trigger_a
1,core_a;trigger_a;trigger_b,bridge;core_a;trigger_a;trigger_b
1,core_a;trigger_b,core_a;trigger_b
1,core_b,core_b
1,core_b;core_c,core_b;core_c
1,core_b;core_c;expansion,core_b;core_c;expansion
1,core_b;core_c;expansion;trigger_a,core_b;core_c;expansion;trigger_a
1,core_b;core_c;expansion;trigger_a;trigger_b,bridge;core_b;core_c;expansion;trigger_a;trigger_b
1,core_b;core_c;expansion;trigger_b,core_b;core_c;expansion;trigger_b
1,core_b;core_c;trigger_a,core_b;core_c;trigger_a
1,core_b;core_c;trigger_a;trigger_b,bridge;core_b;core_c;trigger_a;trigger_b
1,core_b;core_c;trigger_b,core_b;core_c;trigger_b
1,core_b;expansion,core_b;expansion
1,core_b;expansion;trigger_a,core_b;expansion;trigger_a
1,core_b;expansion;trigger_a;trigger_b,bridge;core_b;expansion;trigger_a;trigger_b
1,core_b;expansion;trigger_b,core_b;expansion;trigger_b
1,core_b;trigger_a,core_b;trigger_a
1,core_b;trigger_a;trigger_b,bridge;core_b;trigger_a;trigger_b
1,core_b;trigger_b,core_b;trigger_b
1,core_c,core_c
1,core_c;expansion,core_c;expansion
1,core_c;expansion;trigger_a,core_c;expansion;trigger_a
1,core_c;expansion;trigger_a;trigger_b,bridge;core_c;expansion;trigger_a;trigger_b
1,core_c;expansion;trigger_b,core_c;expansion;trigger_b
1,core_c;trigger_a,core_c;trigger_a
1,core_c;trigger_a;trigger_b,bridge;core_c;trigger_a;trigger_b
1,core_c;trigger_b,core_c;trigger_b
1,expansion,expansion
1,expansion;trigger_a,expansion;trigger_a
1,expansion;trigger_a;trigger_b,bridge;expansion;trigger_a;trigger_b
1,expansion;trigger_b,expansion;trigger_b
1,trigger_a,trigger_a
1,trigger_a;trigger_b,bridge;trigger_a;trigger_b
1,trigger_b,trigger_b
2,,
2,bridge,bridge
2,bridge;core_a,bridge;core_a
2,bridge;core_a;core_b,bridge;core_a;core_b
2,bridge;core_a;core_b;core_c,bridge;core_a;core_b;core_c
2,bridge;core_a;core_b;core_c;expansion,bridge;core_a;core_b;core_c;expansion
2,bridge;core_a;core_b;core_c;expansion;trigger_a,bridge;core_a;core_b;core_c;expansion;trigger_a
2,bridge;core_a;core_b;core_c;expansion;trigger_a;trigger_b,bridge;core_a;core_b;core_c;expansion;trigger_a;trigger_b
2,bridge;core_a;core_b;core_c;expansion;trigger_b,bridge;core_a;core_b;core_c;expansion;trigger_b
