parameter,parameter_value,frontier_level,frontier_density,closure_richness,module_overlap,research_cost,research_duration,admission_probability,candidate_survival,discount_factor,belief_kernel_persistence,signal_precision_proxy,candidate_profile_quality,generator_frontier_dependence,total_value,passive_value,research_option_premium,operational_innovation,generative_innovation,research_frequency,optimal_action,research_cutoff,cutoff_kind,pruning_loss,compression_ratio,descendant_quality,frontier_closure_cross_difference,bellman_residual,value_error_bound,iterations,converged,gate_passed,sparse_mode,raw_source_of_truth,flags
frontier_level,0.25,0.25,0.5,0.75,0.25,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,3.2488781541,0.945312499915,2.30356565418,9.05468750008,-2.30356565427,1,research,0,full,2.30356565418,0.25,1.812109375,-0.84996542,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
frontier_level,0.5,0.5,0.5,0.75,0.25,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,3.54276609302,1.89062499983,1.65214109319,8.10937500017,-1.65214109328,1,research,0,full,1.65214109319,0.25,1.62421875,-0.7850469625,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
frontier_level,0.75,0.75,0.5,0.75,0.25,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,3.83665403195,2.83593749975,1.0007165322,7.16406250025,-1.00071653229,1,research,0,full,1.0007165322,0.25,1.436328125,-0.4686237,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
frontier_level,1,1,0.5,0.75,0.25,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,4.13054197089,3.78124999966,0.349291971233,6.21875000034,-0.349291971322,0.707317073171,research,0.7,lower,0.349291971233,0.25,1.2484375,-0.1039896875,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
frontier_level,1.25,1.25,0.5,0.75,0.25,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,4.72656261982,4.72656249958,1.20242289903e-07,5.27343750042,-1.20331882236e-07,0.365853658537,continue,0.35,lower,1.20242289903e-07,0.25,1.060546875,0,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
frontier_level,1.5,1.5,0.5,0.75,0.25,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,5.67187499943,5.67187499949,-6.23652240961e-11,4.32812500051,-2.72271094559e-11,0.146341463415,continue,0.125,lower,-6.23652240961e-11,0.25,0.87265625,0,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
frontier_density,0,1,0,0.75,0.25,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,3.74053599663,2.56249999932,1.17803599731,7.43750000068,-1.1780359974,0.829268292683,research,0.825,lower,1.17803599731,0.25,1.496875,-0.4592655,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
frontier_density,0.2,1,0.2,0.75,0.25,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,3.89653838633,3.04999999946,0.846538386871,6.95000000054,-0.84653838696,0.80487804878,research,0.8,lower,0.846538386871,0.25,1.3975,-0.3049355,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
frontier_density,0.4,1,0.4,0.75,0.25,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,4.05254077603,3.53749999959,0.515040776432,6.46250000041,-0.515040776522,0.731707317073,research,0.725,lower,0.515040776432,0.25,1.298125,-0.170971625,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
frontier_density,0.6,1,0.6,0.75,0.25,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,4.20854318167,4.02499999973,0.183543181943,5.97500000027,-0.183543182033,0.634146341463,research,0.625,lower,0.183543181943,0.25,1.19875,-0.03700775,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
frontier_density,0.8,1,0.8,0.75,0.25,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,4.51249999991,4.51249999986,4.6626702499e-11,5.48750000014,-1.36219036051e-10,0.292682926829,continue,0.275,lower,4.6626702499e-11,0.25,1.099375,0,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
frontier_density,1,1,1,0.75,0.25,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,4.99999999996,5,-4.4796166776e-11,5,-4.4796166776e-11,0,continue,,empty,-4.4796166776e-11,0.25,1,0,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
closure_richness,0,1,0.5,0,0.25,2.5,1,0.75,0.9,0.8,0.75,0.5,2,0,3.78124999962,3.78124999966,-4.15782963614e-11,6.21875000034,-4.80140371906e-11,0,continue,,empty,-4.15782963614e-11,0.25,1.2484375,0,1.7918111439e-11,8.95905571952e-11,114,true,true,true,true,persistence_has_no_universal_sign;bellman_cutoff_is_numerical_only;delay_no_waiting_gain_unverified;relative_saturation_unverified
