discount,frontier0,frontier1,candidate,gap0,gap1,old_success,added_success,old_cost,added_cost,old_exposure,added_exposure,added_exposure_order,poor_zero_exposure,rich_nonnegative_exposure,relative_saturation,closure_increment0,closure_increment1,interaction,classification
1//2,0//1,2//1,4//1,4//1,2//1,0//1,0//1,0//1,0//1,0//1,0//1,true,true,true,true,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,0//1,0//1,0//1,1//1,0//1,0//1,true,true,true,true,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,0//1,0//1,0//1,2//1,0//1,0//1,true,true,true,true,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,0//1,0//1,1//1,0//1,0//1,0//1,true,true,true,true,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,0//1,0//1,1//1,1//1,0//1,0//1,true,true,true,true,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,0//1,0//1,1//1,2//1,0//1,0//1,true,true,true,true,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,0//1,0//1,2//1,0//1,0//1,0//1,true,true,true,true,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,0//1,0//1,2//1,1//1,0//1,0//1,true,true,true,true,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,0//1,0//1,2//1,2//1,0//1,0//1,true,true,true,true,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,0//1,1//2,0//1,0//1,0//1,1//4,true,true,true,true,1//1,1//2,-1//2,substitutes
1//2,0//1,2//1,4//1,4//1,2//1,0//1,1//2,0//1,1//1,0//1,1//4,true,true,true,true,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,0//1,1//2,0//1,2//1,0//1,1//4,true,true,true,true,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,0//1,1//2,1//1,0//1,0//1,1//4,true,true,true,true,1//1,1//2,-1//2,substitutes
1//2,0//1,2//1,4//1,4//1,2//1,0//1,1//2,1//1,1//1,0//1,1//4,true,true,true,true,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,0//1,1//2,1//1,2//1,0//1,1//4,true,true,true,true,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,0//1,1//2,2//1,0//1,0//1,1//4,true,true,true,true,1//1,1//2,-1//2,substitutes
1//2,0//1,2//1,4//1,4//1,2//1,0//1,1//2,2//1,1//1,0//1,1//4,true,true,true,true,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,0//1,1//2,2//1,2//1,0//1,1//4,true,true,true,true,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,0//1,1//1,0//1,0//1,0//1,1//2,true,true,true,true,2//1,1//1,-1//1,substitutes
1//2,0//1,2//1,4//1,4//1,2//1,0//1,1//1,0//1,1//1,0//1,1//2,true,true,true,true,1//1,0//1,-1//1,substitutes
1//2,0//1,2//1,4//1,4//1,2//1,0//1,1//1,0//1,2//1,0//1,1//2,true,true,true,true,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,0//1,1//1,1//1,0//1,0//1,1//2,true,true,true,true,2//1,1//1,-1//1,substitutes
1//2,0//1,2//1,4//1,4//1,2//1,0//1,1//1,1//1,1//1,0//1,1//2,true,true,true,true,1//1,0//1,-1//1,substitutes
1//2,0//1,2//1,4//1,4//1,2//1,0//1,1//1,1//1,2//1,0//1,1//2,true,true,true,true,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,0//1,1//1,2//1,0//1,0//1,1//2,true,true,true,true,2//1,1//1,-1//1,substitutes
1//2,0//1,2//1,4//1,4//1,2//1,0//1,1//1,2//1,1//1,0//1,1//2,true,true,true,true,1//1,0//1,-1//1,substitutes
1//2,0//1,2//1,4//1,4//1,2//1,0//1,1//1,2//1,2//1,0//1,1//2,true,true,true,true,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,1//2,0//1,0//1,0//1,1//4,0//1,false,false,true,false,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,1//2,0//1,0//1,1//1,1//4,0//1,false,false,true,false,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,1//2,0//1,0//1,2//1,1//4,0//1,false,false,true,false,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,1//2,0//1,1//1,0//1,1//4,0//1,false,false,true,false,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,1//2,0//1,1//1,1//1,1//4,0//1,false,false,true,false,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,1//2,0//1,1//1,2//1,1//4,0//1,false,false,true,false,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,1//2,0//1,2//1,0//1,1//4,0//1,false,false,true,false,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,1//2,0//1,2//1,1//1,1//4,0//1,false,false,true,false,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,1//2,0//1,2//1,2//1,1//4,0//1,false,false,true,false,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,1//2,1//2,0//1,0//1,1//4,1//4,true,false,true,false,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,1//2,1//2,0//1,1//1,1//4,1//4,true,false,true,false,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,1//2,1//2,0//1,2//1,1//4,1//4,true,false,true,false,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,1//2,1//2,1//1,0//1,1//4,1//4,true,false,true,false,1//1,1//2,-1//2,substitutes
1//2,0//1,2//1,4//1,4//1,2//1,1//2,1//2,1//1,1//1,1//4,1//4,true,false,true,false,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,1//2,1//2,1//1,2//1,1//4,1//4,true,false,true,false,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,1//2,1//2,2//1,0//1,1//4,1//4,true,false,true,false,1//1,1//2,-1//2,substitutes
1//2,0//1,2//1,4//1,4//1,2//1,1//2,1//2,2//1,1//1,1//4,1//4,true,false,true,false,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,1//2,1//2,2//1,2//1,1//4,1//4,true,false,true,false,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,1//2,1//1,0//1,0//1,1//4,1//2,true,false,true,false,1//1,1//2,-1//2,substitutes
1//2,0//1,2//1,4//1,4//1,2//1,1//2,1//1,0//1,1//1,1//4,1//2,true,false,true,false,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,1//2,1//1,0//1,2//1,1//4,1//2,true,false,true,false,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,1//2,1//1,1//1,0//1,1//4,1//2,true,false,true,false,2//1,1//1,-1//1,substitutes
1//2,0//1,2//1,4//1,4//1,2//1,1//2,1//1,1//1,1//1,1//4,1//2,true,false,true,false,1//1,0//1,-1//1,substitutes
1//2,0//1,2//1,4//1,4//1,2//1,1//2,1//1,1//1,2//1,1//4,1//2,true,false,true,false,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,4//1,2//1,1//2,1//1,2//1,0//1,1//4,1//2,true,false,true,false,2//1,1//1,-1//1,substitutes
1//2,0//1,2//1,4//1,4//1,2//1,1//2,1//1,2//1,1//1,1//4,1//2,true,false,true,false,1//1,0//1,-1//1,substitutes
