cost_bps,method,mean_realized_set_value,minimum_episode_value,maximum_episode_value,episodes
1.0,coverage_marginal,0.07141847365438883,0.0,0.1474516902541072,5
1.0,current_belief_improvement,0.0020349939696192895,0.0,0.010174969848096448,5
1.0,average_trailing_score,0.011803540340198471,0.0,0.05901770170099236,5
1.0,raw_parameter_novelty,0.0,0.0,0.0,5
5.0,coverage_marginal,0.07041676796323539,0.0,0.1465254589665994,5
5.0,current_belief_improvement,0.0018636999424085318,0.0,0.008476284532612016,5
5.0,average_trailing_score,0.011906696885721975,0.0,0.05869126924917923,5
5.0,raw_parameter_novelty,0.0,0.0,0.0,5
10.0,coverage_marginal,0.06890405787680472,0.0,0.14536598442753942,5
10.0,current_belief_improvement,0.001435982714575966,0.0,0.006350567996619366,5
10.0,average_trailing_score,0.011822409646866932,0.0,0.0582827026580742,5
10.0,raw_parameter_novelty,0.0,0.0,0.0,5
