schedule,belief,mask,library,strategies,compressed_state,inactive_weight,carrier_a_weight,carrier_b_weight,descendant_weight,burden,productive_value,operational_value,generative_value,total_value,net_value_at_unit_price,innovation_duration,action,second_action,action_margin,action_tie_distance_linf,frontier,closure
equal_active,low,0,I,inactive,K0,1//1,1//1,1//1,1//1,1//1,115//288,0//1,115//288,115//288,-173//288,10777//2070,research:discover,continue,23//96,23//192,0//1;0//1,
equal_active,low,1,I+A,inactive|carrier_a,K1,1//1,1//1,1//1,1//1,2//1,1//1,0//1,1//1,1//1,-1//1,56//15,research:scale,continue,23//48,23//96,0//1;0//1,1
equal_active,low,2,I+B,inactive|carrier_b,K1,1//1,1//1,1//1,1//1,2//1,1//1,0//1,1//1,1//1,-1//1,56//15,research:scale,continue,23//48,23//96,0//1;0//1,1
equal_active,low,3,I+A+B,inactive|carrier_a|carrier_b,K1,1//1,1//1,1//1,1//1,3//1,1//1,0//1,1//1,1//1,-2//1,56//15,research:scale,continue,23//48,23//96,0//1;0//1,1
equal_active,low,4,I+D,inactive|descendant,K2,1//1,1//1,1//1,1//1,2//1,14//3,14//3,0//1,14//3,8//3,25//21,continue,research:scale,3//16,3//32,2//1;4//1,1
equal_active,low,5,I+A+D,inactive|carrier_a|descendant,K2,1//1,1//1,1//1,1//1,3//1,14//3,14//3,0//1,14//3,5//3,25//21,continue,research:scale,3//16,3//32,2//1;4//1,1
equal_active,low,6,I+B+D,inactive|carrier_b|descendant,K2,1//1,1//1,1//1,1//1,3//1,14//3,14//3,0//1,14//3,5//3,25//21,continue,research:scale,3//16,3//32,2//1;4//1,1
equal_active,low,7,I+A+B+D,inactive|carrier_a|carrier_b|descendant,K2,1//1,1//1,1//1,1//1,4//1,14//3,14//3,0//1,14//3,2//3,25//21,continue,research:scale,3//16,3//32,2//1;4//1,1
equal_active,high,0,I,inactive,K0,1//1,1//1,1//1,1//1,1//1,23//288,0//1,23//288,23//288,-265//288,14089//2070,continue,research:discover,245//384,245//768,0//1;0//1,
equal_active,high,1,I+A,inactive|carrier_a,K1,1//1,1//1,1//1,1//1,2//1,7//6,0//1,7//6,7//6,-5//6,53//15,research:scale,continue,29//48,29//96,0//1;0//1,1
equal_active,high,2,I+B,inactive|carrier_b,K1,1//1,1//1,1//1,1//1,2//1,7//6,0//1,7//6,7//6,-5//6,53//15,research:scale,continue,29//48,29//96,0//1;0//1,1
equal_active,high,3,I+A+B,inactive|carrier_a|carrier_b,K1,1//1,1//1,1//1,1//1,3//1,7//6,0//1,7//6,7//6,-11//6,53//15,research:scale,continue,29//48,29//96,0//1;0//1,1
equal_active,high,4,I+D,inactive|descendant,K2,1//1,1//1,1//1,1//1,2//1,22//3,22//3,0//1,22//3,16//3,29//33,continue,research:scale,3//16,3//32,2//1;4//1,1
equal_active,high,5,I+A+D,inactive|carrier_a|descendant,K2,1//1,1//1,1//1,1//1,3//1,22//3,22//3,0//1,22//3,13//3,29//33,continue,research:scale,3//16,3//32,2//1;4//1,1
equal_active,high,6,I+B+D,inactive|carrier_b|descendant,K2,1//1,1//1,1//1,1//1,3//1,22//3,22//3,0//1,22//3,13//3,29//33,continue,research:scale,3//16,3//32,2//1;4//1,1
equal_active,high,7,I+A+B+D,inactive|carrier_a|carrier_b|descendant,K2,1//1,1//1,1//1,1//1,4//1,22//3,22//3,0//1,22//3,10//3,29//33,continue,research:scale,3//16,3//32,2//1;4//1,1
carrier_heavy,low,0,I,inactive,K0,1//1,2//1,2//1,1//1,1//1,115//288,0//1,115//288,115//288,-173//288,10777//2070,research:discover,continue,23//96,23//192,0//1;0//1,
carrier_heavy,low,1,I+A,inactive|carrier_a,K1,1//1,2//1,2//1,1//1,3//1,1//1,0//1,1//1,1//1,-2//1,56//15,research:scale,continue,23//48,23//96,0//1;0//1,1
carrier_heavy,low,2,I+B,inactive|carrier_b,K1,1//1,2//1,2//1,1//1,3//1,1//1,0//1,1//1,1//1,-2//1,56//15,research:scale,continue,23//48,23//96,0//1;0//1,1
carrier_heavy,low,3,I+A+B,inactive|carrier_a|carrier_b,K1,1//1,2//1,2//1,1//1,5//1,1//1,0//1,1//1,1//1,-4//1,56//15,research:scale,continue,23//48,23//96,0//1;0//1,1
carrier_heavy,low,4,I+D,inactive|descendant,K2,1//1,2//1,2//1,1//1,2//1,14//3,14//3,0//1,14//3,8//3,25//21,continue,research:scale,3//16,3//32,2//1;4//1,1
carrier_heavy,low,5,I+A+D,inactive|carrier_a|descendant,K2,1//1,2//1,2//1,1//1,4//1,14//3,14//3,0//1,14//3,2//3,25//21,continue,research:scale,3//16,3//32,2//1;4//1,1
