factor,level,trials,frontier_only_loss_count,frontier_only_loss_frequency,mean_frontier_only_total_loss,dominated_generatively_valuable_count,active_carrier_count,dominated_generatively_valuable_fraction,genuine_closure_contrasts,substitution_count,complementarity_count,substitution_frequency,complementarity_frequency,mean_frontier_reduction,mean_safe_reduction,mean_approx_operational_reduction,mean_approx_generative_reduction
belief_count,2,30,1,1//30,9//2560,0,125,0//1,20,3,0,3//20,0//1,109//200,233//600,109//200,703//900
belief_count,3,30,3,1//10,901//40960,1,116,1//116,11,4,0,4//11,0//1,817//1800,329//900,919//1800,647//900
belief_count,4,30,4,2//15,285//8192,2,119,2//119,14,6,0,3//7,0//1,421//900,163//450,99//200,419//600
strategy_count,4,30,2,1//15,853//81920,2,90,1//45,15,4,0,4//15,0//1,23//60,11//40,17//40,27//40
strategy_count,5,30,3,1//10,1189//81920,0,120,0//1,15,4,0,4//15,0//1,1//2,19//50,13//25,37//50
strategy_count,6,30,3,1//10,1449//40960,1,150,1//150,15,5,0,1//3,0//1,7//12,83//180,109//180,47//60
module_count,3,30,5,1//6,9703//327680,3,114,1//38,11,6,0,6//11,0//1,23//50,679//1800,863//1800,25//36
module_count,4,30,2,1//15,7317//327680,0,121,0//1,16,2,0,1//8,0//1,901//1800,211//600,193//360,677//900
module_count,5,30,1,1//30,137//16384,0,125,0//1,18,5,0,5//18,0//1,911//1800,697//1800,107//200,451//600
module_overlap,low,30,3,1//10,5523//327680,2,120,1//60,23,7,0,7//23,0//1,437//900,497//1800,91//180,259//360
module_overlap,medium,30,3,1//10,2329//65536,1,124,1//124,12,3,0,1//4,0//1,899//1800,253//600,241//450,73//100
module_overlap,high,30,2,1//15,81//10240,0,116,0//1,10,3,0,3//10,0//1,289//600,251//600,917//1800,337//450
closure_structure,identity,30,6,1//5,1121//20480,2,121,2//121,25,7,0,7//25,0//1,221//450,61//225,469//900,629//900
closure_structure,blocks,30,1,1//30,21//10240,1,122,1//122,9,4,0,4//9,0//1,99//200,31//72,19//36,167//225
closure_structure,hierarchy,30,1,1//30,9//2560,0,117,0//1,11,2,0,2//11,0//1,173//360,373//900,301//600,1363//1800
frontier_density,1//4,30,3,1//10,10057//327680,1,121,1//121,13,5,0,5//13,0//1,4//9,103//300,109//225,263//360
frontier_density,1//2,30,3,1//10,6099//327680,2,125,2//125,17,3,0,3//17,0//1,149//300,671//1800,473//900,1321//1800
frontier_density,3//4,30,2,1//15,901//81920,0,114,0//1,15,5,0,1//3,0//1,473//900,2//5,973//1800,1321//1800
candidate_quality,3//4,30,0,0//1,0//1,0,119,0//1,13,1,0,1//13,0//1,869//1800,19//50,919//1800,19//24
candidate_quality,1//1,30,6,1//5,1237//40960,2,121,2//121,17,8,0,8//17,0//1,23//45,329//900,319//600,599//900
candidate_quality,5//4,30,2,1//15,1233//40960,1,120,1//120,15,4,0,4//15,0//1,851//1800,667//1800,61//120,667//900
generator_complementarity,1,30,1,1//30,1233//65536,0,119,0//1,15,2,0,2//15,0//1,112//225,17//45,79//150,1349//1800
generator_complementarity,2,30,3,1//10,6579//327680,1,125,1//125,16,5,0,5//16,0//1,77//150,59//150,473//900,451//600
generator_complementarity,3,30,4,2//15,877//40960,2,116,1//58,14,6,0,3//7,0//1,41//90,69//200,299//600,251//360
research_cost,0//1,30,8,4//15,247//4096,3,119,3//119,14,9,0,9//14,0//1,871//1800,689//1800,481//900,73//120
research_cost,2//1,30,0,0//1,0//1,0,122,0//1,16,3,0,3//16,0//1,439//900,77//225,116//225,239//300
research_cost,4//1,30,0,0//1,0//1,0,119,0//1,15,1,0,1//15,0//1,99//200,88//225,901//1800,119//150
project_delay,1,30,3,1//10,2329//65536,1,124,1//124,14,6,0,3//7,0//1,89//180,683//1800,989//1800,439//600
project_delay,2,30,2,1//15,4371//327680,2,117,2//117,16,4,0,1//4,0//1,427//900,313//900,221//450,673//900
project_delay,3,30,3,1//10,117//10240,0,119,0//1,15,3,0,1//5,0//1,112//225,7//18,51//100,647//900
admission_probability,1//4,30,2,1//15,4371//327680,2,117,2//117,17,2,0,2//17,0//1,443//900,637//1800,469//900,166//225
admission_probability,1//2,30,2,1//15,63//10240,0,121,0//1,12,5,0,5//12,0//1,113//225,21//50,463//900,37//50
admission_probability,3//4,30,4,2//15,13373//327680,1,122,1//122,16,6,0,3//8,0//1,17//36,77//225,103//200,1297//1800
regime_persistence,1//4,30,4,2//15,1461//40960,2,118,1//59,15,4,0,4//15,0//1,113//225,67//180,317//600,161//225
regime_persistence,1//2,30,3,1//10,1333//81920,0,120,0//1,15,6,0,2//5,0//1,907//1800,349//900,241//450,257//360
regime_persistence,3//4,30,1,1//30,137//16384,1,122,1//122,15,3,0,1//5,0//1,829//1800,641//1800,73//150,173//225
