fixture_id,channel,classification,actual,attacked_bound,revised_bound,missing_assumption,theorem_revision,detail
"CX-T6-JOINT-HARMFUL-NONG-01","harmful_non_g_outcome","counterexample","0//1","1//2","0//1","nonnegative omitted outcomes","subtract the expected harmful-outcome correction","one belief; masses g=1/2, r=1/2; gains 2 and -2"
"CX-T6-JOINT-OPERATING-ADJUSTMENT-01","negative_operating_adjustment","counterexample_to_omitting_adjustment","0//1","1//2","0//1","the exact operating adjustment must be retained","use Aop=-1/2 rather than silently setting Aop=0","one belief; g certain; G=1; beta=1/2; Aop=-1/2"
"CX-T6-JOINT-ENABLED-BOTH-01","project_enabled_in_both_libraries","counterexample","0//1","1//1","0//1","project unavailable without insertion, or zero comparator premium","retain post-insertion-only enablement and the zero-premium comparator","one belief; the same unit-premium project is feasible on both sides"
"CX-T6-JOINT-POSITIVE-COMPARATOR-01","positive_comparator_premium","counterexample","0//1","1//1","0//1","deleted comparator has zero research-option premium","otherwise subtract the comparator premium from the project certificate","q is new with premium 1; a retained old project already has premium 1"
"CX-T6-JOINT-PATH-FLOOR-01","full_path_dependent_gain","counterexample","1//2","1//1","1//2","G(b') is a supportwise floor over every success path ending at b'","use path-level joint masses and floors, or take the terminal-path minimum","two equiprobable g paths share one terminal belief; gains 0 and 2"
"CX-T6-JOINT-MENU-DISPLACEMENT-01","admission_changes_future_menus","counterexample","0//1","1//1","0//1","G lower-bounds complete continuation gain, including menu changes","do not substitute a direct operating gain for the complete continuation floor","g has direct gain 2 but removes a future option worth 4"
"CX-T6-JOINT-HORIZON-01","horizon_shorter_than_duration","counterexample","0//1","1//1","0//1","project duration fits the remaining horizon","require d<=h before using the committed-project comparison","h=1; d=2; beta=1/2; g certain; G=4"
"CX-T6-JOINT-PRODUCT-SHORTCUT-01","correlated_admission_and_terminal_belief","counterexample_to_product_shortcut","0//1","1//4","0//1","event-specific terminal independence for the product formula","use eta directly; reserve pi*rho^d*mu for the independence corollary","terminal marginals 1/2,1/2; g occurs only at zero-gain belief"
"FX-T6-JOINT-MULTIPLE-DESCENDANTS-01","multiple_descendants","survives","3//2","1//2","3//2","none beyond distinct outcome events and nonnegative omitted gains","single-g bound remains valid; disjoint descendant events may be summed","one belief; masses g=1/2,r=1/2; gains 2 and 4; beta=1/2"
"FX-T6-JOINT-CORRELATED-01","correlated_admission_and_terminal_belief","survives_joint_bound","1//1","1//1","1//1","none for the joint-law theorem","retain the non-product eta term","terminal marginals 1/2,1/2; g occurs only at gain-2 belief"
"FX-T6-JOINT-ENABLED-BOTH-ZERO-PREMIUM-01","project_enabled_in_both_libraries","survives_with_zero_comparator","1//1","1//1","1//1","post-insertion-only enablement is mechanism-facing, not sign-bearing once comparator premium is zero","retain the condition for the carrier interpretation","q is feasible on both sides but has zero poor-library premium"
"FX-T6-JOINT-MENU-EXPANSION-01","admission_changes_future_menus","survives","2//1","1//1","1//1","none when G is a lower bound on the complete continuation gain","positive menu effects may be omitted from a lower bound","g direct gain 2 plus an additional future-menu gain 2"
