trial_id,project_id,corner,requirements,duration,operates_during_research,available,cost,admission_probability,candidate_law
1,project_1,L00,bridge,1,true,false,1//2,3//4,descendant_1:1//1
1,project_1,L01,bridge,1,true,true,1//2,3//4,descendant_1:1//1
1,project_1,L10,bridge,1,true,false,1//2,3//4,descendant_1:1//1
1,project_1,L11,bridge,1,true,true,1//2,3//4,descendant_1:1//1
1,project_2,L00,bridge,1,true,false,1//2,3//4,descendant_1:1//1
1,project_2,L01,bridge,1,true,true,1//2,3//4,descendant_1:1//1
1,project_2,L10,bridge,1,true,false,1//2,3//4,descendant_1:1//1
1,project_2,L11,bridge,1,true,true,1//2,3//4,descendant_1:1//1
2,project_1,L00,expansion,1,true,false,2//1,3//4,descendant_1:1//1
2,project_1,L01,expansion,1,true,true,2//1,3//4,descendant_1:1//1
2,project_1,L10,expansion,1,true,false,2//1,3//4,descendant_1:1//1
2,project_1,L11,expansion,1,true,true,2//1,3//4,descendant_1:1//1
2,project_2,L00,expansion,1,true,false,2//1,3//4,descendant_1:1//1
2,project_2,L01,expansion,1,true,true,2//1,3//4,descendant_1:1//1
2,project_2,L10,expansion,1,true,false,2//1,3//4,descendant_1:1//1
2,project_2,L11,expansion,1,true,true,2//1,3//4,descendant_1:1//1
3,project_1,L00,expansion,3,true,false,1//2,3//4,descendant_1:1//1
3,project_1,L01,expansion,3,true,true,1//2,3//4,descendant_1:1//1
3,project_1,L10,expansion,3,true,false,1//2,3//4,descendant_1:1//1
3,project_1,L11,expansion,3,true,true,1//2,3//4,descendant_1:1//1
3,project_2,L00,expansion,3,true,false,1//2,3//4,descendant_1:1//1
3,project_2,L01,expansion,3,true,true,1//2,3//4,descendant_1:1//1
3,project_2,L10,expansion,3,true,false,1//2,3//4,descendant_1:1//1
3,project_2,L11,expansion,3,true,true,1//2,3//4,descendant_1:1//1
4,project_1,L00,bridge,3,true,false,1//2,1//4,descendant_1:1//1
4,project_1,L01,bridge,3,true,true,1//2,1//4,descendant_1:1//1
4,project_1,L10,bridge,3,true,false,1//2,1//4,descendant_1:1//1
4,project_1,L11,bridge,3,true,true,1//2,1//4,descendant_1:1//1
4,project_2,L00,bridge,3,true,false,1//2,1//4,descendant_1:1//1
4,project_2,L01,bridge,3,true,true,1//2,1//4,descendant_1:1//1
4,project_2,L10,bridge,3,true,false,1//2,1//4,descendant_1:1//1
4,project_2,L11,bridge,3,true,true,1//2,1//4,descendant_1:1//1
5,project_1,L00,bridge,3,true,false,2//1,3//4,descendant_1:1//1
5,project_1,L01,bridge,3,true,true,2//1,3//4,descendant_1:1//1
5,project_1,L10,bridge,3,true,false,2//1,3//4,descendant_1:1//1
5,project_1,L11,bridge,3,true,true,2//1,3//4,descendant_1:1//1
5,project_2,L00,bridge,3,true,false,2//1,3//4,descendant_1:1//1
5,project_2,L01,bridge,3,true,true,2//1,3//4,descendant_1:1//1
5,project_2,L10,bridge,3,true,false,2//1,3//4,descendant_1:1//1
5,project_2,L11,bridge,3,true,true,2//1,3//4,descendant_1:1//1
6,project_1,L00,expansion,3,true,false,2//1,3//4,descendant_1:1//1
6,project_1,L01,expansion,3,true,true,2//1,3//4,descendant_1:1//1
6,project_1,L10,expansion,3,true,false,2//1,3//4,descendant_1:1//1
6,project_1,L11,expansion,3,true,true,2//1,3//4,descendant_1:1//1
6,project_2,L00,expansion,3,true,false,2//1,3//4,descendant_1:1//1
6,project_2,L01,expansion,3,true,true,2//1,3//4,descendant_1:1//1
6,project_2,L10,expansion,3,true,false,2//1,3//4,descendant_1:1//1
6,project_2,L11,expansion,3,true,true,2//1,3//4,descendant_1:1//1
7,project_1,L00,bridge,3,true,false,2//1,3//4,descendant_1:1//1
7,project_1,L01,bridge,3,true,true,2//1,3//4,descendant_1:1//1
7,project_1,L10,bridge,3,true,false,2//1,3//4,descendant_1:1//1
7,project_1,L11,bridge,3,true,true,2//1,3//4,descendant_1:1//1
7,project_2,L00,bridge,3,true,false,2//1,3//4,descendant_1:1//1
7,project_2,L01,bridge,3,true,true,2//1,3//4,descendant_1:1//1
7,project_2,L10,bridge,3,true,false,2//1,3//4,descendant_1:1//1
7,project_2,L11,bridge,3,true,true,2//1,3//4,descendant_1:1//1
8,project_1,L00,expansion,3,true,false,1//2,3//4,descendant_1:1//1
8,project_1,L01,expansion,3,true,true,1//2,3//4,descendant_1:1//1
8,project_1,L10,expansion,3,true,false,1//2,3//4,descendant_1:1//1
8,project_1,L11,expansion,3,true,true,1//2,3//4,descendant_1:1//1
8,project_2,L00,expansion,3,true,false,1//2,3//4,descendant_1:1//1
8,project_2,L01,expansion,3,true,true,1//2,3//4,descendant_1:1//1
8,project_2,L10,expansion,3,true,false,1//2,3//4,descendant_1:1//1
8,project_2,L11,expansion,3,true,true,1//2,3//4,descendant_1:1//1
9,project_1,L00,bridge,1,true,false,2//1,1//4,descendant_1:1//1
9,project_1,L01,bridge,1,true,true,2//1,1//4,descendant_1:1//1
9,project_1,L10,bridge,1,true,false,2//1,1//4,descendant_1:1//1
9,project_1,L11,bridge,1,true,true,2//1,1//4,descendant_1:1//1
9,project_2,L00,bridge,1,true,false,2//1,1//4,descendant_1:1//1
9,project_2,L01,bridge,1,true,true,2//1,1//4,descendant_1:1//1
9,project_2,L10,bridge,1,true,false,2//1,1//4,descendant_1:1//1
9,project_2,L11,bridge,1,true,true,2//1,1//4,descendant_1:1//1
10,project_1,L00,expansion,1,true,false,2//1,3//4,descendant_1:1//1
10,project_1,L01,expansion,1,true,true,2//1,3//4,descendant_1:1//1
10,project_1,L10,expansion,1,true,false,2//1,3//4,descendant_1:1//1
10,project_1,L11,expansion,1,true,true,2//1,3//4,descendant_1:1//1
10,project_2,L00,expansion,1,true,false,2//1,3//4,descendant_1:1//1
10,project_2,L01,expansion,1,true,true,2//1,3//4,descendant_1:1//1
10,project_2,L10,expansion,1,true,false,2//1,3//4,descendant_1:1//1
10,project_2,L11,expansion,1,true,true,2//1,3//4,descendant_1:1//1
11,project_1,L00,bridge,1,true,false,2//1,3//4,descendant_1:1//1
11,project_1,L01,bridge,1,true,true,2//1,3//4,descendant_1:1//1
11,project_1,L10,bridge,1,true,false,2//1,3//4,descendant_1:1//1
11,project_1,L11,bridge,1,true,true,2//1,3//4,descendant_1:1//1
11,project_2,L00,bridge,1,true,false,2//1,3//4,descendant_1:1//1
11,project_2,L01,bridge,1,true,true,2//1,3//4,descendant_1:1//1
11,project_2,L10,bridge,1,true,false,2//1,3//4,descendant_1:1//1
11,project_2,L11,bridge,1,true,true,2//1,3//4,descendant_1:1//1
12,project_1,L00,expansion,1,true,false,1//2,1//4,descendant_1:1//1
12,project_1,L01,expansion,1,true,true,1//2,1//4,descendant_1:1//1
12,project_1,L10,expansion,1,true,false,1//2,1//4,descendant_1:1//1
12,project_1,L11,expansion,1,true,true,1//2,1//4,descendant_1:1//1
12,project_2,L00,expansion,1,true,false,1//2,1//4,descendant_1:1//1
12,project_2,L01,expansion,1,true,true,1//2,1//4,descendant_1:1//1
12,project_2,L10,expansion,1,true,false,1//2,1//4,descendant_1:1//1
12,project_2,L11,expansion,1,true,true,1//2,1//4,descendant_1:1//1
13,project_1,L00,expansion,1,true,false,2//1,1//4,descendant_1:1//1
13,project_1,L01,expansion,1,true,true,2//1,1//4,descendant_1:1//1
13,project_1,L10,expansion,1,true,false,2//1,1//4,descendant_1:1//1
13,project_1,L11,expansion,1,true,true,2//1,1//4,descendant_1:1//1
