belief_index,coordinate,frontier,candidate,certified_gap
1,0.0,0.18,0.08027507935488004,0.0
2,0.008333333333333333,0.18607061689847237,0.08640488273349142,0.0
3,0.016666666666666666,0.19214015737457663,0.09254536947634093,0.0
4,0.025,0.1982075457436707,0.09869758316809739,0.0
5,0.03333333333333333,0.20427170779605922,0.10486290519447271,0.0
6,0.041666666666666664,0.2103315715332031,0.11104309987577213,0.0
7,0.05,0.21638606790241385,0.1172403637950881,0.0
8,0.058333333333333334,0.22243413152952884,0.12345737941715924,0.0
9,0.06666666666666667,0.22847470144906556,0.12969737303454668,0.0
10,0.075,0.23450672183135432,0.13596417700556482,0.0
11,0.08333333333333333,0.24052914270615122,0.14226229616246217,0.0
12,0.09166666666666666,0.24654092068223535,0.148596978167979,0.0
13,0.1,0.2525410196624968,0.15497428748315362,0.0
14,0.10833333333333334,0.2585284115540262,0.16140118247895288,0.0
15,0.11666666666666667,0.264502076972718,0.16788559507916248,0.0
16,0.125,0.27046100594190536,0.1744365121626293,0.0
17,0.13333333333333333,0.276404198584548,0.1810640577805131,0.0
18,0.14166666666666666,0.2823306658084977,0.18777957506034565,0.0
19,0.15,0.2882394299843728,0.19459570647567664,0.0
20,0.15833333333333333,0.29412952561557654,0.2015264709608053,0.0
21,0.16666666666666666,0.30000000000000004,0.20858733614812858,0.0
22,0.175,0.3058499138829569,0.2157952838052347,0.0
23,0.18333333333333332,0.3116783421009017,0.22316886635496636,0.0
24,0.19166666666666668,0.3174843742154899,0.23072825217985396,0.0
25,0.2,0.3232671151375484,0.23849525724876847,0.0
26,0.20833333333333334,0.3290256857405232,0.2464933604650507,0.0
27,0.21666666666666667,0.33475922346299025,0.25474770002889396,0.0
28,0.225,0.34046688289981103,0.26328504803974706,0.0
29,0.23333333333333334,0.34614783638153146,0.2721337605445129,0.0
30,0.24166666666666667,0.35180127454162524,0.2813237002717437,0.0
31,0.25,0.35742640687119287,0.2908861293880066,0.0
32,0.25833333333333336,0.36302246226073726,0.3008535697766893,0.0
33,0.26666666666666666,0.36858868952864365,0.3112596285774675,0.0
34,0.275,0.37412435793600185,0.32213878704115495,0.0
35,0.2833333333333333,0.3796287576874182,0.3335261511529732,0.0
36,0.2916666666666667,0.38510120041747414,0.3454571629590701,0.0
37,0.3,0.3905410196624968,0.3579672720961154,0.0
38,0.30833333333333335,0.39594757131732095,0.37109156766959794,0.0
39,0.31666666666666665,0.4013202340767254,0.38486437134826446,0.0
40,0.325,0.4066584098612456,0.3993187933327145,0.0
41,0.3333333333333333,0.4119615242270663,0.4144862537055903,0.0025247294785240015
42,0.3416666666666667,0.41722902675971796,0.4303959725665543,0.013166945806836361
43,0.35,0.42246039145130204,0.4470744332821785,0.024614041830876454
44,0.35833333333333334,0.42765511706099163,0.46454482412138554,0.036889707060393906
45,0.36666666666666664,0.43281272745855603,0.48282646448127814,0.050013737022722105
46,0.375,0.4379327719506772,0.5019342228142804,0.06400145086360315
47,0.38333333333333336,0.44301482558983213,0.5218779342220772,0.07886310863224505
48,0.39166666666666666,0.44805848946553073,0.5426618264604607,0.09460333699492995
49,0.4,0.45306339097770926,0.5642839637769057,0.11122057279919645
50,0.4083333333333333,0.45802918409209153,0.5867357185547206,0.12870653446262909
51,0.4166666666666667,0.46295554957734414,0.6100012811399758,0.14704573156263162
52,0.425,0.46784219522386056,0.6340572184577072,0.16621502323384668
53,0.43333333333333335,0.4726888560440284,0.6588720920620965,0.18618323601806813
54,0.44166666666666665,0.47749529445383726,0.6844061460943978,0.2069108516405605
55,0.45,0.4822613004357083,0.7106110752292242,0.22834977479351587
56,0.4583333333333333,0.4869866916824286,0.7374298820656342,0.2504431903832056
57,0.4666666666666667,0.4916713137220964,0.7647968325607076,0.27312551883861125
58,0.475,0.4963150400239877,0.792637517011823,0.29632247698783526
59,0.48333333333333334,0.5009177720852744,0.8208690227775138,0.3199512506922394
60,0.49166666666666664,0.5054794394985335,0.8494002233994686,0.34392078390093517
61,0.5,0.51,0.8781321870700751,0.3681321870700751
62,0.5083333333333333,0.5144794394985335,0.906958705506935,0.39247926600840155
63,0.5166666666666667,0.5189177720852745,0.9357669422798154,0.41684917019454093
64,0.525,0.5233150400239877,0.9644381975234406,0.44112315749945297
65,0.5333333333333333,0.5276713137220964,0.9928487838028277,0.4651774700807313
66,0.5416666666666666,0.5319866916824286,1.020871005721473,0.4888843140390443
67,0.55,0.5362613004357083,1.0483742337242492,0.5121129332885409
68,0.5583333333333333,0.5404952944538373,1.0752260604953077,0.5347307660414704
69,0.5666666666666667,0.5446888560440283,1.1012935264358106,0.5566046703917823
70,0.575,0.5488421952238606,1.1264443989749306,0.5776022037510701
71,0.5833333333333334,0.5529555495773442,1.150548488965803,0.5975929393884589
72,0.5916666666666667,0.5570291840920916,1.173478986187717,0.6164498020956255
73,0.6,0.5610633909777092,1.1951137950534167,0.6340504040757076
74,0.6083333333333333,0.5650584894655306,1.2153368510363967,0.650278361570866
75,0.6166666666666667,0.5690148255898321,1.2340393981106508,0.6650245725208187
76,0.625,0.5729327719506773,1.2511212076495388,0.6781884356988616
77,0.6333333333333333,0.576812727458556,1.2664917197676115,0.6896789923090555
78,0.6416666666666667,0.5806551170609916,1.280071089006583,0.6994159719455914
79,0.65,0.5844603914513021,1.2917911175521182,0.707330726100816
80,0.6583333333333333,0.588229026759718,1.3015960608005606,0.7133670340408426
81,0.6666666666666666,0.5919615242270664,1.309443292044194,0.7174817678171277
82,0.675,0.5956584098612455,1.3153038152721779,0.7196454054109324
83,0.6833333333333333,0.5993202340767255,1.3191626175466968,0.7198423834699713
84,0.6916666666666667,0.6029475713173209,1.3210188550588757,0.7180712837415548
85,0.7,0.606541019662497,1.3208858697406316,0.7143448500781346
86,0.7083333333333334,0.6101012004174741,1.3187910361474855,0.7086898357300114
87,0.7166666666666667,0.6136287576874182,1.3147754411723866,0.7011466834849684
88,0.725,0.6171243579360018,1.3088934019404732,0.6917690440044714
89,0.7333333333333333,0.6205886895286438,1.301211829909647,0.6806231403810031
90,0.7416666666666667,0.6240224622607373,1.2918094517050305,0.6677869894442932
91,0.75,0.6274264068711928,1.2807758994945164,0.6533494926233236
92,0.7583333333333333,0.6308012745416253,1.2682106857211815,0.6374094111795562
93,0.7666666666666667,0.6341478363815316,1.2542220787068645,0.6200742423253329
94,0.775,0.637466882899811,1.2389258969980568,0.6014590140982458
95,0.7833333333333333,0.6407592234629902,1.2224442413174796,0.5816850178544895
96,0.7916666666666666,0.6440256857405232,1.20490418359846,0.5608784978579368
97,0.8,0.6472671151375484,1.1864364328097805,0.5391693176722321
98,0.8083333333333333,0.65048437421549,1.1671739971306576,0.5166896229151676
99,0.8166666666666667,0.6536783421009016,1.1472508615221968,0.4935725194212952
100,0.825,0.6568499138829569,1.1268006988847494,0.46995078500179255
101,0.8333333333333334,0.6600000000000001,1.1059556318190253,0.4459556318190252
102,0.8416666666666667,0.6631295256155766,1.0848450605581341,0.42171553494255754
103,0.85,0.6662394299843728,1.0635945709487324,0.39735514096435964
104,0.8583333333333333,0.6693306658084976,1.0423249344770014,0.3729942686685037
105,0.8666666666666667,0.672404198584548,1.0211512103069242,0.3487470117223762
106,0.875,0.6754610059419055,1.0001819571732957,0.3247209512313902
107,0.8833333333333333,0.678502076972718,0.9795185607992304,0.30101648382651236
